ID	Name	Equation	Definition	Genes
rxn03408_c0	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0	(1) cpd00037[c0] + (1) cpd03494[c0] <=> (1) cpd00014[c0] + (1) cpd03495[c0]	(1) UDP-N-acetylglucosamine[c0] + (1) Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine[c0] <=> (1) UDP[c0] + (1) Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala[c0]	fig|1185660.4.peg.820
rxn05250_c0	FACOAL160(ISO)_c0	(1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd11440[c0] => (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd11441[c0]	(1) ATP[c0] + (1) CoA[c0] + (1) fa6[c0] => (1) PPi[c0] + (1) AMP[c0] + (1) fa6coa[c0]	(fig|1185660.4.peg.3392 or fig|1185660.4.peg.1922)
rxn00646_c0	L-glutamate:L-cysteine gamma-ligase (ADP-forming)_c0	(1) cpd00002[c0] + (1) cpd00023[c0] + (1) cpd00084[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd00506[c0]	(1) ATP[c0] + (1) L-Glutamate[c0] + (1) L-Cysteine[c0] => (1) ADP[c0] + (1) Phosphate[c0] + (1) H+[c0] + (1) gamma-Glutamylcysteine[c0]	fig|1185660.4.peg.760
rxn01673_c0	ATP:dCDP phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00533[c0] <=> (1) cpd00008[c0] + (1) cpd00356[c0]	(1) ATP[c0] + (1) dCDP[c0] <=> (1) ADP[c0] + (1) dCTP[c0]	fig|1185660.4.peg.2232
rxn05625_c0	nitrite transport in via proton symport, reversible_c0	(1) cpd00067[e0] + (1) cpd00075[e0] <=> (1) cpd00067[c0] + (1) cpd00075[c0]	(1) H+[e0] + (1) Nitrite[e0] <=> (1) H+[c0] + (1) Nitrite[c0]	fig|1185660.4.peg.2207
rxn02360_c0	trans-4-Hydroxy-L-proline 2-epimerase_c0	(1) cpd00851[c0] <=> (1) cpd02175[c0]	(1) trans-4-Hydroxy-L-proline[c0] <=> (1) cis-4-Hydroxy-D-proline[c0]	fig|1185660.4.peg.4413
rxn02342_c0	R03270_c0	(1) cpd00213[c0] + (1) cpd03049[c0] <=> (1) cpd00056[c0] + (1) cpd00836[c0]	(1) Lipoamide[c0] + (1) 2-Hydroxyethyl-ThPP[c0] <=> (1) TPP[c0] + (1) S-Acetyldihydrolipoamide[c0]	fig|1185660.4.peg.559
rxn00022_c0	maltose glucohydrolase_c0	(1) cpd00001[c0] + (1) cpd00179[c0] => (2) cpd00027[c0]	(1) H2O[c0] + (1) Maltose[c0] => (2) D-Glucose[c0]	((fig|1185660.4.peg.2522 or fig|1185660.4.peg.4068) or (fig|1185660.4.peg.2526 or fig|1185660.4.peg.3193 or fig|1185660.4.peg.1813))
rxn00973_c0	citrate hydroxymutase_c0	(1) cpd00137[c0] <=> (1) cpd00260[c0]	(1) Citrate[c0] <=> (1) Isocitrate[c0]	(fig|1185660.4.peg.1928 and fig|1185660.4.peg.1925 and Unknown and Unknown and fig|1185660.4.peg.1925)
rxn02000_c0	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0	(1) cpd00521[c0] <=> (1) cpd00522[c0]	(1) dTDP-4-oxo-6-deoxy-D-glucose[c0] <=> (1) dTDP-4-oxo-L-rhamnose[c0]	fig|1185660.4.peg.3420
rxn03239_c0	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase_c0	(1) cpd00003[c0] + (1) cpd03113[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd03114[c0]	(1) NAD[c0] + (1) (S)-3-Hydroxyhexadecanoyl-CoA[c0] <=> (1) NADH[c0] + (1) H+[c0] + (1) 3-Oxopalmitoyl-CoA[c0]	(((fig|1185660.4.peg.1548 or fig|1185660.4.peg.2234) and fig|1185660.4.peg.1538) or (fig|1185660.4.peg.1548 or fig|1185660.4.peg.2234))
rxn03120_c0	UDP-apiose:apigenin 7-O-beta-D-glucoside 2''-O-beta-D-apiofuranosyltransferase_c0	(1) cpd01140[c0] + (1) cpd02807[c0] <=> (1) cpd00014[c0] + (1) cpd02952[c0]	(1) UDP-apiose[c0] + (1) Cosmetin[c0] <=> (1) UDP[c0] + (1) Apiin[c0]	fig|1185660.4.peg.2152
rxn11962_c0	R02670_c0	(4) cpd00007[c0] + (2) cpd00483[c0] <=> (2) cpd00025[c0] + (2) cpd00067[c0] + (2) cpd00532[c0] + (1) cpd03351[c0]	(4) O2[c0] + (2) 3-Hydroxyanthranilate[c0] <=> (2) H2O2[c0] + (2) H+[c0] + (2) O2-[c0] + (1) Cinnavalininate[c0]	(fig|1185660.4.peg.4534 or fig|1185660.4.peg.3039 or fig|1185660.4.peg.4194 or fig|1185660.4.peg.3862)
rxn05457_c0	[Acyl-carrier-protein] acetyltransferase_c0	(1) cpd00010[c0] + (1) cpd11466[c0] <=> (1) cpd01695[c0] + (1) cpd11493[c0]	(1) CoA[c0] + (1) Myristoyl-ACP[c0] <=> (1) Myristoyl-CoA[c0] + (1) ACP[c0]	fig|1185660.4.peg.1142
rxn04271_c0	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase_c0	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd08739[c0] <=> (1) cpd00004[c0] + (2) cpd00067[c0] + (1) cpd08740[c0]	(1) H2O[c0] + (1) NAD[c0] + (1) trans-2-Methyl-5-isopropylhexa-2,5-dienal[c0] <=> (1) NADH[c0] + (2) H+[c0] + (1) trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid[c0]	fig|1185660.4.peg.2630
rxn13783_c0	DNA replication_c0	 => (1) cpd17042[c0]	 => (1) DNA replication[c0]	(fig|1185660.4.peg.2424 and fig|1185660.4.peg.1489 and Unknown and fig|1185660.4.peg.1148 and (fig|1185660.4.peg.4396 or fig|1185660.4.peg.3601) and fig|1185660.4.peg.2423 and fig|1185660.4.peg.1485 and (fig|1185660.4.peg.580 or fig|1185660.4.peg.4515 or fig|1185660.4.peg.1475 or fig|1185660.4.peg.1684 or fig|1185660.4.peg.3669 or fig|1185660.4.peg.811) and Unknown and fig|1185660.4.peg.1754 and Unknown and (fig|1185660.4.peg.1299 or fig|1185660.4.peg.1300) and Unknown and fig|1185660.4.peg.88 and (fig|1185660.4.peg.87 or fig|1185660.4.peg.3168) and fig|1185660.4.peg.3616 and fig|1185660.4.peg.2559 and fig|1185660.4.peg.3977 and fig|1185660.4.peg.1493 and fig|1185660.4.peg.90 and (fig|1185660.4.peg.4372 or fig|1185660.4.peg.3116) and fig|1185660.4.peg.1127 and (fig|1185660.4.peg.1226 or fig|1185660.4.peg.1648))
rxn10118_c0	hydrogenase (ubiquinone-8: 2 protons) (periplasm)_c0	(2) cpd00067[c0] + (1) cpd11640[c0] + (1) cpd15560[c0] => (2) cpd00067[e0] + (1) cpd15561[c0]	(2) H+[c0] + (1) H2[c0] + (1) Ubiquinone-8[c0] => (2) H+[e0] + (1) Ubiquinol-8[c0]	(Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and fig|1185660.4.peg.1992)
rxn05392_c0	7-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	(1) cpd11492[c0] + (1) cpd11528[c0] => (1) cpd00011[c0] + (1) cpd11493[c0] + (1) cpd11529[c0]	(1) Malonyl-acyl-carrierprotein-[c0] + (1) 7-methyl-octanoyl-ACP[c0] => (1) CO2[c0] + (1) ACP[c0] + (1) 9-methyl-3-oxo-decanoyl-ACP[c0]	((fig|1185660.4.peg.2283 or fig|1185660.4.peg.1140) and fig|1185660.4.peg.1145)
rxn12008_c0	R05611_c0	(1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd02557[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]	(1) PPi[c0] + (1) H+[c0] + (1) Farnesylfarnesylgeraniol[c0] <= (1) Isopentenyldiphosphate[c0] + (1) all-trans-Heptaprenyl diphosphate[c0]	(fig|1185660.4.peg.2670 or fig|1185660.4.peg.3117)
rxn05353_c0	Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing)_c0	(1) cpd00006[c0] + (1) cpd11464[c0] <= (1) cpd00005[c0] + (2) cpd00067[c0] + (1) cpd11465[c0]	(1) NADP[c0] + (1) Butyryl-ACP[c0] <= (1) NADPH[c0] + (2) H+[c0] + (1) But-2-enoyl-[acyl-carrier protein][c0]	fig|1185660.4.peg.375
rxn04600_c0	(2E)-3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate:NAD+ oxidoreductase_c0	(1) cpd00003[c0] + (1) cpd09253[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd09254[c0]	(1) NAD[c0] + (1) cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol[c0] <=> (1) NADH[c0] + (1) H+[c0] + (1) 2,3-dihydroxicinnamic acid[c0]	fig|1185660.4.peg.633
rxn04070_c0	pyridoxine 5'-phosphate synthase_c0	(1) cpd08289[c0] + (1) cpd08449[c0] => (2) cpd00001[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd00478[c0]	(1) 1-deoxy-D-xylulose5-phosphate[c0] + (1) 3-Amino-2-oxopropyl phosphate[c0] => (2) H2O[c0] + (1) Phosphate[c0] + (1) H+[c0] + (1) Pyridoxine phosphate[c0]	fig|1185660.4.peg.7
rxn00199_c0	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)_c0	(1) cpd00067[c0] + (1) cpd03187[c0] => (1) cpd00011[c0] + (1) cpd00024[c0]	(1) H+[c0] + (1) Oxalosuccinate[c0] => (1) CO2[c0] + (1) 2-Oxoglutarate[c0]	fig|1185660.4.peg.3634
rxn03433_c0	(S)-3-Hydroxyisobutyryl-CoA hydrolase_c0	(1) cpd00001[c0] + (1) cpd03572[c0] => (1) cpd00010[c0] + (1) cpd00067[c0] + (1) cpd00876[c0]	(1) H2O[c0] + (1) (S)-3-Hydroxyisobutyryl-CoA[c0] => (1) CoA[c0] + (1) H+[c0] + (1) 3-Hydroxyisobutyrate[c0]	(fig|1185660.4.peg.1539 or fig|1185660.4.peg.1539)
rxn10231_c0	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0	(1) cpd00054[c0] + (1) cpd15688[c0] => (1) cpd00046[c0] + (2) cpd00067[c0] + (1) cpd15694[c0]	(1) L-Serine[c0] + (1) CDP-1,2-diisohexadecanoylglycerol[c0] => (1) CMP[c0] + (2) H+[c0] + (1) Diisohexadecanoylphosphatidylserine[c0]	(fig|1185660.4.peg.3482 or fig|1185660.4.peg.2356)
rxn02944_c0	N2-succinyl-L-ornithine:2-oxoglutarate 5-aminotransferase_c0	(1) cpd00024[c0] + (1) cpd02160[c0] <=> (1) cpd00023[c0] + (1) cpd03526[c0]	(1) 2-Oxoglutarate[c0] + (1) N2-Succinyl-L-ornithine[c0] <=> (1) L-Glutamate[c0] + (1) N-Succinyl-L-glutamate 5-semialdehyde[c0]	fig|1185660.4.peg.2157
rxn01867_c0	p-cumic alcohol:NAD+ oxidoreductase_c0	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd00447[c0] => (1) cpd00004[c0] + (2) cpd00067[c0] + (1) cpd00540[c0]	(1) H2O[c0] + (1) NAD[c0] + (1) Betaine aldehyde[c0] => (1) NADH[c0] + (2) H+[c0] + (1) BET[c0]	fig|1185660.4.peg.752
rxn12637_c0	RXN0-6987.c_c0	(1) cpd00001[c0] + (1) cpd11589[c0] <=> (1) cpd00033[c0] + (1) cpd00041[c0]	(1) H2O[c0] + (1) gly-asp-L[c0] <=> (1) Glycine[c0] + (1) L-Aspartate[c0]	((fig|1185660.4.peg.1672 or fig|1185660.4.peg.3572) or fig|1185660.4.peg.3472 or fig|1185660.4.peg.3347 or fig|1185660.4.peg.231 or fig|1185660.4.peg.3858 or fig|1185660.4.peg.231)
rxn03046_c0	ATP:guanidinoethyyl-methyl-phosphate phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd02519[c0] <=> (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd02744[c0]	(1) ATP[c0] + (1) Guanidinoethyl methyl phosphate[c0] <=> (1) ADP[c0] + (1) H+[c0] + (1) N'-Phosphoguanidinoethyl methyl phosphate[c0]	fig|1185660.4.peg.1071
rxn13971_c0	pheophorbide-a hydrolase (decarboxylating)_c0	(1) cpd00001[c0] + (1) cpd18004[c0] <=> (1) cpd00011[c0] + (1) cpd00116[c0] + (1) cpd18047[c0]	(1) H2O[c0] + (1) Pheophorbide a[c0] <=> (1) CO2[c0] + (1) Methanol[c0] + (1) Pyropheophorbide a[c0]	fig|1185660.4.peg.147
rxn09240_c0	Sulfate adenyltransferase_c0	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd00038[c0] + (1) cpd00048[c0] <=> (1) cpd00009[c0] + (1) cpd00012[c0] + (1) cpd00031[c0] + (1) cpd00067[c0] + (1) cpd00193[c0]	(1) H2O[c0] + (1) ATP[c0] + (1) GTP[c0] + (1) Sulfate[c0] <=> (1) Phosphate[c0] + (1) PPi[c0] + (1) GDP[c0] + (1) H+[c0] + (1) APS[c0]	(fig|1185660.4.peg.3353 and fig|1185660.4.peg.3352)
rxn01219_c0	ATP:dCMP phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00067[c0] + (1) cpd00206[c0] <=> (1) cpd00008[c0] + (1) cpd00533[c0]	(1) ATP[c0] + (1) H+[c0] + (1) dCMP[c0] <=> (1) ADP[c0] + (1) dCDP[c0]	fig|1185660.4.peg.2405
rxn00519_c0	ITP:oxaloacetate carboxy-lyase (adding ITP; phosphoenolpyruvate-forming)_c0	(1) cpd00032[c0] + (1) cpd00068[c0] <=> (1) cpd00011[c0] + (1) cpd00061[c0] + (1) cpd00090[c0]	(1) Oxaloacetate[c0] + (1) ITP[c0] <=> (1) CO2[c0] + (1) Phosphoenolpyruvate[c0] + (1) IDP[c0]	fig|1185660.4.peg.3790
rxn00258_c0	Malonyl-CoA:pyruvate carboxytransferase_c0	(1) cpd00020[c0] + (1) cpd00070[c0] <=> (1) cpd00022[c0] + (1) cpd00032[c0]	(1) Pyruvate[c0] + (1) Malonyl-CoA[c0] <=> (1) Acetyl-CoA[c0] + (1) Oxaloacetate[c0]	fig|1185660.4.peg.3128
rxn00800_c0	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_c0	(1) cpd02375[c0] <=> (1) cpd00018[c0] + (1) cpd00106[c0]	(1) Adenylosuccinate[c0] <=> (1) AMP[c0] + (1) Fumarate[c0]	(fig|1185660.4.peg.1394 or fig|1185660.4.peg.1394)
rxn09177_c0	(R)-4'-Phosphopantothenate:L-cysteine ligase_c0	(1) cpd00052[c0] + (1) cpd00084[c0] + (1) cpd02201[c0] => (1) cpd00012[c0] + (1) cpd00046[c0] + (2) cpd00067[c0] + (1) cpd02666[c0]	(1) CTP[c0] + (1) L-Cysteine[c0] + (1) 4-phosphopantothenate[c0] => (1) PPi[c0] + (1) CMP[c0] + (2) H+[c0] + (1) (R)-4'-Phosphopantothenoyl-L-cysteine[c0]	fig|1185660.4.peg.3790
rxn00211_c0	UDP-glucose:NAD+ 6-oxidoreductase_c0	(1) cpd00001[c0] + (2) cpd00003[c0] + (1) cpd00026[c0] <=> (2) cpd00004[c0] + (3) cpd00067[c0] + (1) cpd00144[c0]	(1) H2O[c0] + (2) NAD[c0] + (1) UDP-glucose[c0] <=> (2) NADH[c0] + (3) H+[c0] + (1) UDPglucuronate[c0]	(fig|1185660.4.peg.3418 or fig|1185660.4.peg.1406)
rxn00179_c0	ATP:L-glutamate 5-phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00023[c0] <=> (1) cpd00008[c0] + (1) cpd02097[c0]	(1) ATP[c0] + (1) L-Glutamate[c0] <=> (1) ADP[c0] + (1) L-Glutamyl 5-phosphate[c0]	fig|1185660.4.peg.1999
rxn01210_c0	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)_c0	(1) cpd00002[c0] + (1) cpd00023[c0] + (1) cpd00201[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd03524[c0]	(1) ATP[c0] + (1) L-Glutamate[c0] + (1) 10-Formyltetrahydrofolate[c0] => (1) ADP[c0] + (1) Phosphate[c0] + (1) H+[c0] + (1) 10-Formyl-THF-L-glutamate[c0]	(fig|1185660.4.peg.1057 and fig|1185660.4.peg.1057)
rxn00730_c0	Malonyl-CoA:anthranilate N-malonyltransferase_c0	(1) cpd00070[c0] + (1) cpd00093[c0] <=> (1) cpd00010[c0] + (1) cpd02014[c0]	(1) Malonyl-CoA[c0] + (1) Anthranilate[c0] <=> (1) CoA[c0] + (1) N-Malonylanthranilate[c0]	fig|1185660.4.peg.1287
rxn00192_c0	acetyl-CoA:L-glutamate N-acetyltransferase_c0	(1) cpd00022[c0] + (1) cpd00023[c0] => (1) cpd00010[c0] + (1) cpd00067[c0] + (1) cpd00477[c0]	(1) Acetyl-CoA[c0] + (1) L-Glutamate[c0] => (1) CoA[c0] + (1) H+[c0] + (1) N-Acetyl-L-glutamate[c0]	(fig|1185660.4.peg.3151 or fig|1185660.4.peg.2286 or fig|1185660.4.peg.1448 or fig|1185660.4.peg.2003 or fig|1185660.4.peg.4127 or fig|1185660.4.peg.3346 or fig|1185660.4.peg.774)
rxn01218_c0	2'-Deoxycytidine 5'-monophosphate phosphohydrolase_c0	(1) cpd00001[c0] + (1) cpd00206[c0] => (1) cpd00009[c0] + (1) cpd00654[c0]	(1) H2O[c0] + (1) dCMP[c0] => (1) Phosphate[c0] + (1) Deoxycytidine[c0]	fig|1185660.4.peg.1452
rxn05367_c0	6-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	(1) cpd11492[c0] + (1) cpd11503[c0] => (1) cpd00011[c0] + (1) cpd11493[c0] + (1) cpd11504[c0]	(1) Malonyl-acyl-carrierprotein-[c0] + (1) 6-methyl-octanoyl-ACP[c0] => (1) CO2[c0] + (1) ACP[c0] + (1) 8-methyl-3-oxo-decanoyl-ACP[c0]	(fig|1185660.4.peg.1145 and (fig|1185660.4.peg.1140 or fig|1185660.4.peg.2283))
rxn05407_c0	15-methyl-trans-hexa-dec-2-enoyl-ACP:NADP+ oxidoreductase (A-specific)_c0	(1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd11543[c0] => (1) cpd00006[c0] + (1) cpd11544[c0]	(1) NADPH[c0] + (1) H+[c0] + (1) 15-methyl-trans-hexa-dec-2-enoyl-ACP[c0] => (1) NADP[c0] + (1) 15-methyl-hexa-decanoyl-ACP[c0]	fig|1185660.4.peg.375
rxn03360_c0	5-Hydroxykynurenamine decarboxy-lyase_c0	(1) cpd00011[c0] + (1) cpd03349[c0] <=> (1) cpd00067[c0] + (1) cpd03362[c0]	(1) CO2[c0] + (1) 5-Hydroxykynurenamine[c0] <=> (1) H+[c0] + (1) 5-Hydroxykynurenine[c0]	fig|1185660.4.peg.850
rxn02898_c0	O-Succinylbenzoyl-CoA 1,4-dihydroxy-2-naphthoate-lyase_c0	(1) cpd02021[c0] => (1) cpd00010[c0] + (1) cpd02295[c0]	(1) Succinylbenzoyl-CoA[c0] => (1) CoA[c0] + (1) 1-4-Dihydroxy-2-naphthoate[c0]	(fig|1185660.4.peg.1896 or fig|1185660.4.peg.1897)
rxn05654_c0	Transport of succinate, extracellular_c0	(1) cpd00036[e0] + (1) cpd00067[e0] <=> (1) cpd00036[c0] + (1) cpd00067[c0]	(1) Succinate[e0] + (1) H+[e0] <=> (1) Succinate[c0] + (1) H+[c0]	fig|1185660.4.peg.139
rxn01199_c0	ATP:D-xylulose 5-phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00259[c0] <=> (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd00198[c0]	(1) ATP[c0] + (1) D-Lyxulose[c0] <=> (1) ADP[c0] + (1) H+[c0] + (1) D-Xylulose5-phosphate[c0]	fig|1185660.4.peg.1815
rxn00545_c0	ATP:D-fructose-6-phosphate 1-phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00072[c0] <=> (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd00290[c0]	(1) ATP[c0] + (1) D-fructose-6-phosphate[c0] <=> (1) ADP[c0] + (1) H+[c0] + (1) D-fructose-1,6-bisphosphate[c0]	fig|1185660.4.peg.3266
rxn00771_c0	ATP:D-ribose-5-phosphate 1-phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00067[c0] + (1) cpd00101[c0] <=> (1) cpd00008[c0] + (1) cpd00847[c0]	(1) ATP[c0] + (1) H+[c0] + (1) ribose-5-phosphate[c0] <=> (1) ADP[c0] + (1) Ribose 1,5-bisphosphate[c0]	fig|1185660.4.peg.4131
rxn08807_c0	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)_c0	(1) cpd00001[c0] + (1) cpd15317[c0] <=> (1) cpd00067[c0] + (1) cpd00908[c0] + (1) cpd15237[c0]	(1) H2O[c0] + (1) 1-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl[c0] <=> (1) H+[c0] + (1) Glycerophosphoethanolamine[c0] + (1) hexadecenoate[c0]	fig|1185660.4.peg.477
rxn05614_c0	L-methionine R-oxide transport via ABC system_c0	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd11576[e0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd11576[c0]	(1) H2O[c0] + (1) ATP[c0] + (1) L-methionine R-oxide[e0] => (1) ADP[c0] + (1) Phosphate[c0] + (1) H+[c0] + (1) L-methionine R-oxide[c0]	(Unknown and fig|1185660.4.peg.3742 and fig|1185660.4.peg.3743)
rxn00501_c0	3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)_c0	(1) cpd00003[c0] + (1) cpd00010[c0] + (1) cpd00191[c0] <=> (1) cpd00004[c0] + (1) cpd00011[c0] + (1) cpd00022[c0]	(1) NAD[c0] + (1) CoA[c0] + (1) 3-Oxopropanoate[c0] <=> (1) NADH[c0] + (1) CO2[c0] + (1) Acetyl-CoA[c0]	fig|1185660.4.peg.1536
rxn07258_c0	Plasmenylethanolamine ethanolamine phosphohydrolase_c0	(1) cpd00001[c0] + (1) cpd12606[c0] <=> (1) cpd00285[c0] + (1) cpd12322[c0]	(1) H2O[c0] + (1) Plasmenylethanolamine[c0] <=> (1) Phosphoethanolamine[c0] + (1) 1-Alkenyl-2-acylglycerol[c0]	(fig|1185660.4.peg.1053 or fig|1185660.4.peg.2892)
rxn01547_c0	Guanosine aminohydrolase_c0	(1) cpd00001[c0] + (1) cpd00067[c0] + (1) cpd00311[c0] <=> (1) cpd00013[c0] + (1) cpd01217[c0]	(1) H2O[c0] + (1) H+[c0] + (1) Guanosine[c0] <=> (1) NH3[c0] + (1) Xanthosine[c0]	fig|1185660.4.peg.1879
