rxn,Void,rpfCGH,Void_Xanthan,rpfCGH_Xanthan,group
ANNAT,-0.00061,-0.00061,-0.00061,-0.00061,m
AOOA,0.007809999999999999,0.007809999999999999,0.007809999999999999,0.007809999999999999,m
APATr,2.23619,-0.00061,2.23619,-0.00061,m
APLh,-0.07235,-0.07235,-0.07235,-0.07235,m
APPAT,-0.00061,-0.00061,-0.00061,-0.00061,m
APRAUR,-0.00061,-0.00061,-0.00061,-0.00061,m
APSR,-0.021330000000000002,-0.021330000000000002,-0.021330000000000002,-0.021330000000000002,m
ARGDC,-0.00031,-0.00031,-0.00031,-0.00031,m
ARGORNt7,10.0,0.38555,10.0,0.38555,m
ASAD,0.04514,4.51875,0.04514,4.51875,m
ASNS1,-0.0198,-0.0198,-0.0198,-0.0198,m
ASP1DC,-2.2368,0.0,-2.2368,0.0,m
ASPATh,-2.3947700000000003,-4.64803,-2.3947700000000003,-4.64803,m
ASPCT,0.02041,0.02041,0.02041,0.02041,m
ASPK,-0.04514,-4.51875,-0.04514,-4.51875,m
ATDGDm,-0.00158,-0.00158,-0.00158,-0.00158,m
ATGDm,0.0586,-1000.0,0.0586,-1000.0,c
ATPPRT,-0.007809999999999999,-0.007809999999999999,-0.007809999999999999,-0.007809999999999999,m
ATPS4r,341.61544,335.20581,341.61544,335.20581,m
AUS,0.00061,0.00061,0.00061,0.00061,m
BCTA_glu_h,-1000.0,999.96299,-1000.0,999.96299,y
BCTA_val_h,-997.30612,-1000.0,-997.30612,-1000.0,g
BPNT,-0.00031,-0.00031,-0.00031,-0.00031,m
Biomass,0.09859,0.09859,0.09859,0.09859,m
CA2t3pp,-0.00031,-0.00031,-0.00031,-0.00031,m
CBIAT,0.00031,0.00031,0.00031,0.00031,m
CDPMEK,-4.36811,-4.36811,-4.36811,-4.36811,m
CHOLD,1000.0,1000.0,1000.0,1000.0,r
CHORM,0.02713,0.02713,0.02713,0.02713,m
CHORS,0.02805,0.02805,0.02805,0.02805,m
CLtex,0.00031,0.00031,0.00031,0.00031,m
CMPA,-0.00031,-0.00031,-0.00031,-0.00031,m
CMS,-4.36811,-4.36811,-4.36811,-4.36811,m
CO2t,-17.85395,-8.2395,-17.85395,-8.2395,m
COALDDH,675.2497,-1000.0,675.2497,-1000.0,c
COBALT2tex,0.00031,0.00031,0.00031,0.00031,m
CPPPGO,-0.00031,-0.00031,-0.00031,-0.00031,m
CPS,-0.02041,-0.02041,-0.02041,-0.02041,m
CS,-0.7622800000000001,-2.9990799999999997,-0.7622800000000001,-2.9990799999999997,m
CTPS1,0.00987,0.01145,0.00987,0.01145,m
CU2abcpp,-0.00031,-0.00031,-0.00031,-0.00031,m
CYS,0.021330000000000002,994.4115400000001,0.021330000000000002,994.4115400000001,y
CYSDS,0.0,-994.3902099999999,0.0,-994.3902099999999,c
CYTK1,-4.3855699999999995,-4.3855699999999995,-4.3855699999999995,-4.3855699999999995,m
DAAD,6.72455,997.10105,6.72455,997.10105,y
DAPDC,0.00247,0.00247,0.00247,0.00247,m
DASYN140,0.0,-0.00105,0.0,-0.00105,m
DASYN180,-0.00105,0.0,-0.00105,0.0,m
DB4PS,0.00122,0.00122,0.00122,0.00122,m
DCTPD,0.0,0.00158,0.0,0.00158,m
DDPA,-0.02805,-0.02805,-0.02805,-0.02805,m
DHAD1,0.07235,0.07235,0.07235,0.07235,m
DHFR,0.0025,0.0025,0.0025,0.0025,m
DHFS,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,m
DHNPA2r,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,m
DHORD5,-0.02041,-0.02041,-0.02041,-0.02041,m
DHORTS,0.02041,0.02041,0.02041,0.02041,m
DHPPDA2,-0.00061,-0.00061,-0.00061,-0.00061,m
DHQS,0.02805,0.02805,0.02805,0.02805,m
DHQTi,-0.02805,-0.02805,-0.02805,-0.02805,m
DLDLBT,-0.00122,-0.00122,-0.00122,-0.00122,m
DMATT,-0.39713000000000004,-0.39713000000000004,-0.39713000000000004,-0.39713000000000004,m
DMORh,-999.92765,-999.92765,-999.92765,-999.92765,g
DMPPS,0.39713000000000004,0.39713000000000004,0.39713000000000004,0.39713000000000004,m
DPCOAK,-0.00061,-0.00061,-0.00061,-0.00061,m
DPR,0.00061,0.00061,0.00061,0.00061,m
DTMPK,-0.00158,-0.00158,-0.00158,-0.00158,m
DXPRIi,-4.36811,-4.36811,-4.36811,-4.36811,m
DXPS,-4.36811,-4.36811,-4.36811,-4.36811,m
EDTXS1,-0.00247,-0.00247,-0.00247,-0.00247,m
EDTXS2,0.00247,0.00247,0.00247,0.00247,m
ENO,7.3859699999999995,-984.7674300000001,7.3859699999999995,-984.7674300000001,c
EX_4hbz_e,-0.00031,-0.00031,-0.00031,-0.00031,m
EX_DNA_e,-0.09859,-0.09859,-0.09859,-0.09859,m
EX_arg__L_e,-10.0,-0.38555,-10.0,-0.38555,m
EX_ca2_e,-0.00031,-0.00031,-0.00031,-0.00031,m
EX_cl_e,-0.00031,-0.00031,-0.00031,-0.00031,m
EX_co2_e,17.85395,8.2395,17.85395,8.2395,m
EX_cobalt2_e,-0.00031,-0.00031,-0.00031,-0.00031,m
EX_cu2_e,-0.00031,-0.00031,-0.00031,-0.00031,m
EX_fe2_e,-0.00122,-0.00122,-0.00122,-0.00122,m
EX_glc__D_e,-10.0,-10.0,-10.0,-10.0,m
EX_h2o_e,2.9013,22.1302,2.9013,22.1302,m
EX_h_e,1000.0,1000.0,1000.0,1000.0,r
EX_k_e,-0.00031,-0.00031,-0.00031,-0.00031,m
EX_lys__L_e,-0.030610000000000002,-0.030610000000000002,-0.030610000000000002,-0.030610000000000002,m
EX_mg2_e,-0.00031,-0.00031,-0.00031,-0.00031,m
EX_mn2_e,-0.00031,-0.00031,-0.00031,-0.00031,m
EX_mqn7_e,-0.00061,-0.00061,-0.00061,-0.00061,m
EX_nh4_e,19.2289,0.0,19.2289,0.0,m
EX_nmn_e,-0.00061,-0.00061,-0.00061,-0.00061,m
EX_o2_e,-0.00168,-0.00168,-0.00168,-0.00168,m
EX_ocdca_e,-0.0084,-0.0084,-0.0084,-0.0084,m
EX_orn_e,10.0,0.38555,10.0,0.38555,m
EX_pi_e,-2.44528,-2.44528,-2.44528,-2.44528,y
EX_protein_e,-0.09859,-0.09859,-0.09859,-0.09859,m
EX_rna_c0,-0.09859,-0.09859,-0.09859,-0.09859,m
EX_so4_e,-0.02163,-0.02163,-0.02163,-0.02163,m
EX_spmd_e,-0.00031,-0.00031,-0.00031,-0.00031,m
EX_thmmp_e,-0.00031,-0.00031,-0.00031,-0.00031,m
EX_trp__L_e,-0.00465,-0.00465,-0.00465,-0.00465,m
EX_ttdca_e,-0.014790000000000001,-0.014790000000000001,-0.014790000000000001,-0.014790000000000001,m
EX_zn2_e,-0.00031,-0.00031,-0.00031,-0.00031,m
FACOAL140,-0.014790000000000001,-0.01584,-0.014790000000000001,-0.01584,m
FAS140ACPm,0.012329999999999999,0.012329999999999999,0.012329999999999999,0.012329999999999999,m
FBA,-229.36052999999998,0.0,-229.36052999999998,0.0,m
FBA3,-223.39425,5.96628,-223.39425,5.96628,m
FCLT,0.00031,0.00031,0.00031,0.00031,m
FE2abc,0.00122,0.00122,0.00122,0.00122,m
FGFTh,0.0,-0.02798,0.0,-0.02798,m
FOMETRi,-0.02798,0.0,-0.02798,0.0,m
FPPSh,0.39713000000000004,0.39713000000000004,0.39713000000000004,0.39713000000000004,m
FRD,0.68872,2.92552,0.68872,2.92552,m
FRD2,0.02041,0.02041,0.02041,0.02041,m
FRD3,-0.00061,-0.00061,-0.00061,-0.00061,m
FRTT,-0.00031,-0.00031,-0.00031,-0.00031,m
FUM,0.7205199999999999,2.97378,0.7205199999999999,2.97378,m
G12289,0.78872,0.78872,0.78872,0.78872,m
G12290,0.78872,0.78872,0.78872,0.78872,m
G12296,0.39436,0.39436,0.39436,0.39436,m
G1PACT,0.0,-656.71372,0.0,-656.71372,c
G1PTT,-0.00247,-0.00247,-0.00247,-0.00247,m
G1SAT,0.00488,0.00488,0.00488,0.00488,m
G3PAT140,0.0,-0.00105,0.0,-0.00105,m
G3PD,992.59513,-1000.0,992.59513,-1000.0,m
G3PD1,1000.0,-999.9811,1000.0,-999.9811,m
G5DHx,0.0,0.024630000000000003,0.0,0.024630000000000003,m
G6PI,-992.3784800000001,7.621519999999999,-992.3784800000001,7.621519999999999,b
G6PI3,-992.3784800000001,-992.3784800000001,-992.3784800000001,-992.3784800000001,g
GALM1,0.0,1000.0,0.0,1000.0,y
GALT1,-0.00247,-0.00247,-0.00247,-0.00247,m
GALUi,-2.37601,-2.37601,-2.37601,-2.37601,y
GALh,-0.12176,-0.12176,-0.12176,-0.12176,m
GAPD,-0.12113,-7.5071,-0.12113,-7.5071,m
GART,-0.03073,-0.00275,-0.03073,-0.00275,m
GCC2cm,-0.57152,0.09619,-0.57152,0.09619,m
GDH,1000.0,-2.8624400000000003,1000.0,-2.8624400000000003,c
GF6PTA,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,m
GGTT,-0.00031,-0.00031,-0.00031,-0.00031,m
GHMT,-0.09278,2.1440200000000003,-0.09278,2.1440200000000003,m
GK1,-999.9816599999999,-999.9816599999999,-999.9816599999999,-999.9816599999999,g
GK2,999.9984199999999,999.9984199999999,999.9984199999999,999.9984199999999,r
GLCTR2,-0.00247,-0.00247,-0.00247,-0.00247,m
GLCTR3,-0.00247,-0.00247,-0.00247,-0.00247,m
GLCpts,-10.0,-10.0,-10.0,-10.0,m
GLU5K,0.0,-0.024630000000000003,0.0,-0.024630000000000003,m
GLUFT,-0.02798,0.0,-0.02798,0.0,m
GLUK_syn,0.0,-1000.0,0.0,-1000.0,c
GLUPRT,-0.03073,-0.03073,-0.03073,-0.03073,m
GLUR,-0.00247,-0.00247,-0.00247,-0.00247,m
GLUTRR,-0.00488,-0.00488,-0.00488,-0.00488,m
GLUTRS,-0.00488,-0.00488,-0.00488,-0.00488,m
GLYALDDr,-7.3859699999999995,0.0,-7.3859699999999995,0.0,m
GLYAT,-0.02081,4.4528,-0.02081,4.4528,m
GLYCK,-1000.0,-1000.0,-1000.0,-1000.0,g
GLYCK2,-992.6140300000001,-1000.0,-992.6140300000001,-1000.0,r
GLYCL,0.00933,-2.2274700000000003,0.00933,-2.2274700000000003,m
GLYK,7.3859699999999995,0.0,7.3859699999999995,0.0,m
GMHEPAT,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,m
GNNUC,-1000.0,-1000.0,-1000.0,-1000.0,g
GPAR,-0.01646,-0.01646,-0.01646,-0.01646,m
GPDDA4,0.00315,0.00315,0.00315,0.00315,m
GTPCI,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,m
GTPCII2,-0.00061,-0.00061,-0.00061,-0.00061,m
GUAD,-999.9835400000001,-999.9835400000001,-999.9835400000001,-999.9835400000001,g
GUDBUTNAH,-9.97537,-0.36091999999999996,-9.97537,-0.36091999999999996,m
H2Ot,-2.9013,-22.1302,-2.9013,-22.1302,m
HACD1,1000.0,1000.0,1000.0,1000.0,r
HCO3E,-999.9776699999999,-999.9776699999999,-999.9776699999999,-999.9776699999999,g
HDH,-0.007809999999999999,-0.007809999999999999,-0.007809999999999999,-0.007809999999999999,m
HEPK1,-0.00247,-0.00247,-0.00247,-0.00247,m
HEPK2,-0.00247,-0.00247,-0.00247,-0.00247,m
HEPT1,-0.00247,-0.00247,-0.00247,-0.00247,m
HEPT2,-0.00247,-0.00247,-0.00247,-0.00247,m
HEPT3,-0.00247,-0.00247,-0.00247,-0.00247,m
HEPT4,-0.00247,-0.00247,-0.00247,-0.00247,m
HEX1,0.0,-1000.0,0.0,-1000.0,c
HEXTT,0.00031,0.00031,0.00031,0.00031,m
HISTP,-0.007809999999999999,-0.007809999999999999,-0.007809999999999999,-0.007809999999999999,m
HMBS,0.00061,0.00061,0.00061,0.00061,m
HMGL,0.0084,0.0084,0.0084,0.0084,m
HPYRDC,0.0009199999999999999,0.0009199999999999999,0.0009199999999999999,0.0009199999999999999,m
HSDH,0.04514,0.0,0.04514,0.0,m
HSDx,0.0,4.51875,0.0,4.51875,m
HSERTA,-0.04514,-0.04514,-0.04514,-0.04514,m
HSK,0.0,-4.47361,0.0,-4.47361,m
HXAND,-770.42943,-0.01646,-770.42943,-0.01646,y
Ht,-1000.0,-1000.0,-1000.0,-1000.0,g
ICDHx,-0.7622800000000001,-2.9990799999999997,-0.7622800000000001,-2.9990799999999997,m
ICH,-0.03854,-0.03854,-0.03854,-0.03854,m
IDPh,781.43109,667.70704,781.43109,667.70704,c
IDS1,3.9709800000000004,3.9709800000000004,3.9709800000000004,3.9709800000000004,m
IG3PS,0.007809999999999999,0.007809999999999999,0.007809999999999999,0.007809999999999999,m
IGPDH,0.007809999999999999,0.007809999999999999,0.007809999999999999,0.007809999999999999,m
IMDHT,-0.03701,-0.03701,-0.03701,-0.03701,m
IMDHT_3c2hmp,0.03701,0.03701,0.03701,0.03701,m
IMPD,770.41297,0.0,770.41297,0.0,c
INSH,-770.42943,-0.01646,-770.42943,-0.01646,y
IPMD,-0.03701,-0.03701,-0.03701,-0.03701,m
IPPS,-0.03701,-0.03701,-0.03701,-0.03701,m
KARI,0.03224,0.03224,0.03224,0.03224,m
KARI_23dhmb,-1000.0,-1000.0,-1000.0,-1000.0,g
KARI_23dhmp,0.03224,0.03224,0.03224,0.03224,m
KARI_3hmoa,1000.0,1000.0,1000.0,1000.0,r
KDOCT,-0.0074,-0.0074,-0.0074,-0.0074,m
KDOPP,0.0074,0.0074,0.0074,0.0074,m
KDOPS,0.0074,0.0074,0.0074,0.0074,m
Kt1,0.00061,0.00061,0.00061,0.00061,m
LPLIPAL1A140pp,-1000.0,-1000.0,-1000.0,-1000.0,g
LPLIPAL2A140,1000.0,1000.0,1000.0,1000.0,r
LPLIPAL2A180,0.00105,0.0,0.00105,0.0,m
LPLIPAL2E160,1000.0,1000.0,1000.0,1000.0,r
LPLIPAL2E180,0.0,0.00105,0.0,0.00105,m
LYSt2m,-0.030610000000000002,-0.030610000000000002,-0.030610000000000002,-0.030610000000000002,m
MAN1PT2,1.5774299999999999,1.5774299999999999,1.5774299999999999,1.5774299999999999,m
MAN6PI,-1.5774299999999999,-1.5774299999999999,-1.5774299999999999,-1.5774299999999999,m
MATm,-0.0015300000000000001,-0.0015300000000000001,-0.0015300000000000001,-0.0015300000000000001,m
MCCC,0.0084,0.0084,0.0084,0.0084,m
MCOATA,-0.09831000000000001,-0.09831000000000001,-0.09831000000000001,-0.09831000000000001,m
MCS,-4.36811,-4.36811,-4.36811,-4.36811,m
MDH,-0.7205199999999999,-2.97378,-0.7205199999999999,-2.97378,m
MECDPDH2,4.36811,4.36811,4.36811,4.36811,m
MG2t,0.00031,0.00031,0.00031,0.00031,m
MGC,0.0084,0.0084,0.0084,0.0084,m
MMSAD3,3.37299,1000.0,3.37299,1000.0,y
MN2t3pp,0.00031,0.00031,0.00031,0.00031,m
MNXR113142,0.78872,0.78872,0.78872,0.78872,m
MNXR113143,0.78872,0.78872,0.78872,0.78872,m
MNXR113144,0.78872,0.78872,0.78872,0.78872,m
MNXR117163,0.78872,0.78872,0.78872,0.78872,m
MNXR117165,0.39436,0.39436,0.39436,0.39436,m
MNXR14578,994.48913,0.09892000000000001,994.48913,0.09892000000000001,c
MNXR14768,-0.01291,-0.01291,-0.01291,-0.01291,m
MNXR15262,1000.0,1000.0,1000.0,1000.0,r
MNXR15642,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR15867,-0.00031,-0.00031,-0.00031,-0.00031,m
MNXR1587,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,m
MNXR160,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR17296,-1000.0,682.06497,-1000.0,682.06497,y
MNXR17297,1000.0,-682.06497,1000.0,-682.06497,c
MNXR18214,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR2062,1000.0,1000.0,1000.0,1000.0,r
MNXR27634,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27635,0.0084,0.0084,0.0084,0.0084,m
MNXR27636,0.0084,0.0084,0.0084,0.0084,m
MNXR27638,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27639,0.0084,0.0084,0.0084,0.0084,m
MNXR27640,0.0084,0.0084,0.0084,0.0084,m
MNXR27642,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27643,0.0084,0.0084,0.0084,0.0084,m
MNXR27644,0.0084,0.0084,0.0084,0.0084,m
MNXR27646,0.0084,0.0084,0.0084,0.0084,m
MNXR27647,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27648,0.0084,0.0084,0.0084,0.0084,m
MNXR27650,0.0084,0.0084,0.0084,0.0084,m
MNXR27651,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27652,0.0084,0.0084,0.0084,0.0084,m
MNXR27654,0.0084,0.0084,0.0084,0.0084,m
MNXR27655,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27656,0.0084,0.0084,0.0084,0.0084,m
MNXR27659,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27660,0.0084,0.0084,0.0084,0.0084,m
MNXR27661,0.0084,0.0084,0.0084,0.0084,m
MNXR27663,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27664,0.0084,0.0084,0.0084,0.0084,m
MNXR27665,0.0084,0.0084,0.0084,0.0084,m
MNXR27667,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27668,0.0084,0.0084,0.0084,0.0084,m
MNXR27669,0.0084,0.0084,0.0084,0.0084,m
MNXR27671,0.0084,0.0084,0.0084,0.0084,m
MNXR27672,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27673,0.0084,0.0084,0.0084,0.0084,m
MNXR27675,0.0084,0.0084,0.0084,0.0084,m
MNXR27676,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27677,0.0084,0.0084,0.0084,0.0084,m
MNXR27679,0.0084,0.0084,0.0084,0.0084,m
MNXR27680,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR27681,0.0084,0.0084,0.0084,0.0084,m
MNXR27856,0.00031,0.00031,0.00031,0.00031,m
MNXR2786,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,m
MNXR28662,-0.0042,-0.0042,-0.0042,-0.0042,m
MNXR28663,-0.0042,-0.0042,-0.0042,-0.0042,m
MNXR28671,-0.0042,-0.0042,-0.0042,-0.0042,m
MNXR28672,-0.0042,-0.0042,-0.0042,-0.0042,m
MNXR28683,-0.00105,-0.00105,-0.00105,-0.00105,m
MNXR28684,-0.00105,-0.00105,-0.00105,-0.00105,m
MNXR28689,0.00105,0.00105,0.00105,0.00105,m
MNXR28690,0.00105,0.00105,0.00105,0.00105,m
MNXR28716,-0.00315,-0.00315,-0.00315,-0.00315,m
MNXR28717,-0.00315,-0.00315,-0.00315,-0.00315,m
MNXR28722,0.00315,0.00315,0.00315,0.00315,m
MNXR28723,0.00315,0.00315,0.00315,0.00315,m
MNXR31648,-0.00031,-0.00031,-0.00031,-0.00031,m
MNXR32524,0.0119,0.0119,0.0119,0.0119,m
MNXR3277,1000.0,999.99895,1000.0,999.99895,r
MNXR3279,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR3312,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR3495,0.014130000000000002,0.014130000000000002,0.014130000000000002,0.014130000000000002,m
MNXR40622,-9.97537,-0.36091999999999996,-9.97537,-0.36091999999999996,m
MNXR4313,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR4335,1000.0,999.99895,1000.0,999.99895,r
MNXR4403,-0.0119,-0.0119,-0.0119,-0.0119,m
MNXR5314,0.00247,0.00247,0.00247,0.00247,m
MNXR53357,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR53358,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR53361,0.0084,0.0084,0.0084,0.0084,m
MNXR53363,0.0084,0.0084,0.0084,0.0084,m
MNXR53366,-0.014790000000000001,-0.01584,-0.014790000000000001,-0.01584,m
MNXR5475,0.00031,0.00031,0.00031,0.00031,m
MNXR55674,0.00247,0.00247,0.00247,0.00247,m
MNXR55989,-0.00247,-0.00247,-0.00247,-0.00247,m
MNXR55990,-0.39682,-0.39682,-0.39682,-0.39682,m
MNXR578,-0.00122,-0.00122,-0.00122,-0.00122,m
MNXR58824,0.009859999999999999,0.009859999999999999,0.009859999999999999,0.009859999999999999,m
MNXR60025,-0.00031,-0.00031,-0.00031,-0.00031,m
MNXR6043,0.00031,0.00031,0.00031,0.00031,m
MNXR6494,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR67415,0.00247,0.00247,0.00247,0.00247,m
MNXR69337,1000.0,1000.0,1000.0,1000.0,r
MNXR69346,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR69352,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR6970,-675.2497,1000.0,-675.2497,1000.0,y
MNXR69727,1000.0,1000.0,1000.0,1000.0,r
MNXR69749,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR69763,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR69802,0.0,-0.00105,0.0,-0.00105,m
MNXR69813,0.0,-0.00105,0.0,-0.00105,m
MNXR70375,-0.6677,0.0,-0.6677,0.0,m
MNXR71850,996.92566,4.77225,996.92566,4.77225,c
MNXR7459,-0.00015,-0.00015,-0.00015,-0.00015,m
MNXR7594,1000.0,1000.0,1000.0,1000.0,r
MNXR79548,-999.9761599999999,-999.9761599999999,-999.9761599999999,-999.9761599999999,g
MNXR79604,-0.04514,-0.04514,-0.04514,-0.04514,m
MNXR79613,0.6677,0.0,0.6677,0.0,m
MNXR79704,-0.03224,-0.03224,-0.03224,-0.03224,m
MNXR79878,-0.03073,-0.03073,-0.03073,-0.03073,m
MNXR79883,0.00061,0.00061,0.00061,0.00061,m
MNXR80058,-0.0084,-0.0084,-0.0084,-0.0084,m
MNXR80308,0.0084,0.0084,0.0084,0.0084,m
MNXR80309,0.0084,0.0084,0.0084,0.0084,m
MNXR80380,1000.0,1000.0,1000.0,1000.0,r
MNXR80383,1000.0,1000.0,1000.0,1000.0,r
MNXR80385,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR80400,1000.0,1000.0,1000.0,1000.0,r
MNXR80403,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR80406,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR80501,-0.0042,-0.0042,-0.0042,-0.0042,m
MNXR80502,-0.0042,-0.0042,-0.0042,-0.0042,m
MNXR80555,-0.00105,-0.00105,-0.00105,-0.00105,m
MNXR80556,0.00105,0.00105,0.00105,0.00105,m
MNXR80557,0.00105,0.00105,0.00105,0.00105,m
MNXR80794,0.00031,0.00031,0.00031,0.00031,m
MNXR81103,0.00061,0.00061,0.00061,0.00061,m
MNXR84631,1000.0,1000.0,1000.0,1000.0,r
MNXR85267,1000.0,1000.0,1000.0,1000.0,r
MNXR85268,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR85270,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR85287,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR85310,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR85363,0.00031,0.00031,0.00031,0.00031,m
MNXR85460,-1000.0,0.07505,-1000.0,0.07505,b
MNXR8605,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR87148,0.009859999999999999,-656.70386,0.009859999999999999,-656.70386,c
MNXR8994,5.60918,999.9993900000001,5.60918,999.9993900000001,y
MNXR93624,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR93698,-0.03224,-0.03224,-0.03224,-0.03224,m
MNXR93704,-999.96299,1000.0,-999.96299,1000.0,y
MNXR93715,-992.7325300000001,-2.81311,-992.7325300000001,-2.81311,b
MNXR93746,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR93748,1000.0,1000.0,1000.0,1000.0,r
MNXR93798,1000.0,-1000.0,1000.0,-1000.0,m
MNXR93844,0.0,1000.0,0.0,1000.0,y
MNXR93845,0.0,-1000.0,0.0,-1000.0,c
MNXR93945,1000.0,1000.0,1000.0,1000.0,r
MNXR93946,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94164,-1000.0,1000.0,-1000.0,1000.0,y
MNXR94165,0.0,-1000.0,0.0,-1000.0,c
MNXR94166,0.0,1000.0,0.0,1000.0,y
MNXR94192,-0.00247,-0.00247,-0.00247,-0.00247,m
MNXR94194,1000.0,1000.0,1000.0,1000.0,r
MNXR94196,1000.0,1000.0,1000.0,1000.0,r
