"rpfCGH_mean"	"Void_mean"	"theta"	"prob"	"log2FC"
"fig|1185660.4.peg.2575"	8.5	677.5	-5.38921564403058	1	-6.31661429499089
"fig|1185660.4.peg.2645"	153.5	976	-2.87402288687261	1	-2.66864249219271
"fig|1185660.4.peg.2861"	18.25	5987.5	-11.1651026426439	1	-8.35791347663089
"fig|1185660.4.peg.30"	116.5	527.5	-2.21801425688781	1	-2.17884113894027
"fig|1185660.4.peg.3039"	14	308	-2.3780394404286	1	-4.4594316186373
"fig|1185660.4.peg.3126"	36	208.5	-2.19342174661127	1	-2.53397857200235
"fig|1185660.4.peg.3189"	16	179.5	-1.73811204341251	1	-3.48784003382305
"fig|1185660.4.peg.3223"	1138.5	3144.5	-2.57543868506997	1	-1.46569634411418
"fig|1185660.4.peg.3522"	6.5	504.5	-2.89879792671862	1	-6.27827074096527
"fig|1185660.4.peg.3524"	21.5	361.5	-2.19888774877545	1	-4.07158708224902
"fig|1185660.4.peg.3536"	21.5	637.5	-2.8981168709123	1	-4.89001677704412
"fig|1185660.4.peg.3543"	2.5	172	-2.30750846168255	1	-6.10433665981474
"fig|1185660.4.peg.3545"	11	804.5	-2.77847760487605	1	-6.19251699208615
"fig|1185660.4.peg.3636"	44.5	442	-2.30359888970114	1	-3.31216912842503
"fig|1185660.4.peg.3759"	34	372	-2.4131222111607	1	-3.45169596985769
"fig|1185660.4.peg.3843"	12.5	832	-4.36799087851655	1	-6.05658352836637
"fig|1185660.4.peg.3845"	9.5	891.5	-3.49644005199622	1	-6.55216347418141
"fig|1185660.4.peg.3846"	13	687	-3.72879082842918	1	-5.72372657067701
"fig|1185660.4.peg.3881"	52	32228.5	-5.25098428530498	1	-9.27560970450886
"fig|1185660.4.peg.3909"	88	1181.5	-3.62199554015193	1	-3.74697229533655
"fig|1185660.4.peg.393"	20.5	285.5	-2.17081456570239	1	-3.79979493074476
"fig|1185660.4.peg.395"	12	172.5	-3.09732048695892	1	-3.84549005094438
"fig|1185660.4.peg.3961"	0.5	830.5	-3.74550345204135	1	-10.6978363579624
"fig|1185660.4.peg.3987"	10827.5	64352	-2.77157843975294	1	-2.57128481435042
"fig|1185660.4.peg.3988"	4945	23415.5	-2.39410686491766	1	-2.24342141868003
"fig|1185660.4.peg.4150"	13	548.5	-2.36528328243875	1	-5.3989080922621
"fig|1185660.4.peg.4190"	83.5	1153.5	-2.56296524752864	1	-3.78809799620893
"fig|1185660.4.peg.4202"	103.5	543	-2.17255405413007	1	-2.39132143030504
"fig|1185660.4.peg.425"	9802.5	23161.5	-1.73050434639962	1	-1.2405070472449
"fig|1185660.4.peg.4422"	17	298.5	-2.21833392627922	1	-4.13412428001447
"fig|1185660.4.peg.4447"	44.5	417	-2.39721957783402	1	-3.22817014247827
"fig|1185660.4.peg.4515"	33.5	321	-1.72026237958784	1	-3.26034029666453
"fig|1185660.4.peg.4578"	6.5	1173.5	-2.41810756761735	1	-7.49616240838208
"fig|1185660.4.peg.4579"	5	380	-2.01281945557666	1	-6.24792751344359
"fig|1185660.4.peg.4580"	2.5	247.5	-2.08637729462583	1	-6.62935662007961
"fig|1185660.4.peg.463"	156	813.5	-2.8027966150383	1	-2.38259631681028
"fig|1185660.4.peg.623"	113.5	717.5	-2.37898071695719	1	-2.66028653427214
"fig|1185660.4.peg.717"	32	1723	-2.91122348855749	1	-5.75070698622495
"xanmn_chr02_0209"	0.5	297.25	-2.43502994392763	1	-9.21553299974566
"xanmn_chr02_0302"	0.5	178.75	-2.21063990122064	1	-8.48179943166575
"xanmn_chr03_0339"	892.5	4551	-2.58939687811947	1	-2.35025951205173
"xanmn_chr03_0659"	2208	40230	-4.61605236462085	1	-4.18745966073482
"xanmn_chr03_0842"	128.75	748	-1.72989679932125	1	-2.53846583781706
"xanmn_chr03_0895"	18.5	131	-2.16962419886174	1	-2.8239696359085
"xanmn_chr04_0005"	0.5	158.5	-2.60493852602578	1	-8.30833903013941
"xanmn_chr04_0162"	117	1628.5	-5.39206302932879	1	-3.7989632848125
"xanmn_chr04_0403"	585.5	2131.5	-3.78285661197993	1	-1.86412797946272
"xanmn_chr04_0423"	1901.5	13399	-3.67972591207638	1	-2.81691548877538
"xanmn_chr05_0062"	0.5	229.25	-2.32133127579446	1	-8.84077792359505
"xanmn_chr06_0083"	64.5	1191.5	-3.67239997343685	1	-4.20733598076702
"xanmn_chr10_0426"	15	0.5	2.62262884041792	1	4.90689059560852
"xanmn_chr10_0454"	43.5	334	-1.73282921083162	1	-2.94076079662532
"xanmn_chr14_0133"	0.5	47	-2.58593069612739	1	-6.55458885167764
"xanmn_chr15_0341"	0.5	360	-2.87605179611294	1	-9.49185309632967
"fig|1185660.4.peg.1013"	2747	7765.5	-2.72362094833652	1	-1.49922190850623
"fig|1185660.4.peg.1483"	2797	10602.5	-2.29263776562559	1	-1.92245232400761
"fig|1185660.4.peg.1580"	29059	57298	-2.98464385416955	1	-0.97949972552921
"fig|1185660.4.peg.2021"	6.5	379.5	-2.44230525973458	1	-5.86751635727437
"fig|1185660.4.peg.2164"	10.25	579.5	-2.23160456182371	1	-5.82111284638839
"fig|1185660.4.peg.2177"	12.5	163	-2.15507054082211	1	-3.70487196445635
"fig|1185660.4.peg.2201"	55.5	552	-2.13603086018526	1	-3.31410859042806
"fig|1185660.4.peg.2353"	312.5	1137	-2.16336289188253	1	-1.8633041593428
"fig|1185660.4.peg.2406"	4589.5	88950	-4.24822561250698	1	-4.27658571162359
"fig|1185660.4.peg.287"	36.5	443	-2.15740042660813	1	-3.601338329675
"fig|1185660.4.peg.3547"	196.5	1092	-2.40894713719208	1	-2.47437163866125
"fig|1185660.4.peg.3548"	314.5	1046.5	-2.76113600876425	1	-1.73444038937642
"fig|1185660.4.peg.366"	90.5	411.5	-2.26628716789211	1	-2.18490273333842
"fig|1185660.4.peg.3731"	224	665.5	-2.14042715653309	1	-1.57093993385429
"fig|1185660.4.peg.3991"	775.5	4857.5	-2.44054721441212	1	-2.64701530943662
"fig|1185660.4.peg.4002"	301	737.5	-1.71254174247142	1	-1.29287956237686
"fig|1185660.4.peg.4187"	821.5	9909.5	-6.2161509673372	1	-3.59247978542665
"fig|1185660.4.peg.4518"	5	73.5	-2.47035211348087	1	-3.877744249949
"fig|1185660.4.peg.696"	0.5	74.5	-2.93056925116907	1	-7.21916852046216
"xanmn_chr02_0047"	38	226.5	-2.07260067510349	1	-2.57543972660265
"xanmn_chr03_0520"	6.5	169.5	-2.33219299950625	1	-4.70470174499525
"xanmn_chr04_0381"	31	529	-1.73902863406645	1	-4.09292760172715
"xanmn_chr06_0016"	290.5	38044.5	-2.95170381241569	1	-7.03300592806675
"xanmn_chr06_0506"	0.5	3608.5	-4.59078318223023	1	-12.8171835394257
"xanmn_chr06_0507"	8.5	396	-2.05423067195712	1	-5.54189377882927
"xanmn_chr10_0099"	295	9955.5	-2.57167479258516	1	-5.07670691536477
"xanmn_chr13_0150"	26.5	497.5	-2.41472274338972	1	-4.23063226086781
"fig|1185660.4.peg.1169"	8.5	132	-2.04215868147302	1	-3.95693127810811
"fig|1185660.4.peg.1351"	4	75	-2.10335238873992	1	-4.22881869049588
"fig|1185660.4.peg.1579"	472.5	2002	-3.13291534322815	1	-2.08305573972756
"fig|1185660.4.peg.1747"	76.5	570.5	-2.02093593271471	1	-2.89869523359603
"fig|1185660.4.peg.1920"	0.5	86	-3.88417099724223	1	-7.4262647547021
"fig|1185660.4.peg.2068"	517	4109.5	-4.64502441205031	1	-2.99072668723183
"fig|1185660.4.peg.2178"	6	212.5	-2.10111225071053	1	-5.14635653030391
"fig|1185660.4.peg.2292"	11.5	741.5	-2.48892688300485	1	-6.01074092639762
"fig|1185660.4.peg.2331"	186.5	604	-2.04191539600529	1	-1.69537291906984
"fig|1185660.4.peg.2949"	9	95	-2.08171299316169	1	-3.39993060688864
"fig|1185660.4.peg.3048"	26.5	598.5	-3.67849590223272	1	-4.4972869823803
"fig|1185660.4.peg.3853"	137	1793.5	-2.62592354259578	1	-3.710529946997
"fig|1185660.4.peg.3882"	85.5	16379.5	-4.35430522702853	1	-7.58175118266016
"fig|1185660.4.peg.396"	6	93	-2.28967066279357	1	-3.95419631038688
"fig|1185660.4.peg.4191"	27.5	231	-2.48925175666995	1	-3.0703893278914
"fig|1185660.4.peg.4439"	5	271	-2.11048939009623	1	-5.76022094646651
"xanmn_chr01_0078"	17.5	482	-2.11162786396339	1	-4.78360631928499
"xanmn_chr03_0773"	41.5	818.5	-2.34540080675797	1	-4.30179917512723
"xanmn_chr04_0359"	23.5	789	-3.91020626840338	1	-5.06929263833582
"xanmn_chr06_5014"	1137	2474.5	-2.0817500059377	1	-1.12190478797476
"xanmn_chr10_0464"	47.5	788.5	-5.12334902865108	1	-4.05311133645956
"xanmn_chr15_0348"	613	1385	-2.09985252679468	1	-1.17592699724577
"xanmn_unk12_0055"	41	340	-2.10999742016017	1	-3.05183893151962
"fig|1185660.4.peg.1008"	14957	99447	-2.09786763365081	1	-2.73310701447978
"fig|1185660.4.peg.1918"	0.5	221	-4.74160654851337	1	-8.78790255939143
"fig|1185660.4.peg.219"	54.5	2848	-3.08080731255959	1	-5.70754910618947
"fig|1185660.4.peg.2267"	3	320.5	-2.0797122174957	1	-6.73921804589758
"fig|1185660.4.peg.2268"	3	284	-2.2642308660007	1	-6.56478461878353
"fig|1185660.4.peg.2272"	8.5	916.5	-2.12340269667298	1	-6.75252822928955
"fig|1185660.4.peg.2274"	8	549	-2.12749931391192	1	-6.1006623390052
"fig|1185660.4.peg.2300"	9	520	-2.57937715121409	1	-5.85244281158614
"fig|1185660.4.peg.3832"	16	1343.5	-4.02715591290665	1	-6.39178060601317
"fig|1185660.4.peg.394"	12	152	-2.26909047778043	1	-3.66296501272243
"fig|1185660.4.peg.4010"	186	815.5	-2.60861473859448	1	-2.13238225560385
"fig|1185660.4.peg.85"	15162.5	66993	-3.19229912019139	1	-2.14350271301753
"fig|1185660.4.peg.956"	6.75	550.5	-3.1997424385765	1	-6.3497112514009
"fig|1185660.4.peg.997"	607.5	4746	-4.2815850354272	1	-2.9657557867008
"xanmn_chr04_0175"	180	955	-2.24726888615233	1	-2.40750382659344
"xanmn_chr04_0420"	251	3371	-2.24714778934355	1	-3.74741735803344
"xanmn_chr12_0071"	190.5	1127.5	-2.64628163835957	1	-2.56526453064942
"fig|1185660.4.peg.1068"	2	38.5	-2.51885630272173	1	-4.2667865406949
"fig|1185660.4.peg.1867"	12.25	378	-2.26986794605493	1	-4.94753258010586
"fig|1185660.4.peg.2301"	6.5	402	-2.2290616481708	1	-5.95061197303784
"fig|1185660.4.peg.3521"	118	919.5	-3.19914318196621	1	-2.9620627150501
"fig|1185660.4.peg.3658"	74	737	-3.18285380842607	1	-3.31606744346612
"fig|1185660.4.peg.3730"	64.5	4844	-4.29032731522056	1	-6.23075589427107
"fig|1185660.4.peg.4057"	765.5	2971	-3.48143193865882	1	-1.95647432233563
"fig|1185660.4.peg.4519"	2	38.5	-2.51885630272173	1	-4.2667865406949
"xanmn_chr04_0384"	90.5	527	-2.56777168143089	1	-2.54181326455401
"xanmn_chr06_0230"	10.5	715.5	-2.12378896694086	1	-6.09049053394791
"fig|1185660.4.peg.1139"	2769.5	14244.5	-2.55121727044173	0.999999999999999	-2.36270753851259
"fig|1185660.4.peg.2066"	2.75	683.5	-2.65136464116396	0.999999999999999	-7.95736590896876
"fig|1185660.4.peg.2302"	5	408.5	-2.51261184984519	0.999999999999999	-6.35226417325832
"fig|1185660.4.peg.3542"	1.5	331	-3.31214168728914	0.999999999999999	-7.78572490608606
"xanmn_chr15_0094"	9	237	-2.10568018100089	0.999999999999999	-4.71881824745595
"fig|1185660.4.peg.1029"	3.5	69	-2.07735788228729	0.999999999999999	-4.30116953472056
"fig|1185660.4.peg.1837"	480.5	20.5	2.1121261695427	0.999999999999999	4.55084061615567
"fig|1185660.4.peg.2258"	11.5	1113.5	-2.52320195144896	0.999999999999999	-6.59732388673078
"fig|1185660.4.peg.4016"	118	1040	-4.16406390626945	0.999999999999999	-3.13972476366661
"fig|1185660.4.peg.1144"	8904	26647	-3.38236266010883	0.999999999999999	-1.58144762135524
"xanmn_chr01_0096"	1062.5	11139	-4.38572147075167	0.999999999999999	-3.39008497466347
"xanmn_chr09_0128"	215	787	-1.70282934549433	0.999999999999999	-1.87202697591803
"xanmn_chr15_0327"	0.5	134	-4.07980720645136	0.999999999999999	-8.06608919045777
"fig|1185660.4.peg.1378"	19.5	498.5	-2.73358339841292	0.999999999999999	-4.67604747553595
"fig|1185660.4.peg.22"	6	176	-2.73054711915489	0.999999999999999	-4.87446911791614
"fig|1185660.4.peg.4310"	1297.5	7493	-2.72962230870548	0.999999999999999	-2.52980891288876
"xanmn_chr03_0369"	17	0.5	2.05880230973027	0.999999999999999	5.08746284125034
"xanmn_chr04_0400"	260.5	2147	-3.06224992934357	0.999999999999999	-3.04296691358027
"xanmn_chr04_0407"	373.5	2607	-2.63216734871316	0.999999999999999	-2.80321043474632
"fig|1185660.4.peg.1600"	33	384.5	-2.74041734114337	0.999999999999999	-3.54244566860337
"fig|1185660.4.peg.3566"	98	1698	-5.06265695828158	0.999999999999999	-4.11491089943783
"fig|1185660.4.peg.3729"	143	515	-1.68965799772377	0.999999999999999	-1.84855728529219
"xanmn_chr16_0013"	1115	4119	-3.4662912865634	0.999999999999999	-1.88525041606059
"fig|1185660.4.peg.1085"	2039.5	9611.5	-1.69175917344209	0.999999999999999	-2.23654609282686
"fig|1185660.4.peg.1586"	41.5	6422.5	-3.90581614030645	0.999999999999999	-7.27387983844125
"fig|1185660.4.peg.3546"	119.5	2798	-5.58135600755805	0.999999999999999	-4.549313439184
"fig|1185660.4.peg.518"	996	2133.5	-1.69313428374437	0.999999999999999	-1.09900446313303
"fig|1185660.4.peg.397"	9	124.5	-2.73842176246158	0.999999999999999	-3.79007693062577
"xanmn_chr03_0335"	43.5	473.5	-2.65437462796955	0.999999999999999	-3.44427711961966
"xanmn_chr06_0508"	122.5	892	-3.86350918013525	0.999999999999999	-2.86426196091773
"fig|1185660.4.peg.3844"	12	1575	-3.9516165354624	0.999999999999999	-7.03617361255349
"xanmn_chr06_0424"	0.5	594	-3.35132544906665	0.999999999999999	-10.2143191208008
"fig|1185660.4.peg.2278"	130.5	785.5	-1.68401901608458	0.999999999999998	-2.58956146872431
"fig|1185660.4.peg.2332"	207	478	-1.68372329223095	0.999999999999998	-1.20737985048142
"fig|1185660.4.peg.3657"	17.5	1596	-3.97524385918753	0.999999999999998	-6.51096191927738
"fig|1185660.4.peg.3529"	42.5	559	-3.41959365778105	0.999999999999998	-3.71731353670549
"fig|1185660.4.peg.4270"	702.5	1904.5	-3.27357430451797	0.999999999999998	-1.43884215745505
"xanmn_chr01_0092"	0.5	435.5	-4.71095801570132	0.999999999999998	-9.76652890859886
"fig|1185660.4.peg.3036"	1682.5	11899	-5.05804192531675	0.999999999999997	-2.82216192361342
"fig|1185660.4.peg.2023"	3	507	-4.95476265881535	0.999999999999997	-7.40087943628218
"fig|1185660.4.peg.2257"	7	515.5	-2.00355504744332	0.999999999999997	-6.2024736953105
"fig|1185660.4.peg.356"	3.5	89.5	-1.74220698602853	0.999999999999997	-4.67646085520665
"xanmn_unk12_0054"	1413.5	13802.5	-4.72403544214413	0.999999999999997	-3.28758581284813
"rRNA-5S"	85.5	1843.5	-4.80795039162992	0.999999999999996	-4.43037918620792
"fig|1185660.4.peg.2261"	5.5	562	-2.00292220579081	0.999999999999996	-6.67499470158363
"fig|1185660.4.peg.4553"	2.5	186	-3.45434648945165	0.999999999999996	-6.21723071622067
"fig|1185660.4.peg.1919"	0.5	120.5	-5.2021578923122	0.999999999999995	-7.91288933622996
"xanmn_chr11_0191"	255	1750	-6.12927153066435	0.999999999999995	-2.77878576986083
"pqqA"	5986.25	113418	-5.84345848236218	0.999999999999988	-4.24385328063381
"fig|1185660.4.peg.1012"	3443.5	7308.5	-1.67737999807779	0.999999999999988	-1.08569966011643
"fig|1185660.4.peg.3366"	60	370	-1.74498689114608	0.999999999999986	-2.62449086490779
"xanmn_chr03_0755"	41.5	678	-1.99947737148798	0.999999999999985	-4.03010203178942
"xanmn_chr13_0052"	24.5	477.5	-1.99878900939223	0.999999999999977	-4.2846470788079
"fig|1185660.4.peg.3487"	141	603	-1.67492012082952	0.999999999999969	-2.09646283950129
"fig|1185660.4.peg.3635"	16	197	-1.67490851589163	0.999999999999969	-3.62205181945638
"fig|1185660.4.peg.2270"	4.5	202	-1.7468651901145	0.999999999999968	-5.48828648130948
"fig|1185660.4.peg.3925"	297	777	-1.9969909168991	0.999999999999957	-1.38745166760694
"fig|1185660.4.peg.3762"	8.5	262	-1.99626723863017	0.999999999999939	-4.94596016028711
"fig|1185660.4.peg.3854"	53	392.5	-1.74900202622735	0.999999999999928	-2.88862838921579
"fig|1185660.4.peg.2293"	7	229.5	-1.74952470055218	0.999999999999905	-5.0349954213562
"fig|1185660.4.peg.2176"	193	953	-1.99465642723975	0.999999999999882	-2.30387536664186
"xanmn_chr11_0007"	61.5	356	-1.67022351628657	0.999999999999815	-2.53321892562716
"fig|1185660.4.peg.1214"	1.5	65.5	-1.99110667500818	0.999999999999592	-5.44846050081629
"fig|1185660.4.peg.2514"	5517.5	32175.5	-1.9884862549106	0.999999999998844	-2.54387593815761
"fig|1185660.4.peg.2269"	6.5	259	-1.75681289044411	0.999999999998586	-5.31636856954546
"fig|1185660.4.peg.4304"	3192	9988	-1.66374516204784	0.999999999997802	-1.64573516970587
"xanmn_chr03_0885"	15.5	171	-1.9855933571678	0.999999999996673	-3.46365620449902
"xanmn_chr13_0119"	26	264	-1.75936420831631	0.999999999996263	-3.34395440121736
"xanmn_chr05_0065"	133	469	-1.98357388844839	0.999999999992718	-1.81816167701419
"fig|1185660.4.peg.3111"	5.5	78	-1.76451350226109	0.999999999976021	-3.82597060022495
"fig|1185660.4.peg.1010"	4222.5	12436.5	-1.65573658722991	0.999999999963261	-1.55841119727242
"xanmn_chr03_0017"	24	205	-1.97791913970671	0.999999999947635	-3.09451759878429
"fig|1185660.4.peg.3676"	209	565.5	-1.77297329069069	0.999999999603125	-1.43602408190894
"fig|1185660.4.peg.638"	8.5	64	-1.7752005645609	0.999999999194447	-2.91253715874966
"xanmn_chr03_0898"	175.5	676	-1.96884780431562	0.999999999084412	-1.94555221597762
"fig|1185660.4.peg.2647"	216	1050	-1.96798389653478	0.999999998691424	-2.28128611039002
"fig|1185660.4.peg.3523"	12	222	-1.96774012094716	0.999999998578038	-4.20945336562895
"fig|1185660.4.peg.2265"	7	454	-1.96727855264784	0.999999998363511	-6.01919356523331
"xanmn_chr10_0519"	5.5	45	-1.78152281182021	0.999999994693802	-3.03242147769238
"fig|1185660.4.peg.4153"	51	220	-1.63883165662325	0.999999992895268	-2.10893437155316
"fig|1185660.4.peg.1407"	695.5	2156.5	-1.96216003136721	0.999999992574703	-1.63256929619226
"fig|1185660.4.peg.1340"	13	153	-1.78329604109339	0.999999990949731	-3.55694812455156
"fig|1185660.4.peg.4103"	361.5	777	-1.63552332014363	0.999999982150143	-1.10391895145659
"fig|1185660.4.peg.2047"	15214.5	62558.5	-1.78660486054225	0.999999977153418	-2.03975899797115
"fig|1185660.4.peg.3840"	12.5	217.5	-1.95623688331002	0.999999961411351	-4.12101540096137
"fig|1185660.4.peg.3114"	8.5	105	-1.63024105435959	0.999999927358357	-3.62678267641578
"fig|1185660.4.peg.1935"	19	552	-1.79220104843148	0.99999989950891	-4.86059694333458
"fig|1185660.4.peg.164"	7.5	133.5	-1.7930009950043	0.999999881059464	-4.15380533607904
"fig|1185660.4.peg.3912"	347.5	930	-1.62425989629102	0.999999681190304	-1.42021773838452
"fig|1185660.4.peg.3758"	12.5	122.5	-1.79762045128552	0.999999615436045	-3.29278174922785
"fig|1185660.4.peg.3086"	5	262.5	-1.79782520880876	0.999999598310733	-5.71424551766612
"fig|1185660.4.peg.1354"	273	1286	-1.62142458872483	0.999999383764976	-2.23591778640809
"ihfA_"	453.5	1200.5	-1.61781147953755	0.999998652741622	-1.40446094770189
"fig|1185660.4.peg.4557"	16	103	-1.80446923648702	0.999998212607662	-2.68650052718322
"xanmn_chr13_0093"	7	156	-1.93780297706004	0.999996919104275	-4.47804729680464
"fig|1185660.4.peg.1956"	22.5	1094	-1.80746613407886	0.999996588391843	-5.60354392646288
"fig|1185660.4.peg.4581"	22.5	1094	-1.80746613407886	0.999996588391843	-5.60354392646288
"xanmn_chr03_0085"	114.5	382	-1.61161825627465	0.999995034574248	-1.7382250399388
"fig|1185660.4.peg.3112"	12	149	-1.80922726454454	0.999995015651522	-3.63420601974101
"fig|1185660.4.peg.3109"	7.5	81.5	-1.80938366870024	0.999994875850444	-3.44183755862256
"fig|1185660.4.peg.2259"	6.5	139.5	-1.93453862056895	0.999993886332293	-4.4236815936881
"fig|1185660.4.peg.2863"	386	1824.5	-1.81312289013703	0.9999894229304	-2.2408283983164
"fig|1185660.4.peg.400"	13	97.5	-1.60631343011813	0.999986660261648	-2.90689059560852
"fig|1185660.4.peg.3502"	107	686	-1.93003703321927	0.999985785139314	-2.68059777977167
"fig|1185660.4.peg.2273"	5	222	-1.81573570633426	0.999982874532036	-5.47248777146274
"CcmD"	62	311.5	-1.92732577074658	0.999976687968442	-2.32889204263713
"fig|1185660.4.peg.3532"	12	168.5	-1.81755579750201	0.99997593923696	-3.8116422804607
"fig|1185660.4.peg.2978"	2213.5	6344	-1.60191727235318	0.999970898963435	-1.51906339760611
"fig|1185660.4.peg.1957"	15.5	760	-1.92501895363521	0.999965151516317	-5.61565929794407
"xanmn_chr03_0286"	10	81.5	-1.92473882083112	0.999963685891989	-3.02680005934372
"fig|1185660.4.peg.23"	8	234	-1.60042926517586	0.999963070402592	-4.8703647195834
"fig|1185660.4.peg.1503"	160.5	516	-1.82091793050155	0.999958191999234	-1.68479776830095
"fig|1185660.4.peg.3282"	49	193	-1.59927505481223	0.999955313238719	-1.97774719315287
"xanmn_chr04_0205"	3.75	124.5	-1.59619963688312	0.999928595730925	-5.05311133645956
"xanmn_chr03_0930"	46	319	-1.92055342907322	0.999927775853207	-2.79385065770786
"fig|1185660.4.peg.639"	9	92.5	-1.59306875855172	0.999889315757039	-3.361456459074
"fig|1185660.4.peg.3244"	176.5	574	-1.82757869541086	0.999880963626231	-1.70138255340451
"fig|1185660.4.peg.163"	4.5	109.5	-1.82761208840262	0.999880364755117	-4.60486205815886
"fig|1185660.4.peg.1002"	3066	14757.5	-1.5917338293364	0.999866464599886	-2.26701873967615
"fig|1185660.4.peg.131"	6	82	-1.91586772656191	0.999858815262786	-3.77258950389693
"fig|1185660.4.peg.1953"	1	35.5	-1.50625659021788	0.99983148459176	-5.14974711950468
"fig|1185660.4.peg.3970"	1	11.5	-1.50417163740647	0.999827203036092	-3.52356195605701
"fig|1185660.4.peg.2121"	29	110.5	-1.50853223413152	0.99981741137209	-1.92992156426386
"fig|1185660.4.peg.3580"	185.5	618	-1.58826261210332	0.999791180573981	-1.73618765128357
"fig|1185660.4.peg.1009"	5636	14829.5	-1.51126143098222	0.999781609753159	-1.39572643911186
"fig|1185660.4.peg.1536"	8.5	118	-1.5127583863879	0.99975070747245	-3.7951802081115
"fig|1185660.4.peg.3185"	101.5	373.5	-1.58519023868447	0.999701332048718	-1.87962851560406
"fig|1185660.4.peg.2246"	2748.5	9540.5	-1.5848557056646	0.999690616300118	-1.79542039782135
"fig|1185660.4.peg.1004"	4643	16867.5	-1.8354206333397	0.999669616645301	-1.86111697581967
"xanmn_chr06_0483"	63	273	-1.51620095988482	0.999654079967271	-2.11547721741994
"fig|1185660.4.peg.2723"	67.5	272.5	-1.58293125788366	0.999617646744847	-2.01329682261346
"fig|1185660.4.peg.4011"	96.5	318	-1.83802035498954	0.999555476237576	-1.72042591801628
"fig|1185660.4.peg.3113"	5.5	65.5	-1.52049421933032	0.999480904344383	-3.57399138290015
"fig|1185660.4.peg.4582"	10.5	603	-1.90518248856537	0.999472800683786	-5.84369676912132
"xanmn_chr02_0019"	8.5	102	-1.52084784256381	0.999462786518185	-3.58496250072116
"xanmn_chr14_0087"	20.5	226	-1.57923241717883	0.999449751471363	-3.4626269577971
"fig|1185660.4.peg.4260"	1867	3144	-1.90429793153585	0.999422427689455	-0.751879290032405
"xanmn_chr01_0099"	2110	6639	-1.52442974311303	0.999266651506385	-1.65372295292762
"fig|1185660.4.peg.2483"	14	87	-1.48761141590142	0.999240699196375	-2.63558857379112
"fig|1185660.4.peg.3831"	14	87	-1.48761141590142	0.999240699196375	-2.63558857379112
"fig|1185660.4.peg.1021"	2260.5	5241.5	-1.52698331178615	0.999105374188786	-1.21333782022826
"fig|1185660.4.peg.3763"	7.5	125	-1.48580807292694	0.999104509659483	-4.05889368905357
"fig|1185660.4.peg.1278"	4	52	-1.52877238598349	0.998984232897606	-3.70043971814109
"fig|1185660.4.peg.1176"	119	473	-1.41774829645716	0.998966851075817	-1.99087861003145
"fig|1185660.4.peg.1283"	4	55.5	-1.42124455559115	0.998953396234591	-3.79441586635011
"fig|1185660.4.peg.4185"	110.5	326.5	-1.41614743084418	0.998947474498756	-1.563036622155
"fig|1185660.4.peg.2220"	11	72	-1.4232737950686	0.998911206365196	-2.71049338280501
"fig|1185660.4.peg.249"	1	22.5	-1.57060000416423	0.998908152681455	-4.49185309632967
"xanmn_chr14_0003"	122	396	-1.41382483517719	0.998897109100322	-1.69861928251672
"fig|1185660.4.peg.2865"	3	13	-1.42441257136577	0.998871609031835	-2.11547721741994
"fig|1185660.4.peg.2295"	23.5	371	-1.5305672639375	0.998856072041963	-3.98068652494317
