#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
fig|1185660.4.peg.30	lcl|xanmn_chr01_0083-xanmn_chr01_0083	114	180	100	63	114	100.000	206
fig|1185660.4.peg.31	lcl|gltD-xanmn_chr01_0085	1482	1482	100	100	1482	100.000	2673
fig|1185660.4.peg.32	lcl|xanmn_chr01_0086-xanmn_chr01_0086	4473	4473	100	100	4473	100.000	8067
fig|1185660.4.peg.33	lcl|xanmn_chr01_0087-xanmn_chr01_0087	417	381	91	100	381	100.000	688
fig|1185660.4.peg.34	lcl|xanmn_chr01_0088-xanmn_chr01_0088	930	1053	100	88	930	100.000	1678
fig|1185660.4.peg.35	lcl|xanmn_chr01_0089-xanmn_chr01_0089	876	876	100	100	876	100.000	1581
fig|1185660.4.peg.37	lcl|xanmn_chr01_0002-xanmn_chr01_0002	567	711	100	80	567	100.000	1023
fig|1185660.4.peg.39	lcl|xanmn_chr01_0004-xanmn_chr01_0004	1491	2283	90	59	1343	100.000	2423
fig|1185660.4.peg.40	lcl|xanmn_chr01_0005-xanmn_chr01_0005	1263	1347	100	94	1263	100.000	2278
fig|1185660.4.peg.45	lcl|xanmn_chr01_0008-xanmn_chr01_0008	537	537	100	100	537	100.000	969
fig|1185660.4.peg.46	lcl|xanmn_chr01_0009-xanmn_chr01_0009	549	549	100	100	549	100.000	991
fig|1185660.4.peg.47	lcl|xanmn_chr01_0010-xanmn_chr01_0010	288	288	100	100	288	100.000	520
fig|1185660.4.peg.49	lcl|xanmn_chr01_0011-xanmn_chr01_0011	771	795	100	97	771	100.000	1391
fig|1185660.4.peg.50	lcl|xanmn_chr01_0012-xanmn_chr01_0012	750	750	100	100	750	100.000	1353
fig|1185660.4.peg.51	lcl|yrbD-xanmn_chr01_0013	546	546	100	100	546	100.000	985
fig|1185660.4.peg.52	lcl|yrbC-xanmn_chr01_0014	663	663	100	100	663	100.000	1196
fig|1185660.4.peg.54	lcl|btuE-xanmn_chr01_0016	615	552	90	100	553	99.819	989
fig|1185660.4.peg.55	lcl|xanmn_chr01_0017-xanmn_chr01_0017	402	378	94	100	378	100.000	682
fig|1185660.4.peg.56	lcl|xanmn_chr01_0018-xanmn_chr01_0018	1530	1578	100	97	1530	100.000	2760
fig|1185660.4.peg.57	lcl|xanmn_chr01_0019-xanmn_chr01_0019	1008	1008	100	100	1008	100.000	1819
fig|1185660.4.peg.58	lcl|xanmn_chr01_0020-xanmn_chr01_0020	933	933	100	100	933	100.000	1683
fig|1185660.4.peg.60	lcl|xanmn_chr01_0021-xanmn_chr01_0021	231	255	100	91	231	100.000	417
fig|1185660.4.peg.62	lcl|gstB-xanmn_chr01_0022	621	621	100	100	621	100.000	1121
fig|1185660.4.peg.63	lcl|xanmn_chr01_0023-xanmn_chr01_0023	381	381	100	100	381	100.000	688
fig|1185660.4.peg.64	lcl|xanmn_chr01_0025-xanmn_chr01_0025	1416	1416	100	100	1416	100.000	2554
fig|1185660.4.peg.65	lcl|man-xanmn_chr01_0027	2670	2406	90	100	2406	100.000	4340
fig|1185660.4.peg.67	lcl|xanmn_chr01_0030-xanmn_chr01_0030	390	390	100	100	390	100.000	704
fig|1185660.4.peg.68	lcl|xanmn_chr01_0031-xanmn_chr01_0031	1731	1731	100	100	1731	100.000	3122
fig|1185660.4.peg.69	lcl|xanmn_chr01_0032-xanmn_chr01_0032	852	852	100	100	852	100.000	1537
fig|1185660.4.peg.70	lcl|xanmn_chr01_0034-xanmn_chr01_0034	1311	1311	100	100	1311	100.000	2365
fig|1185660.4.peg.71	lcl|xanmn_chr01_0035-xanmn_chr01_0035	321	282	60	68	191	100.000	345
fig|1185660.4.peg.72	lcl|xanmn_chr01_0036-xanmn_chr01_0036	1257	1257	100	100	1257	100.000	2268
fig|1185660.4.peg.73	lcl|xanmn_chr01_0037-xanmn_chr01_0037	321	321	100	100	321	100.000	580
fig|1185660.4.peg.75	lcl|xanmn_chr01_0038-xanmn_chr01_0038	1167	1167	100	100	1167	100.000	2105
fig|1185660.4.peg.76	lcl|terC-xanmn_chr01_0039	1128	957	85	100	957	100.000	1727
fig|1185660.4.peg.77	lcl|xanmn_chr01_0041-xanmn_chr01_0041	789	789	100	100	789	100.000	1424
fig|1185660.4.peg.78	lcl|xanmn_chr01_0042-xanmn_chr01_0042	1101	1062	96	100	1062	100.000	1916
fig|1185660.4.peg.79	lcl|xanmn_chr01_0043-xanmn_chr01_0043	2301	2301	100	100	2301	100.000	4150
fig|1185660.4.peg.80	lcl|phoN-xanmn_chr01_0044	858	858	100	100	858	100.000	1548
fig|1185660.4.peg.81	lcl|xanmn_chr01_0045-xanmn_chr01_0045	1341	1275	95	100	1275	100.000	2300
fig|1185660.4.peg.83	lcl|xanmn_chr01_0046-xanmn_chr01_0046	1512	1728	100	88	1512	100.000	2727
fig|1185660.4.peg.84	lcl|rnpA-xanmn_chr01_0047	438	438	100	100	438	100.000	791
fig|1185660.4.peg.85	lcl|rpmH-xanmn_chr01_0048	141	141	100	100	141	100.000	255
fig|1185660.4.peg.87	lcl|xanmn_chr01_0049-xanmn_chr01_0049	1329	1329	100	100	1329	100.000	2397
fig|1185660.4.peg.88	lcl|xanmn_chr01_0050-xanmn_chr01_0050	1101	1101	100	100	1101	100.000	1986
fig|1185660.4.peg.89	lcl|xanmn_chr01_0051-xanmn_chr01_0051	1107	1107	100	100	1107	100.000	1997
fig|1185660.4.peg.90	lcl|xanmn_chr01_0052-xanmn_chr01_0052	2445	2445	100	100	2445	100.000	4410
fig|1185660.4.peg.91	lcl|xanmn_chr01_0053-xanmn_chr01_0053	837	837	100	100	837	100.000	1510
fig|1185660.4.peg.92	lcl|xanmn_chr01_0054-xanmn_chr01_0054	792	723	91	100	723	100.000	1305
fig|1185660.4.peg.93	lcl|xanmn_chr01_0055-xanmn_chr01_0055	1194	1194	100	100	1194	100.000	2154
fig|1185660.4.peg.95	lcl|xanmn_chr02_0002-xanmn_chr02_0002	204	204	100	100	204	100.000	369
fig|1185660.4.peg.98	lcl|xanmn_chr02_0003-xanmn_chr02_0003	2781	2781	100	100	2781	100.000	5016
fig|1185660.4.peg.99	lcl|kdgK-xanmn_chr02_0004	987	1023	100	96	987	100.000	1781
fig|1185660.4.peg.100	lcl|xanmn_chr02_0005-xanmn_chr02_0005	288	288	100	100	288	100.000	520
fig|1185660.4.peg.101	lcl|xanmn_chr02_0006-xanmn_chr02_0006	1209	1209	100	100	1209	100.000	2181
fig|1185660.4.peg.103	lcl|xanmn_chr02_0007-xanmn_chr02_0007	399	399	100	100	399	100.000	720
fig|1185660.4.peg.104	lcl|xanmn_chr02_0008-xanmn_chr02_0008	600	600	100	100	600	100.000	1083
fig|1185660.4.peg.105	lcl|xanmn_chr02_0010-xanmn_chr02_0010	399	399	100	100	399	100.000	720
fig|1185660.4.peg.106	lcl|xanmn_chr02_0012-xanmn_chr02_0012	588	588	100	100	588	100.000	1061
fig|1185660.4.peg.107	lcl|xanmn_chr02_0013-xanmn_chr02_0013	1104	1104	100	100	1104	100.000	1992
fig|1185660.4.peg.108	lcl|xanmn_chr02_0014-xanmn_chr02_0014	744	648	87	100	648	100.000	1169
fig|1185660.4.peg.109	lcl|lctD-xanmn_chr02_0015	1167	1167	100	100	1167	100.000	2105
fig|1185660.4.peg.111	lcl|xanmn_chr02_0016-xanmn_chr02_0016	960	960	100	100	960	100.000	1732
fig|1185660.4.peg.112	lcl|xanmn_chr02_0017-xanmn_chr02_0017	399	459	100	87	399	100.000	720
fig|1185660.4.peg.115	lcl|xanmn_chr02_0020-xanmn_chr02_0020	1251	1290	100	97	1251	100.000	2257
fig|1185660.4.peg.116	lcl|xanmn_chr02_0021-xanmn_chr02_0021	2139	1884	88	100	1884	100.000	3398
fig|1185660.4.peg.117	lcl|xanmn_chr02_0023-xanmn_chr02_0023	1203	1203	100	100	1203	100.000	2170
fig|1185660.4.peg.118	lcl|xanmn_chr02_0024-xanmn_chr02_0024	1011	1011	100	100	1011	100.000	1824
fig|1185660.4.peg.119	lcl|xanmn_chr02_0025-xanmn_chr02_0025	624	468	75	100	468	100.000	845
fig|1185660.4.peg.122	lcl|xanmn_chr02_0026-xanmn_chr02_0026	249	237	74	78	184	100.000	333
fig|1185660.4.peg.123	lcl|xanmn_chr02_0027-xanmn_chr02_0027	1629	1629	100	100	1629	100.000	2938
fig|1185660.4.peg.124	lcl|xanmn_chr02_0028-xanmn_chr02_0028	1635	1635	100	100	1635	100.000	2949
fig|1185660.4.peg.125	lcl|xanmn_chr02_0029-xanmn_chr02_0029	1335	1335	100	100	1335	100.000	2408
fig|1185660.4.peg.126	lcl|xanmn_chr02_0030-xanmn_chr02_0030	672	819	100	82	672	100.000	1213
fig|1185660.4.peg.127	lcl|xanmn_chr02_0031-xanmn_chr02_0031	993	993	100	100	993	100.000	1792
fig|1185660.4.peg.128	lcl|xanmn_chr02_0032-xanmn_chr02_0032	897	897	100	100	897	100.000	1618
fig|1185660.4.peg.130	lcl|xanmn_chr02_0069-xanmn_chr02_0069	3117	3117	100	100	3117	100.000	5622
fig|1185660.4.peg.131	lcl|xanmn_chr02_0070-xanmn_chr02_0070	3351	3351	100	100	3351	100.000	6044
fig|1185660.4.peg.132	lcl|glgB1-xanmn_chr02_0071	2199	2196	99	100	2196	100.000	3961
fig|1185660.4.peg.134	lcl|xanmn_chr02_0072-xanmn_chr02_0072	441	495	100	89	441	100.000	796
fig|1185660.4.peg.135	lcl|xanmn_chr02_0073-xanmn_chr02_0073	1149	1149	100	100	1149	100.000	2073
fig|1185660.4.peg.136	lcl|xanmn_chr02_0074-xanmn_chr02_0074	1434	1569	100	91	1434	100.000	2587
fig|1185660.4.peg.138	lcl|xanmn_chr02_0075-xanmn_chr02_0075	822	678	82	100	678	100.000	1223
fig|1185660.4.peg.139	lcl|dctP-xanmn_chr02_0076	999	999	100	100	999	100.000	1802
fig|1185660.4.peg.140	lcl|dctQ-xanmn_chr02_0077	522	522	100	100	522	100.000	942
fig|1185660.4.peg.141	lcl|dctM-xanmn_chr02_0078	1284	1284	100	100	1284	100.000	2316
fig|1185660.4.peg.142	lcl|xanmn_chr02_0079-xanmn_chr02_0079	1584	1545	98	100	1545	100.000	2787
fig|1185660.4.peg.143	lcl|xanmn_chr02_0080-xanmn_chr02_0080	1029	1059	100	97	1029	100.000	1856
fig|1185660.4.peg.144	lcl|kduI-xanmn_chr02_0081	855	855	100	100	855	100.000	1543
fig|1185660.4.peg.145	lcl|kduD-xanmn_chr02_0082	756	756	100	100	756	100.000	1364
fig|1185660.4.peg.146	lcl|xanmn_chr02_0084-xanmn_chr02_0084	657	657	100	100	657	100.000	1186
fig|1185660.4.peg.147	lcl|xanmn_chr02_0086-xanmn_chr02_0086	1113	1134	100	98	1113	100.000	2008
fig|1185660.4.peg.148	lcl|xanmn_chr02_0087-xanmn_chr02_0087	645	645	100	100	645	100.000	1164
fig|1185660.4.peg.149	lcl|xanmn_chr02_0088-xanmn_chr02_0088	891	891	100	100	891	100.000	1608
fig|1185660.4.peg.150	lcl|xanmn_chr02_0089-xanmn_chr02_0089	591	570	96	100	570	99.474	1012
fig|1185660.4.peg.151	lcl|fhuE-xanmn_chr02_0090	2199	2199	100	100	2199	100.000	3966
fig|1185660.4.peg.152	lcl|xanmn_chr02_0091-xanmn_chr02_0091	1038	1038	100	100	1038	100.000	1873
fig|1185660.4.peg.154	lcl|xanmn_chr02_0092-xanmn_chr02_0092	1008	1008	100	100	1008	100.000	1819
fig|1185660.4.peg.156	lcl|xanmn_chr02_0093-xanmn_chr02_0093	846	846	100	100	846	100.000	1526
fig|1185660.4.peg.157	lcl|xanmn_chr02_0094-xanmn_chr02_0094	1206	1206	100	100	1206	100.000	2176
fig|1185660.4.peg.158	lcl|xanmn_chr02_0095-xanmn_chr02_0095	363	363	100	100	363	100.000	655
fig|1185660.4.peg.159	lcl|xanmn_chr02_0096-xanmn_chr02_0096	771	738	96	100	738	100.000	1332
fig|1185660.4.peg.160	lcl|xanmn_chr02_0097-xanmn_chr02_0097	1473	1473	100	100	1473	100.000	2657
fig|1185660.4.peg.162	lcl|xanmn_chr02_0098-xanmn_chr02_0098	1188	1062	89	100	1062	100.000	1916
fig|1185660.4.peg.163	lcl|xanmn_chr02_0099-xanmn_chr02_0099	1290	1368	100	94	1290	100.000	2327
fig|1185660.4.peg.164	lcl|xanmn_chr02_0100-xanmn_chr02_0100	987	1110	100	89	987	100.000	1781
fig|1185660.4.peg.166	lcl|xanmn_chr02_0101-xanmn_chr02_0101	3708	3708	100	100	3708	100.000	6688
fig|1185660.4.peg.167	lcl|xanmn_chr02_0102-xanmn_chr02_0102	591	678	100	87	591	100.000	1067
fig|1185660.4.peg.169	lcl|xanmn_chr02_0105-xanmn_chr02_0105	918	918	100	100	918	100.000	1656
fig|1185660.4.peg.170	lcl|xanmn_chr02_0106-xanmn_chr02_0106	855	633	74	100	633	100.000	1142
fig|1185660.4.peg.171	lcl|xanmn_chr02_0107-xanmn_chr02_0107	477	477	100	100	477	100.000	861
fig|1185660.4.peg.172	lcl|xanmn_chr02_0108-xanmn_chr02_0108	573	573	100	100	573	100.000	1034
fig|1185660.4.peg.173	lcl|xanmn_chr02_0109-xanmn_chr02_0109	1038	1350	100	77	1038	100.000	1873
fig|1185660.4.peg.174	lcl|xanmn_chr02_0110-xanmn_chr02_0110	606	627	100	97	606	100.000	1094
fig|1185660.4.peg.175	lcl|xanmn_chr02_0111-xanmn_chr02_0111	693	429	62	100	429	100.000	774
fig|1185660.4.peg.176	lcl|xanmn_chr02_0112-xanmn_chr02_0112	900	900	100	100	900	100.000	1624
fig|1185660.4.peg.177	lcl|xanmn_chr02_0113-xanmn_chr02_0113	438	429	98	100	429	100.000	774
fig|1185660.4.peg.179	lcl|xanmn_chr02_0114-xanmn_chr02_0114	612	612	100	100	612	100.000	1104
fig|1185660.4.peg.180	lcl|xanmn_chr02_0115-xanmn_chr02_0115	1011	1011	100	100	1011	100.000	1824
fig|1185660.4.peg.181	lcl|xanmn_chr02_0116-xanmn_chr02_0116	882	798	90	100	798	100.000	1440
fig|1185660.4.peg.182	lcl|xanmn_chr02_0117-xanmn_chr02_0117	1410	1410	100	100	1410	100.000	2544
fig|1185660.4.peg.183	lcl|xanmn_chr02_0118-xanmn_chr02_0118	345	339	98	100	339	100.000	612
fig|1185660.4.peg.184	lcl|amtB-xanmn_chr02_0119	1443	1443	100	100	1443	100.000	2603
fig|1185660.4.peg.185	lcl|ntrB-xanmn_chr02_0120	1056	1056	100	100	1056	100.000	1905
fig|1185660.4.peg.186	lcl|ntrC-xanmn_chr02_0121	1428	1428	100	100	1428	100.000	2576
fig|1185660.4.peg.188	lcl|sodC2-xanmn_chr02_0122	747	648	87	100	649	99.846	1162
fig|1185660.4.peg.189	lcl|xanmn_chr02_0123-xanmn_chr02_0123	189	189	100	100	189	100.000	342
fig|1185660.4.peg.190	lcl|xanmn_chr02_0124-xanmn_chr02_0124	1182	1305	100	91	1182	100.000	2132
fig|1185660.4.peg.192	lcl|xanmn_chr02_0126-xanmn_chr02_0126	885	903	100	98	885	100.000	1597
fig|1185660.4.peg.193	lcl|xanmn_chr02_0127-xanmn_chr02_0127	1296	1296	100	100	1296	100.000	2338
fig|1185660.4.peg.194	lcl|xanmn_chr02_0128-xanmn_chr02_0128	1266	1266	100	100	1266	100.000	2284
fig|1185660.4.peg.195	lcl|xanmn_chr02_0129-xanmn_chr02_0129	978	978	100	100	978	100.000	1764
fig|1185660.4.peg.196	lcl|xanmn_chr02_0130-xanmn_chr02_0130	438	480	100	91	438	100.000	791
fig|1185660.4.peg.197	lcl|xanmn_chr02_0132-xanmn_chr02_0132	810	810	100	100	810	100.000	1462
fig|1185660.4.peg.198	lcl|xanmn_chr02_0133-xanmn_chr02_0133	651	471	72	100	471	100.000	850
fig|1185660.4.peg.199	lcl|xanmn_chr02_0134-xanmn_chr02_0134	423	423	100	100	423	100.000	764
fig|1185660.4.peg.200	lcl|xanmn_chr02_0135-xanmn_chr02_0135	435	435	100	100	435	100.000	785
fig|1185660.4.peg.201	lcl|xanmn_chr02_0136-xanmn_chr02_0136	513	513	100	100	513	100.000	926
fig|1185660.4.peg.202	lcl|gpsA-xanmn_chr02_0137	1038	1026	99	100	1026	100.000	1851
fig|1185660.4.peg.203	lcl|xanmn_chr02_0139-xanmn_chr02_0139	585	597	100	98	585	100.000	1056
fig|1185660.4.peg.204	lcl|xanmn_chr02_0140-xanmn_chr02_0140	1728	1728	100	100	1728	100.000	3117
fig|1185660.4.peg.205	lcl|xanmn_chr02_0141-xanmn_chr02_0141	1443	1443	100	100	1443	100.000	2603
fig|1185660.4.peg.206	lcl|xanmn_chr02_0142-xanmn_chr02_0142	1347	1347	100	100	1347	100.000	2430
fig|1185660.4.peg.207	lcl|xanmn_chr02_0143-xanmn_chr02_0143	624	624	100	100	624	100.000	1126
fig|1185660.4.peg.208	lcl|xanmn_chr02_0144-xanmn_chr02_0144	1230	1230	100	100	1230	100.000	2219
fig|1185660.4.peg.210	lcl|xanmn_chr02_0145-xanmn_chr02_0145	477	477	100	100	477	100.000	861
fig|1185660.4.peg.211	lcl|xanmn_chr02_0146-xanmn_chr02_0146	528	462	88	100	462	100.000	834
fig|1185660.4.peg.212	lcl|xanmn_chr02_0147-xanmn_chr02_0147	321	321	100	100	321	100.000	580
fig|1185660.4.peg.213	lcl|fabH1-xanmn_chr02_0148	1017	1017	100	100	1017	100.000	1835
fig|1185660.4.peg.214	lcl|xanmn_chr02_0149-xanmn_chr02_0149	1119	1119	100	100	1119	100.000	2019
fig|1185660.4.peg.215	lcl|xanmn_chr02_0150-xanmn_chr02_0150	903	903	100	100	903	100.000	1629
fig|1185660.4.peg.216	lcl|xanmn_chr02_0151-xanmn_chr02_0151	384	384	100	100	384	100.000	693
fig|1185660.4.peg.217	lcl|xanmn_chr02_0153-xanmn_chr02_0153	1689	1671	99	100	1671	100.000	3014
fig|1185660.4.peg.218	lcl|xanmn_chr02_0154-xanmn_chr02_0154	1011	1011	100	100	1011	100.000	1824
fig|1185660.4.peg.219	lcl|xanmn_chr02_0155-xanmn_chr02_0155	159	159	100	100	159	100.000	288
fig|1185660.4.peg.222	lcl|xanmn_chr02_0156-xanmn_chr02_0156	360	360	100	100	360	100.000	650
fig|1185660.4.peg.223	lcl|xanmn_chr02_0157-xanmn_chr02_0157	645	645	100	100	645	100.000	1164
fig|1185660.4.peg.224	lcl|xanmn_chr02_0158-xanmn_chr02_0158	1674	1674	100	100	1674	100.000	3020
fig|1185660.4.peg.225	lcl|xanmn_chr02_0159-xanmn_chr02_0159	504	504	100	100	504	100.000	910
fig|1185660.4.peg.226	lcl|truC-xanmn_chr02_0160	888	738	83	100	738	100.000	1332
fig|1185660.4.peg.227	lcl|xanmn_chr02_0162-xanmn_chr02_0162	543	543	100	100	543	100.000	980
fig|1185660.4.peg.228	lcl|xanmn_chr02_0163-xanmn_chr02_0163	363	363	100	100	363	100.000	655
fig|1185660.4.peg.229	lcl|xanmn_chr02_0164-xanmn_chr02_0164	558	630	100	89	558	100.000	1007
fig|1185660.4.peg.230	lcl|xanmn_chr02_0165-xanmn_chr02_0165	270	270	100	100	270	100.000	488
fig|1185660.4.peg.231	lcl|xanmn_chr02_0166-xanmn_chr02_0166	933	693	74	99	690	100.000	1245
fig|1185660.4.peg.232	lcl|xanmn_chr02_0168-xanmn_chr02_0168	2184	2154	99	100	2154	100.000	3885
fig|1185660.4.peg.233	lcl|xanmn_chr02_0169-xanmn_chr02_0169	1056	1056	100	100	1056	100.000	1905
fig|1185660.4.peg.235	lcl|xanmn_chr02_0170-xanmn_chr02_0170	633	633	100	100	633	100.000	1142
fig|1185660.4.peg.236	lcl|xanmn_chr02_0171-xanmn_chr02_0171	348	348	100	100	348	100.000	628
fig|1185660.4.peg.237	lcl|xanmn_chr02_0172-xanmn_chr02_0172	729	729	100	100	729	100.000	1315
fig|1185660.4.peg.238	lcl|xanmn_chr02_0173-xanmn_chr02_0173	1260	1260	100	100	1260	100.000	2273
fig|1185660.4.peg.240	lcl|xanmn_chr02_0174-xanmn_chr02_0174	957	957	100	100	957	100.000	1727
fig|1185660.4.peg.241	lcl|aceB-xanmn_chr02_0175	1617	1635	100	99	1617	100.000	2917
fig|1185660.4.peg.242	lcl|aceA-xanmn_chr02_0176	1377	1296	94	100	1296	100.000	2338
fig|1185660.4.peg.244	lcl|xanmn_chr02_0177-xanmn_chr02_0177	978	1059	100	92	978	100.000	1764
fig|1185660.4.peg.249	lcl|xanmn_chr02_0179-xanmn_chr02_0179	174	291	100	60	174	100.000	315
fig|1185660.4.peg.250	lcl|xanmn_chr02_0180-xanmn_chr02_0180	1014	915	90	100	915	100.000	1651
fig|1185660.4.peg.251	lcl|xanmn_chr02_0181-xanmn_chr02_0181	801	801	100	100	801	100.000	1445
fig|1185660.4.peg.253	lcl|xanmn_chr02_0183-xanmn_chr02_0183	2085	2085	100	100	2085	100.000	3761
fig|1185660.4.peg.254	lcl|xanmn_chr02_0184-xanmn_chr02_0184	2028	2028	100	100	2028	100.000	3658
fig|1185660.4.peg.255	lcl|accD1-xanmn_chr02_0185	1611	1611	100	100	1611	100.000	2906
fig|1185660.4.peg.256	lcl|acdA1-xanmn_chr02_0186	1164	1164	100	100	1164	100.000	2100
fig|1185660.4.peg.257	lcl|xanmn_chr02_0187-xanmn_chr02_0187	585	609	100	96	585	100.000	1056
fig|1185660.4.peg.258	lcl|xanmn_chr02_0188-xanmn_chr02_0188	375	375	100	100	375	100.000	677
fig|1185660.4.peg.259	lcl|xanmn_chr02_0189-xanmn_chr02_0189	549	549	100	100	549	100.000	991
fig|1185660.4.peg.260	lcl|xanmn_chr02_0190-xanmn_chr02_0190	336	336	100	100	336	100.000	607
fig|1185660.4.peg.261	lcl|xanmn_chr02_0191-xanmn_chr02_0191	1608	1608	100	100	1608	100.000	2901
fig|1185660.4.peg.262	lcl|xanmn_chr02_0192-xanmn_chr02_0192	468	312	67	100	312	100.000	563
fig|1185660.4.peg.263	lcl|xanmn_chr02_0193-xanmn_chr02_0193	645	645	100	100	645	100.000	1164
fig|1185660.4.peg.264	lcl|xanmn_chr02_0194-xanmn_chr02_0194	519	519	100	100	519	100.000	937
fig|1185660.4.peg.266	lcl|xanmn_chr02_0195-xanmn_chr02_0195	1719	1719	100	100	1719	100.000	3101
fig|1185660.4.peg.267	lcl|xanmn_chr02_0197-xanmn_chr02_0197	378	378	100	100	378	100.000	682
fig|1185660.4.peg.268	lcl|xanmn_chr02_0198-xanmn_chr02_0198	1326	1326	100	100	1326	100.000	2392
fig|1185660.4.peg.269	lcl|xanmn_chr02_0199-xanmn_chr02_0199	594	585	98	100	585	100.000	1056
fig|1185660.4.peg.270	lcl|xanmn_chr02_0200-xanmn_chr02_0200	876	882	100	99	876	100.000	1581
fig|1185660.4.peg.271	lcl|xanmn_chr02_0201-xanmn_chr02_0201	735	735	100	100	735	100.000	1326
fig|1185660.4.peg.272	lcl|xanmn_chr02_0202-xanmn_chr02_0202	1086	1095	100	99	1086	100.000	1959
fig|1185660.4.peg.273	lcl|xanmn_chr02_0203-xanmn_chr02_0203	462	462	100	100	462	100.000	834
fig|1185660.4.peg.274	lcl|ohr-xanmn_chr02_0204	525	429	82	100	429	100.000	774
fig|1185660.4.peg.275	lcl|xanmn_chr02_0205-xanmn_chr02_0205	861	804	93	100	804	100.000	1451
fig|1185660.4.peg.276	lcl|xanmn_chr02_0206-xanmn_chr02_0206	417	417	100	100	417	100.000	753
fig|1185660.4.peg.278	lcl|XopE1-xanmn_chr02_0208	1200	1200	100	100	1200	100.000	2165
fig|1185660.4.peg.279	lcl|xanmn_chr02_0210-xanmn_chr02_0210	1041	942	90	100	942	100.000	1700
fig|1185660.4.peg.280	lcl|xanmn_chr02_0211-xanmn_chr02_0211	801	801	100	100	801	100.000	1445
fig|1185660.4.peg.283	lcl|xanmn_chr02_0212-xanmn_chr02_0212	969	546	56	100	546	100.000	985
fig|1185660.4.peg.284	lcl|xanmn_chr02_0215-xanmn_chr02_0215	855	855	100	100	855	100.000	1543
fig|1185660.4.peg.285	lcl|rluE-xanmn_chr02_0216	573	573	100	100	573	100.000	1034
fig|1185660.4.peg.287	lcl|xanmn_chr02_0217-xanmn_chr02_0217	432	432	100	100	432	100.000	780
fig|1185660.4.peg.290	lcl|xanmn_chr02_0220-xanmn_chr02_0220	474	474	100	100	474	100.000	856
fig|1185660.4.peg.292	lcl|xanmn_chr02_0222-xanmn_chr02_0222	558	492	80	91	447	100.000	807
fig|1185660.4.peg.293	lcl|xanmn_chr02_0223-xanmn_chr02_0223	396	396	100	100	396	100.000	715
fig|1185660.4.peg.294	lcl|xanmn_chr02_0224-xanmn_chr02_0224	891	891	100	100	891	100.000	1608
fig|1185660.4.peg.295	lcl|xanmn_chr02_0225-xanmn_chr02_0225	1257	1257	100	100	1257	100.000	2268
fig|1185660.4.peg.296	lcl|xanmn_chr02_0226-xanmn_chr02_0226	888	1107	98	78	868	99.885	1557
