,minimum,maximum
COALDDH,0.0,0.0
COBALT2tex,0.03096466851925,0.03096466851925
CPPPGO,-0.03096466851925,-0.030964668519250012
CPS,-70.30941150234727,4.884315725774931
CS,-762.6972552648816,0.0
CSND,0.0,0.0
CTPS1,-8.998757125108895,0.0
CTPS2,0.0,0.0
CU2abcpp,-0.03096466851925,-0.03096466851925002
CYARTMT,0.0,0.0
CYOO2pp,0.0,0.0
CYRDAAT,0.0,0.0
CYS,0.0,983.1116084449594
CYSDS,-933.6534478610827,0.0
CYSS,0.0,0.0
CYSS_trdrd,1.3417045252595017e-13,0.0
CYTBD2pp,-39.65938864628816,0.0
CYTBO3,0.0,0.0
CYTD,0.0,78.3998495783874
CYTDt2,-42.26656638559169,10.0
CYTK1,-394.1698803554142,63.63039542159288
CYTK2,-78.39984957838698,0.0
DAAD,-1000.0,0.0
DADA,0.0,39.325307495372236
DADNt2,-29.325307495371923,10.0
DAGK160,0.0,0.0
DALAt2pp,-130.61882300469438,10.000000000000057
DAPDA,0.0,0.0
DAPDC,0.25010597710894,0.25010597710894
DAPE,0.0,0.0
DASYN120,-327.2077881337212,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,-327.20778813372095,0.0
DASYN161,0.0,0.0
DASYN180,-362.1426111449289,0.0
DASYN181,0.0,0.0
DB4PS,0.123858674077,0.1238586740769888
DBTS,0.0,0.0
DCTPD,0.0,0.0
DCTPD2,-8.99875712510889,0.0
DCYTD,0.0,88.39984957838534
DCYTt2,-48.93323305225953,10.0
DDGALK,0.0,0.0
DDGLCNt2r,-138.1431090762747,10.0
DDGLK,-10.0,138.1431090762751
DDPA,-2.844854951937319,-2.844854951937318
DDPGA,0.0,0.0
DDPGALA,0.0,0.0
DGC3D,0.0,0.0
DGK1,-29.325307495371963,0.0
DGSNt2,-29.325307495372,0.0
DHAD1,7.338149703356024,47.849381720379306
DHCIND,0.0,0.0
DHFR,0.09289400555774963,98.4927435839456
DHFS,-0.09289400555774963,-0.09289400555775051
DHNPA2r,-0.09289400555774963,-0.09289400555775001
DHORD2,-70.30941150234727,0.0
DHORD5,-70.30941150234705,0.0
DHORTS,0.0,70.30941150234716
DHPD,0.0,0.0
DHPM2,0.0,0.0
DHPPD,0.0,0.0
DHPPDA2,-0.06192933703849618,-0.06192933703849973
DHPS2,0.0,0.0928940055577483
DHQS,2.84485495193732,2.84485495193732
DHQTi,-2.8448549519373207,-2.844854951937321
DHRT_ivcoa,-0.8518433707350399,0.0
DINSt2,-39.32530749537206,0.0
DLDLBT,-0.123858674077,-0.12385867407700035
DMATT,-0.6099124346920968,-0.28107064562819
DMORh,0.0,47.849381720379306
DMPH,0.0,29.32530749537202
DMPPS,0.28107064562819,0.609912434692114
DMPPS_syn,0.0,0.0
DMTPHT,0.0,0.0
DNGALh,0.0,0.0
DPCOAK,-0.061929337038499455,-0.0619293370384959
DPR,0.061929337038499455,0.06192933703850123
DSERt2,0.0,0.0
DTMPK,-0.16020671834625,-0.16020671834625
DURIK1,-98.39984957838645,0.0
DURIt2,-88.39984957838742,10.0
DUTPDP,0.0,0.0
DXPRIi,-6.678072113095308,-3.0608124333908404
DXPS,-6.678072113093413,-3.0608124333908404
E4PD,0.0,0.0
EAR100y,0.0,0.0
EAR120y,0.0,0.0
EAR140y,0.0,0.0
EAR40y,0.0,0.0
EAR60y,0.0,0.0
EAR80y,0.0,0.0
ECOAH1,0.0,0.0
ECOAH12,0.0,39.65938864628838
ECOAH3,0.0,0.0
ECOAH4,0.0,0.0
ECOAH5,0.0,0.0
ECOAH6,0.0,0.0
ECOAH7,-8.499364137346339,0.0
ECOAH9ir,-0.8518433707350399,0.0
EDA,-296.28621815254985,0.0
EDD,-286.2862181525501,0.0
EDTXS1,-0.25010597710894,-0.25010597710894
EDTXS2,0.25010597710893995,0.25010597710894
ENO,0.0,496.04635095515255
ETHAAL,0.0,389.33849686158084
ETHAt2pp,-130.61882300469387,10.0
ETOHti,-10.0,367.149750296162
EX_2ddglcn_e,-10.0,138.14310907627492
EX_4hbz_e,-0.03096466851925,-0.030964668519249727
EX_ac_e,0.0,0.0
EX_acald_e,0.0,465.67553627899173
EX_acgam_e,-10.0,8.999576091564244
EX_adn_e,-10.0,19.325307495371785
EX_akg_e,-10.0,215.70042217574678
EX_ala__D_e,-10.0,130.61882300469344
EX_arab__L_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_arg__L_e,-10.0,-2.4669682270134095
EX_ASPt5n_e,-10.0,130.6188230046938
EX_Biomass_e,9.91778955273403,9.999999999999998
EX_ca2_e,-0.03096466851925,-0.03096466851925
EX_cbl1_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_cit_e,-10.0,165.54477280335877
EX_cl_e,-0.03096466851925,-0.03096466851925
EX_co2_e,-10.0,516.2885431546171
EX_cobalt2_e,-0.03096466851925,-0.03096466851925
EX_cu2_e,-0.03096466851925,-0.03096466851925
EX_cytd_e,-10.0,42.2665663855916
EX_dad_2_e,-10.0,29.325307495372037
EX_dcyt_e,-10.0,48.933233052258174
EX_dgsn_e,-7.440413452564611e-15,29.32530749537197
EX_din_e,0.0,39.325307495371966
EX_DNA_e,-10.0,-10.0
EX_duri_e,-10.0,88.3998495783874
EX_etha_e,-10.0,130.61882300469404
EX_etoh_e,-10.0,367.14975029616267
EX_fe2_e,-0.123858674077,0.0
EX_fe3_e,-0.123858674077,0.0
EX_for_e,0.0,5.162997742448324
EX_fru_e,-10.0,133.14310907627498
EX_fum_e,-10.0,253.31715920503837
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,-10.0,8.99957609156424
EX_glc__D_e,-10.0,133.14310907627495
EX_glcur_e,0.0,0.0
EX_gln__L_e,-10.0,-5.115684274225068
EX_glu__L_e,-10.0,130.6188230046939
EX_gly_e,-10.0,130.6188230046939
EX_glyb_e,0.0,0.0
EX_glyc_e,-10.0,253.00025992591418
EX_glycogen_e,0.0,0.0
EX_h_e,-10.0,1000.0
EX_h2o_e,0.0,494.1903584295583
EX_hdca_e,0.0,8.49936413734636
EX_hxan_e,-10.0,19.325307495371685
EX_ins_e,-10.0,19.32530749537164
EX_k_e,-0.03096466851925,-0.03096466851925
EX_lys__L_e,-3.10448618201073,-3.10448618201073
EX_mal__L_e,-10.0,253.14427157730904
EX_malt_e,-10.0,0.0
EX_man_e,-10.0,133.1431090762752
EX_met__D_e,0.0,0.0
EX_met__L_e,-2.1633378220411528,0.0
EX_metox__R_e,0.0,0.0
EX_metsox_S__L_e,-2.1633378220411528,0.0
EX_mg2_e,-0.03096466851925,-0.03096466851925
EX_mn2_e,-0.03096466851925,-0.03096466851925
EX_mqn7_e,-0.0619293370385,-0.0619293370385
EX_na1_e,0.0,0.0
EX_nh4_e,-10.0,130.61882300469406
EX_nmn_e,-0.06192933703863446,-0.06192933703853715
EX_no2_e,-10.0,9.999999999999925
EX_no3_e,-10.0,9.999999999999922
EX_o2_e,-20.0,-0.17030567685586817
EX_ocdca_e,-0.85184337073504,-0.8518433707350399
EX_orn_e,2.466968227013421,10.0
EX_pi_e,-10.0,-8.02694926561498
EX_ppi_e,0.0,0.9865253671925129
EX_pro__L_e,-10.0,-1.84354665339991
EX_protein_e,-10.0,-10.0
EX_ptrc_e,-0.03096466851925,0.0
EX_pyr_e,0.0,325.1472830242114
EX_q8_e,-10.0,0.0
EX_q8h2_e,0.0,10.0
EX_rna_c0,-10.0,-10.0
EX_salcn_e,0.0,0.0
EX_sbt__D_e,-10.0,133.14310907627524
EX_ser__D_e,0.0,0.0
EX_ser__L_e,-10.0,130.61882300469415
EX_so4_e,-2.1943024905604,-0.03096466851925
EX_spmd_e,-0.03096466851925,-0.03096466851925
EX_succ_e,-10.0,304.02546189531853
EX_sucr_e,-10.0,61.571554538137434
EX_taur_e,-2.1633378220411466,0.0
EX_thmmp_e,-0.030964668519251504,-0.030964668519249727
EX_thymd_e,-0.16020671834625,98.23964286004104
EX_tre_e,-10.0,61.571554538137406
EX_trp__L_e,-0.47201919145022003,-0.47201919145022003
EX_tsul_e,-1.0816689110205746,0.0
EX_ttdca_e,-10.0,-1.50063586265364
EX_uri_e,0.0,78.39984957838746
EX_xyl__D_e,-10.0,161.77173089153018
EX_zn2_e,-0.03096466851925,-0.03096466851925
FA100ACPHi,0.0,0.0
FA80ACPHi,0.0,0.0
FACOAE160,0.0,0.0
FACOAE180,0.0,0.0
FACOAE1836Z9Z12Z,0.0,0.0
FACOAL140,-10.0,-1.50063586265364
FACOAL160,0.0,0.0
FACOAL180,0.0,0.0
FAS140ACPm,1.2505298855447435,1.2505298855447
FBA,-132.23646780366278,352.30259961328437
FBA3,0.0,198.25284926439608
FBP,0.0,164.04975034888776
FCLT,0.030964668519250227,0.03096466851925
FDH,-5.1629977424482005,0.0
FE2abc,0.0,0.12385867407700003
FE3abc,0.0,0.12385867407700005
FERO,0.0,19.82969432314414
FGFTh,-5.7079163950313365,0.0
FGLU,0.0,0.0
FK,0.0,0.0
FLVRx,0.0,0.0
FMNRx,0.0,0.0
FOLR2,0.0,0.0
FOMETRi,0.0,0.0
FORti,0.0,5.162997742448109
FPGFTh,0.0,5.707916395031336
FPGS_tm,0.0,0.0
FPPSh,0.28107064562819406,0.609912434692191
FRD,0.0,1000.0
FRD2,0.0,1000.0
FRD3,-0.061929337038499795,-0.06192933703849973
FRD7,0.0,0.0
FRTT,-0.030964668519249994,-0.03096466851924998
FRUK,-10.0,133.1431090762753
FRUpts,-133.14310907627512,10.0
FT,0.0,0.0
FTCL,0.0,0.0
FTHFD,0.0,0.0
FUM,0.0,501.56287780249625
FUMt2r,-253.31715920503802,10.0
G1PACT,-10.000000000000007,0.0
G1PTT,-0.25010597710894,-0.2501059771089427
G1SAT,0.4954346963079999,0.495434696308
G3PAT120,0.0,0.0
G3PAT140,0.0,0.0
G3PAT141,0.0,0.0
G3PAT160,0.0,0.0
G3PAT160_1,-8.49936413734636,0.0
G3PAT161,0.0,0.0
G3PAT180,0.0,0.0
G3PAT181,0.0,0.0
G3PD,-1000.0,0.0
G3PD1,-998.0833524158464,618.9061663548457
G3PD5,0.0,0.0
G3PD6,0.0,0.0
G3PD7,0.0,0.0
G3PL,0.0,0.0
G5DHx,2.4669682270134383,2.49793289553266
G5SADrm,0.0,0.0
G6PBDH,-663.9580483474635,0.0
G6PDA,0.0,18.99957609156424
G6PDH2r,-999.9999999999994,663.9580483474651
G6PI,0.0,1000.0
G6PI3,-596.7101700173068,68.74947011445508
GALCTD,0.0,0.0
GALCTND,0.0,0.0
GALh,0.0,0.0
GALM1,0.0,0.0
GALT1,-0.25010597710894,-0.25010597710894
GALTpts,0.0,0.0
GALUi,-62.57197844657326,8.99957609156428
GAM,0.0,0.0
GAMpts,-10.0,8.99957609156424
GAPD,-286.28621815254934,0.0
GAPDH_nadp_hi,0.0,0.0
GART,-0.2786820166732565,0.0
GCC2cm,-399.6079975607686,9.756134806728324
GCCa,-1000.0,0.0
GCCb,-1000.0,0.0
GCCc,-999.9999999999999,0.0
GCL,-0.030964668519249897,0.0
GDH,0.0,1000.0
GF6PTA,0.0,0.0
GGGABADr,0.0,0.0
GGTT,-0.03096466851924982,-0.03096466851924999
GHMT,0.0,419.54189872152847
GK1,0.0,31.185577155217047
GK2,-0.16020671834625,31.025370436870862
GLCabcpp,-973.4116868730622,0.0
GLCpts,-9.999999999999567,133.1431090762751
GLCTR2,-0.2501059771089401,-0.25010597710894
GLCTR3,-0.25010597710894,-0.25010597710894
GLNabc,5.1156842742248205,10.0
GLNSP1,0.0,0.0
GLNSP2,0.0,0.0
GLNSP3,0.0,0.0
GLU5K,-2.49793289553266,0.0
GLUFORT,0.0,0.0
GLUFT,0.0,0.0
GLUK_syn,0.0,0.0
GLUPRT,-2.4421578628864453,0.0
GLUR,-0.25010597710894,-0.25010597710894
GLUS_nadph,0.0,4.884315725774931
GLUt2r,-130.6188230046937,10.0
GLUTCOADHc,0.0,0.0
GLUTRR,-0.4954346963080026,-0.495434696308
GLUTRS,-0.49543469630799014,-0.495434696308
GLXO1,0.0,0.0
GLYALDDr,-286.2862181525506,0.0
GLYAMDTRc,0.0,0.0
GLYAT,-360.7918669880518,722.1549148501468
GLYBabc,0.0,0.0
GLYCDH_1,0.0,862.2983674792224
GLYCK,0.0,0.0
GLYCK2,0.09289400555775007,661.6541679528001
GLYCL,-267.83044704880894,0.09268759539739121
GLYCLTDx,0.0,0.0
GLYCLTDy,0.0,0.0
GLYCOR_nadp,0.0,0.0
GLYCt,-253.00025992591372,10.0
GLYK,-10.0,276.2862181525507
GLYt2m,-130.61882300469392,10.0
GMHEPAT,-1.00042390843576,-1.00042390843576
GMP5N,0.0,0.0
GMPS2,-4.884315725774926,0.0
GND,-568.7601329688185,0.0
GNK,-9.999999999998977,0.0
GNNUC,-30.994405768351857,-2.220446049250313e-16
GPAR,-30.994405768351687,0.0
GPDDA1,0.0,0.0
GPDDA2,-327.1013077123797,0.0
GPDDA4,0.31944126402564,0.31944126402564
GTPCI,-0.09289400555774985,0.0
GTPCII2,-0.06192933703849992,-0.06192933703850093
GTPDPK,0.0,0.0
GUAD,0.0,0.0
GUDBUTNAH,-7.533031772986586,0.0
H2Ot,-494.19035842955975,0.0
HACD1,0.0,0.0
HACD2,0.0,0.0
HACD3,0.0,0.0
HACD4,0.0,0.0
HACD5,0.0,0.0
HACD6,0.0,0.0
HACD7,0.0,8.49936413734636
HACD9,0.0,0.8518433707350399
HACDp,0.0,0.0
HADPCOADH3,0.0,0.0
HCO3E,-990.8798288990109,1000.0
HDC,0.0,0.0
HDCAt2,-8.49936413734634,0.0
HDH,-5.6769517265120895,0.0
HEPK1,-0.25010597710894,-0.25010597710894067
HEPK2,-0.25010597710893984,-0.25010597710894
HEPT1,-0.25010597710894,-0.25010597710894
HEPT2,-0.2501059771089399,-0.25010597710894
HEPT3,-0.2501059771089398,-0.25010597710894
HEPT4,-0.2501059771089401,-0.25010597710894
HEX1,-1000.0,0.0
HEXTT,0.03096466851925,0.030964668519250005
HGNTOR,0.0,0.0
HIBDkt,-39.6593886462883,0.0
HISDr,0.0,4.884315725774925
HISTP,-5.67695172651209,-0.79263600073716
HIUH,0.0,0.0
HKt,0.0,0.0
HKYNH,0.0,0.0
HMBS,0.06192933703849993,0.06192933703850073
HMGL,-1.1102230246251565e-16,0.8518433707350402
HPPK2,-0.0928940055577497,0.0
HPYRDC,0.09289400555774979,0.09289400555774918
HSDH,0.0,0.0
HSDx,0.0,520.0425682739015
HSERTA,-44.23819601482256,0.0
HSK,-851.4915638042019,0.0
HSPMS,0.0,0.0
Ht,0.0,0.0
HXAND,-30.9944057683516,0.0
HXANt2pp,-19.325307495371746,9.999999999999998
HXPRT,-663.0911992209205,0.0
HYD1,0.0,0.0
IBPHn,0.0,0.0
ICDHx,-379.1734219792159,0.0
ICH,-5.676951726512195,-0.7926360007371592
ICL,-141.12820646613085,0.0
IDPh,12.538098208976947,519.1616104954811
IDS1,0.0,0.0
IG3PS,0.7926360007371569,5.676951726512195
IGPDH,0.79263600073716,5.676951726512091
IGPS,0.0,0.0
IMACTD,0.0,0.0
IMDHT,-4.60573184613631,-3.7538884754012702
IMDHT_3c2hmp,3.7538884754014,4.60573184613631
IMPD,-30.99440576835155,0.0
INSH,-678.4709751368882,0.0
INSt2,-19.325307495371902,10.0
IPDPS,2.7797417877626502,6.068159678401589
IPMD,-4.60573184613631,-3.7538884754012702
IPPS,-4.605731846136308,-3.7538884754012702
ITCY,-10.000000000000002,68.39984957838773
IZPN,0.0,4.884315725774932
KARI,2.4179851033723523,42.92921712039572
KARI_23dhmb,-47.84938172037931,0.0
KARI_23dhmp,2.41798510337235,42.92921712039564
KARI_3hmoa,0.0,47.849381720379306
KDOCT,-0.75031793132682,-0.75031793132682
KDOPP,0.7503179313268183,0.75031793132682
KDOPS,0.7503179313268179,0.7503179313268193
Kt1,0.06192933703850009,0.061929337038499836
KYN3OX,0.0,0.0
L_LACD2,0.0,0.0
L_LACD3,0.0,0.0
L_LACDcm,0.0,0.0
LCADi,0.0,0.0
LDH_L,0.0,0.0
LPLIPAL1A120pp,0.0,362.1426111449282
LPLIPAL1A140pp,0.0,0.0
LPLIPAL1A141pp,0.0,0.0
LPLIPAL1A160pp,0.0,327.2077881337218
LPLIPAL1A180pp,0.0,327.2077881337213
LPLIPAL2A120,0.0,362.142611144928
LPLIPAL2A140,0.0,0.0
LPLIPAL2A141,0.0,0.0
LPLIPAL2A160,0.0,327.20778813372124
LPLIPAL2A180,0.0,362.14261114492876
LPLIPAL2E160,0.0,0.0
LPLIPAL2E180,-327.10130771238033,0.0
LTDCL,0.0,0.0
LYSRC,0.0,0.0
LYSt2m,-3.10448618201073,-3.10448618201073
MALS,-77.44593280175827,0.0
MALT,0.0,10.00000000000047
MALt2_2,-253.1442715773096,9.999999999999996
MALTabc,0.0,10.0
MALTpts,0.0,0.0
MAN1PT2,0.0,1.3153671562559983
MAN6PI,-133.14310907627532,10.0
MANAO,0.0,0.0
MANpts,-133.14310907627487,10.0
MATm,-0.15482334259625,-0.15482334259625
MCCC,0.0,0.8518433707350399
MCITD,-39.65938864628825,0.0
MCITL2,0.0,39.65938864628811
MCITS,-39.65938864628826,0.0
MCLOR,0.0,0.0
MCOATA,-9.972014471711539,-9.972014471711539
MCPST,0.0,0.0
MCS,-6.678072113094957,-3.0608124333908404
MCSNAH,0.0,0.0
MDH,-478.3942296363864,0.0
MDHC_nadp_hr,-510.57549810979253,0.0
MECDPDH2,3.0608124333908378,6.6780721130950145
METabc,-2.1633378220411483,0.0
METDabc,0.0,0.0
METSOX1abcpp,-2.1633378220411483,0.0
METSOXR1,-2.163337822041145,0.0
MG2abc,0.0,0.0
MG2t,0.030964668519250005,0.03096466851925
MGC,-4.440892098500626e-16,0.8518433707350405
MI1PP,0.0,0.0
MI3PP,0.0,0.0
MI4PP,0.0,0.0
MICITDr,-39.65938864628818,0.0
MIHKPP,0.0,0.0
MMSAD3,-990.8798288990223,1000.0
MMSDH,-39.6593886462877,0.0
MN2t3pp,0.030964668519249994,0.03096466851925
MNXR10704,0.0,0.0
MNXR10705,0.0,0.0
MNXR12173,0.0,0.0
MNXR14387,0.0,0.0
MNXR14507,0.0,0.0
MNXR14578,-841.0332070012905,1000.0
MNXR14719,0.0,0.0
MNXR14762,0.0,0.0
MNXR14768,-1.3089788944269196,0.8543589276142276
MNXR15065,0.0,42.92921712039565
MNXR15262,0.0,1000.0
MNXR15436,0.0,0.0
MNXR15510,0.0,0.0
MNXR15609,0.0,0.0
MNXR15641,0.0,0.0
MNXR15642,0.0,0.0
MNXR15797,0.0,0.0
MNXR15867,-0.03096466851925,-0.03096466851925
MNXR1587,-0.09289400555775185,0.0
MNXR15972,0.0,0.0
MNXR15973,0.0,0.0
MNXR160,-1000.0,0.0
MNXR16018,0.0,0.0
MNXR16204,0.0,0.0
MNXR16236,0.0,0.0
MNXR16239,0.0,0.0
MNXR16307,0.0,0.0
MNXR16994,0.0,0.0
MNXR16995,0.0,0.0
MNXR17004,0.0,0.0
MNXR17026,0.0,0.0
MNXR17153,0.0,0.0
MNXR17265,0.0,0.0
MNXR17268,0.0,0.0
MNXR17296,0.0,0.0
MNXR17297,0.0,0.0
MNXR17649,0.0,0.0
MNXR17653,0.0,0.0
MNXR17657,0.0,0.0
MNXR17827,0.0,0.0
MNXR17833,0.0,0.0
MNXR17835,0.0,0.0
MNXR17903,0.0,0.0
MNXR17904,0.0,0.0
MNXR17916,0.0,0.0
MNXR17974,0.0,0.0
MNXR17999,0.0,0.0
MNXR18003,0.0,0.0
MNXR18214,0.0,0.0
MNXR1991,0.0,0.0
MNXR20056,0.0,0.0
MNXR2062,0.0,0.0
MNXR22677,0.0,0.0
MNXR2293,0.0,0.0
MNXR27601,0.0,0.0
MNXR27602,0.0,0.0
MNXR27603,0.0,0.0
MNXR27604,0.0,0.0
MNXR27605,0.0,0.0
MNXR27606,0.0,0.0
MNXR27634,-0.8518433707350399,-0.8518433707350399
MNXR27635,0.8518433707350399,0.8518433707350399
MNXR27636,0.8518433707350399,0.8518433707350399
MNXR27638,-0.8518433707350399,-0.8518433707350399
MNXR27639,0.8518433707350399,0.8518433707350399
MNXR27640,0.8518433707350399,0.8518433707350399
MNXR27642,-0.8518433707350399,-0.8518433707350399
MNXR27643,0.8518433707350389,0.8518433707350399
MNXR27644,0.8518433707350364,0.8518433707350375
MNXR27646,0.8518433707350399,0.8518433707349999
MNXR27647,-0.8518433707350399,-0.8518433707350391
MNXR27648,0.8518433707350399,0.8518433707350399
MNXR27650,0.8518433707350399,0.8518433707350398
MNXR27651,-0.8518433707350399,-0.8518433707350399
MNXR27652,0.8518433707350399,0.8518433707350399
MNXR27654,0.8518433707350399,0.8518433707350399
MNXR27655,-0.8518433707350399,-0.8518433707350399
MNXR27656,0.8518433707350399,0.8518433707350399
MNXR27659,-0.8518433707350399,-0.8518433707350399
MNXR27660,0.8518433707350399,0.8518433707350399
MNXR27661,0.8518433707350399,0.8518433707350399
MNXR27663,-0.8518433707350399,-0.8518433707350399
