1185660.4.peg.1057	DHFS,10FTHFGLULL,FPGS_tm
Unknown	DDPA,EX_glycogen_e,EX_fum_e,EX_h_e,EX_ac_e,EX_chol_e,EX_acald_e,MNXR32524,DADNt2,EX_hxan_e,EX_lys__L_e,EX_adn_e,EX_akg_e,EX_cit_e,APLh,EX_arab__L_e,AACOAT,EX_arbt_e,ACALDt,EX_arg__L_e,EX_orn_e,EX_ASPt5n_e,EX_cl_e,PFK_2,APSR,EX_pro__L_e,EX_cbl1_e,EX_nh4_e,EX_cd2_e,EX_mal__L_e,ATPS4r,TREpts,ARBTptspp,EX_co2_e,NTRIR2x,EX_ptrc_e,PAPSR,EX_salcn_e,EX_cobalt2_e,EX_cu2_e,EX_galur_e,O2t,S7PI,EX_dcyt_e,HEPT3,EX_dgsn_e,OHPHM,NA1Hth,EX_DNA_e,EX_taur_e,EX_duri_e,EX_etha_e,EX_pyr_e,METabc,EX_fe2_e,EX_h2o_e,EX_fe3_e,GLCTR3,EX_for_e,EX_gam_e,EX_glyc_e,EX_tsul_e,EX_fru_e,EX_cytd_e,EX_ppi_e,MNXR70083,MG2abc,MNXR27639,EX_succ_e,AUS,EX_galt_e,HEPK1,FRUpts,EX_sucr_e,EX_o2_e,EX_malt_e,EX_dad_2_e,EX_ser__L_e,Ht,MCCC,EX_man_e,EX_hdca_e,EX_so4_e,EX_thmmp_e,AOOA,EX_glc__D_e,GMHEPAT,EX_met__L_e,EX_q8h2_e,GALT1,DALAt2pp,SHKK,GAMpts,EX_glu__L_e,EX_pi_e,MNXR58824,ETOHti,EX_gly_e,ACPS1,EX_uri_e,HYD1,EX_mn2_e,EX_no3_e,PHETA1,MANpts,EX_tre_e,EX_glcur_e,MNXR27856,EX_din_e,PYDXS,EX_sbt__D_e,EX_ins_e,MNXR2786,EX_thymd_e,CA2t3pp,PDHam1hi,EDTXS2,MNXR27676,SALCpts,EX_spmd_e,rxn08333_c0,EX_mqn7_e,ALAALAr,EX_zn2_e,TRPt2m,EX_gln__L_e,METDabc,CU2abcpp,FAS140ACPm,CBL1abc,MNXR79883,EX_protein_e,MNXR85363,MNXR28652,ACCOAL,EX_nmn_e,GCCc,MNXR27668,MNXR28654,UHBZ1t_pp,METSOX1abcpp,FORti,MNXR27647,EX_ocdca_e,EX_acgam_e,EX_no2_e,MNXR94267,IMDHT_3c2hmp,EX_metsox_S__L_e,ATPM,EX_metox__R_e,EX_na1_e,MNXR81103,EX_etoh_e,H2Ot,MNXR27664,ACGApts,DMATT,HEPT4,MNXR27651,FPPSh,PRFGS,EX_rna_c0,FRD2,GLCpts,OPHBDC,FRD7,EX_met__D_e,OF_Biomass_Synthesis,MNXR93881,AGMHE,MNXR27655,EX_mg2_e,FRUK,THD2,FRD,EX_ttdca_e,CYTBO3,EX_q8_e,PPPGO,CO2t,MNXR27680,EX_xyl__D_e,PTRCabc,ACAS_2ahbut,SPMDabc,MNXR28653,THZPSN,MNXR27660,AKGt2r,G5SADrm,MOAT3C,AOXHEXCYCL,EX_trp__L_e,EX_Biomass_e,GLCTR2,EX_glyb_e,MNXR28722,GALTpts,MALTpts,FRD3,MNXR28723,MNXR94192,HEPK2,MNXR74782,EX_ser__D_e,EX_ala__D_e,SHCHD2,MNXR27643,Biomass,MNXR74626,SBTpts,MQN7t,MNXR15641,PYRt2,FE3abc,XYLt2,UPPRT,EX_4hbz_e,HEPT1,EX_2ddglcn_e,MNXR27805,EX_k_e,MNXR27672,MNXR27635,EX_ca2_e,IMDHT
1185660.4.peg.1922	MNXR27602,FACOAL140,AACOAT,MNXR27603,MNXR27601,FACOAL160,FACOAL180,MNXR80370,rxn09448_c0,MNXR27605,MNXR27604,MNXR27606
1185660.4.peg.3352	SADT,AASPh,SADT2
1185660.4.peg.2630	MNXR16239,MNXR17827,MNXR85589,MNXR16018,MNXR9029,MNXR17004,MNXR60651,MNXR6969,GGGABADr,MNXR15436,MNXR84631,MNXR74931,ASAD,ABUTD,MNXR74716,MNXR8994,MNXR16995,MNXR74717,MNXR85287,MNXR60319,MNXR17835,MNXR22677
1185660.4.peg.1581	ACACT10m,ACACT1,ACACT5m,ACACT2,ACACT4m,ACACT3,ACACT6m,ACACT7m
1185660.4.peg.2235	ACACT10m,ACACT1,ACACT5m,ACACT2,ACACT4m,ACACT3,ACACT6m,ACACT7m
1185660.4.peg.709	ACACT2,ACACT1
1185660.4.peg.193	ACACT10m,ACACT1,ACACT5m,ACACT2,ACACT4m,ACACT3,ACACT6m,ACACT7m
1185660.4.peg.3281	APLh,ACAS_2ahbut,PDHam1hi
1185660.4.peg.3282	APLh,ACAS_2ahbut,PDHam1hi
1185660.4.peg.2927	ACBIPGT,ADOCBIK,MNXR85460
1185660.4.peg.3842	MNXR20056,BACCL,ACCOAC,MNXR85314
1185660.4.peg.1647	ACCOAC_1
1185660.4.peg.2620	ACCOAC_1
1185660.4.peg.4012	MNXR5630,ACCOAL,ACS,MNXR5887
1185660.4.peg.2706	GAMpts,SALCpts,MALTpts,FRUpts,ACGApts,GLCpts,SBTpts,TREpts,MANpts,ARBTptspp,GALTpts
1185660.4.peg.2139	GAMpts,SALCpts,MALTpts,FRUpts,ACGApts,GLCpts,SBTpts,TREpts,MANpts,ARBTptspp,GALTpts
1185660.4.peg.2004	ACGK,ASPK
1185660.4.peg.3151	ACGS
1185660.4.peg.774	ACGS
1185660.4.peg.2003	ACGS
1185660.4.peg.4127	ACGS
1185660.4.peg.3346	ACGS
1185660.4.peg.2286	ACGS
1185660.4.peg.1448	ACGS
1185660.4.peg.256	ACOA40OR,ACOAD8m
1185660.4.peg.2776	ACOAD2,ACOAD7,ACOAD5,ACOAD1,ACOAD3,MNXR79601,ACOAD4,ACOAD6
1185660.4.peg.1419	ACOADH2,ACOAD1,MNXR79601
1185660.4.peg.1537	ACOAD10m,ACOAD9m
1185660.4.peg.3164	ACODA,MNXR14762
1185660.4.peg.2005	ACODA,BTND1,MNXR94094,MNXR93703
1185660.4.peg.1925	ACONTa,MICITDr,ACONTb,MNXR71393
1185660.4.peg.3257	ACOTA
1185660.4.peg.2157	ACOTA,ORNTA,MNXR8691,SDPTA,SOTA
1185660.4.peg.966	ACYP_2,ACPh
xanmn_chr15_0167	ACt4pp
1185660.4.peg.306	DADA,ADA,GUAD
1185660.4.peg.4543	ADCL,MNXR7118
1185660.4.peg.452	ADCS,ANS2,ANS
1185660.4.peg.1146	ADCS
1185660.4.peg.2928	ADCYRS
1185660.4.peg.245	ADECn,MNXR8571
1185660.4.peg.178	ADECn,MNXR8571
1185660.4.peg.247	ADECn,MNXR8571
1185660.4.peg.1793	ADK1,ATDAMh,PMPK
1185660.4.peg.3265	ADK1,ADK2,ATDAMh,UMPK
1185660.4.peg.457	ADMDC
1185660.4.peg.4445	ADNK1,DPCOAK
1185660.4.peg.866	DADNt2,DGSNt2,ADNt2,DINSt2,DCYTt2,URIt2,INSt2,THMDt2,CYTDt2,DURIt2
1185660.4.peg.847	ADNUC,MNXR578
1185660.4.peg.1888	ADNUC,MNXR578
1185660.4.peg.1160	INSH,XTSNH,GNNUC,ADNUC
1185660.4.peg.305	INSH,XTSNH,GNNUC,ADNUC
1185660.4.peg.3218	INSH,XTSNH,GNNUC,ADNUC
1185660.4.peg.2916	ADOCBLS
1185660.4.peg.705	ADPRDP,ANNAT
1185660.4.peg.941	ADPRDP
1185660.4.peg.2042	ADPT
1185660.4.peg.1394	ADSL1r,ADSL2r,ETHAAL
1185660.4.peg.1178	ADSS
1185660.4.peg.2974	RNMK,AFAT,RBFK
1185660.4.peg.747	AGDC,MNXR6532
1185660.4.peg.2408	MNXR93834,AGDI,UGAH
1185660.4.peg.2002	AGGPR
1185660.4.peg.487	AGPAT181,MNXR94333,MNXR28675,MNXR94334,AGPAT161,AGPAT160,MNXR94332,MNXR28676,AGPAT180,AGPAT140,AGPAT141,MNXR28672,MNXR28671,MNXR28673,MNXR28674,AGPAT120
1185660.4.peg.176	AGPAT181,MNXR94333,MNXR28675,MNXR94334,AGPAT161,AGPAT160,MNXR94332,MNXR28676,AGPAT180,AGPAT140,AGPAT141,MNXR28672,MNXR28671,MNXR28673,MNXR28674,AGPAT120
1185660.4.peg.502	AGPAT181,MNXR94333,MNXR28675,MNXR94334,AGPAT161,AGPAT160,MNXR94332,MNXR28676,AGPAT180,AGPAT140,AGPAT141,MNXR28672,MNXR28671,MNXR28673,MNXR28674,AGPAT120
1185660.4.peg.295	SPTc,AGTi
1185660.4.peg.2585	AIRCr,MNXR79878
1185660.4.peg.2586	AIRCr,MNXR79878
1185660.4.peg.1387	AKGDH,AKGDHe2r
1185660.4.peg.1386	GCC2cm,AKGDH
1185660.4.peg.1389	MNXR70375,AKGDH,MNXR79613
1185660.4.peg.1388	AKGDH,AKGDHe2r
1185660.4.peg.1832	AKP1,ALKP,MNXR6332
1185660.4.peg.1846	ALAR
1185660.4.peg.3765	ALAR,MNXR8700
1185660.4.peg.1413	AM6PTh
1185660.4.peg.2795	AMAOTr
1185660.4.peg.4342	AMAOTr
1185660.4.peg.1978	AMID2,AMID5,AMID3,AMID4,MNXR93869,AMID
1185660.4.peg.2410	AMID2,AMID5,AMID3,AMID4,MNXR93869,AMID,CMPA
1185660.4.peg.668	AMMQT8_2,URFGTT,DMTPHT
1185660.4.peg.231	MNXR63966,MNXR63975,MNXR94492,MNXR80876,MNXR63967,MNXR80879,MNXR63971,MNXR46338,MNXR80878,MNXR29604,MNXR63968,MNXR63969,MNXR29607,MNXR29606,AMPTASECG,MNXR63965,MNXR63972,MNXR63973,MNXR14387
1185660.4.peg.1672	MNXR63966,MNXR63975,MNXR94492,MNXR80876,MNXR63967,MNXR80879,MNXR63971,MNXR46338,MNXR80878,MNXR29604,MNXR63968,MNXR63969,MNXR29607,MNXR29606,AMPTASECG,MNXR63965,MNXR63972,MNXR63973,MNXR14387
1185660.4.peg.3572	MNXR63966,MNXR63975,MNXR94492,MNXR80876,MNXR63967,MNXR80879,MNXR63971,MNXR46338,MNXR80878,MNXR29604,MNXR63968,MNXR63969,MNXR29607,MNXR29606,AMPTASECG,MNXR63965,MNXR63972,MNXR63973,MNXR14387
1185660.4.peg.3858	MNXR63966,MNXR63975,MNXR94492,MNXR80876,MNXR63967,MNXR80879,MNXR63971,MNXR46338,MNXR80878,MNXR29604,MNXR63968,MNXR63969,MNXR29607,MNXR29606,AMPTASECG,MNXR63965,MNXR63972,MNXR63973,MNXR14387
1185660.4.peg.3472	MNXR63966,MNXR63975,MNXR94492,MNXR80876,MNXR63967,MNXR80879,MNXR63971,MNXR46338,MNXR80878,MNXR29604,MNXR63968,MNXR63969,MNXR29607,MNXR29606,AMPTASECG,MNXR63965,MNXR63972,MNXR63973,MNXR14387
1185660.4.peg.3347	MNXR63966,MNXR63975,MNXR94492,MNXR80876,MNXR63967,MNXR80879,MNXR63971,MNXR46338,MNXR80878,MNXR29604,MNXR63968,MNXR63969,MNXR29607,MNXR29606,AMPTASECG,MNXR63965,MNXR63972,MNXR63973,MNXR14387
1185660.4.peg.1153	ANS,ANS2,MCITL2
1185660.4.peg.449	ANS,ANS2
1185660.4.peg.1874	PHETA1,AOOA,MNXR32524
1185660.4.peg.1114	AOXSr,MNXR84910
1185660.4.peg.3804	APAPTm
1185660.4.peg.2108	MNXR6030,APATr
1185660.4.peg.2124	MNXR6030,APATr
1185660.4.peg.2169	APPAT
1185660.4.peg.775	APRAUR,DHPPDA2,MNXR93752
1185660.4.peg.3356	PAPSR,APSR
1185660.4.peg.1884	ARD_1
1185660.4.peg.3803	ARGDC
1185660.4.peg.3883	IZPN,ARGN
1185660.4.peg.3296	ARGORNt7
1185660.4.peg.4523	ARGORNt7
1185660.4.peg.2001	ARGSL,MNXR93778
1185660.4.peg.2007	CTPS2,ARGSS,CTPS1
1185660.4.peg.959	ASNN
1185660.4.peg.2814	ASNN
1185660.4.peg.1291	ASNS1
1185660.4.peg.1339	ASNS1
1185660.4.peg.1828	ASP1DC
1185660.4.peg.655	ASPATh,MNXR32524,MNXR33771
1185660.4.peg.3324	ASPATh,MNXR32524,MNXR33771
1185660.4.peg.3128	MNXR14578,ASPCT,MNXR84576
1185660.4.peg.3122	ORDCh,DAPDC,ASPK
1185660.4.peg.1860	HSDH,HSDx,ASPK
1185660.4.peg.3301	ASPt2_2,FUMt2r,MALt2_2
1185660.4.peg.2232	NDPK2,ATDGDm,ATGDm,NDPK3,NDPK9,NDPK4,NDPK6,NDPK7,NDPK8
1185660.4.peg.1872	ATPPRT
1185660.4.peg.3725	ATPS4r
1185660.4.peg.3724	ATPS4r
1185660.4.peg.3723	ATPS4r
1185660.4.peg.3722	ATPS4r
1185660.4.peg.3721	ATPS4r
1185660.4.peg.3996	BTNC,BACCL
1185660.4.peg.953	BCTA_val_h,MNXR79548,BCTA_glu_h
1185660.4.peg.2357	BDH
1185660.4.peg.752	BETALDHy,BETALDHx
1185660.4.peg.2793	BPNT,IBPHn,MNXR75041
1185660.4.peg.2792	BPNT,IBPHn,MNXR75041
1185660.4.peg.511	BTNC
1185660.4.peg.513	BTNC
1185660.4.peg.1115	MCPST,BTS4,MNXR70329
1185660.4.peg.4194	MNXR73934,CAT,PRDX
1185660.4.peg.3862	MNXR73934,CAT,PRDX
1185660.4.peg.3039	MNXR73934,CAT,PRDX
1185660.4.peg.4534	MNXR73934,CAT,PRDX
1185660.4.peg.2885	CBIAT,CYRDAAT
1185660.4.peg.2929	CBIAT,CYRDAAT
1185660.4.peg.2932	CBL1abc
1185660.4.peg.1908	CBPS
1185660.4.peg.1910	CBPS
1185660.4.peg.4230	ZN2t4pp,CD2t4pp
1185660.4.peg.3989	ZN2t4pp,CD2t4pp
1185660.4.peg.1542	ZN2t4pp,CD2t4pp
1185660.4.peg.1496	CDPGLC46DH,URCN
1185660.4.peg.977	CDPMEK
1185660.4.peg.753	CHLt2
1185660.4.peg.751	CHOLD
1185660.4.peg.3719	CHORM
1185660.4.peg.2632	CHORS,MNXR57329
1185660.4.peg.1805	CITMCOAHm,GALCTND,MNXR7644
1185660.4.peg.3316	CITt2r
1185660.4.peg.3569	CLtex
1185660.4.peg.1763	CMS,MNXR71295
1185660.4.peg.974	MNXR6970,MNXR17296,GLUTRR,MNXR17297,COALDDH
1185660.4.peg.2098	MG2t,COBALT2tex
1185660.4.peg.3922	CPPPGO
1185660.4.peg.1757	CPS,CTPS1,CTPS2
1185660.4.peg.3216	CS
1185660.4.peg.3284	CS,IPPS
1185660.4.peg.664	MCSNAH,CSND,GUDBUTNAH
1185660.4.peg.890	SAM24MT,TMDS,CYARTMT
1185660.4.peg.3677	CYOO2pp
1185660.4.peg.3680	CYOO2pp
1185660.4.peg.3491	CYS,IGPDH,MNXR14768,SELCYSTS
1185660.4.peg.4405	CYS,IGPDH,MNXR14768,SELCYSTS
1185660.4.peg.4403	CYSDS,MNXR93698
1185660.4.peg.3490	CYSDS,MNXR93698
1185660.4.peg.3699	CYSS,CYSS_trdrd,MNXR8221
1185660.4.peg.3364	CYSS,CYSS_trdrd,MNXR8221
1185660.4.peg.2081	CYTBD2pp,CYTBO3
1185660.4.peg.2080	CYTBD2pp,CYTBO3
1185660.4.peg.2968	CYTBD2pp,CYTBO3
1185660.4.peg.2969	CYTBD2pp,CYTBO3
1185660.4.peg.2970	CYTBD2pp,CYTBO3
1185660.4.peg.2971	CYTBD2pp,CYTBO3
1185660.4.peg.2332	FRD7,FRD3,SUCD4,FRD,FRD2,CYTBD2pp,CYTBO3
1185660.4.peg.1992	HYD1,CYTBD2pp,CYTBO3
1185660.4.peg.1993	CYTBD2pp,CYTBO3
1185660.4.peg.1990	CYTBO3
1185660.4.peg.1991	CYTBO3
1185660.4.peg.2394	MTHFC,MNXR94426,DCYTD,MTHFD,CYTD,FLVRx
1185660.4.peg.2405	CYTK2,CYTK1,ITCY
1185660.4.peg.2660	DAAD
1185660.4.peg.3766	DAAD
1185660.4.peg.885	MNXR28711,MNXR28715,DAGK160,MNXR94184,MNXR94182,MNXR94180,MNXR28713,MNXR94179,MNXR94183,MNXR8252,MNXR94181,MNXR28714,MNXR28710,MNXR28712
1185660.4.peg.604	GLYt2m,DSERt2,SERt2m,DALAt2pp
1185660.4.peg.3639	DAPDA
1185660.4.peg.3638	DAPDA
1185660.4.peg.659	DAPE,GLUR
1185660.4.peg.503	MNXR80504,DASYN180,MNXR80502,MNXR80501,DASYN160,DASYN181,MNXR80506,KDOCT,DASYN161,DASYN120,DASYN141,DASYN140,MNXR80505,MNXR80503
1185660.4.peg.1658	MNXR80504,DASYN180,MNXR80502,MNXR80501,DASYN160,DASYN181,MNXR80506,KDOCT,DASYN161,DASYN120,DASYN141,DASYN140,MNXR80505,MNXR80503
1185660.4.peg.778	MNXR93771,DB4PS,GTPCII2
1185660.4.peg.3586	MNXR93771,DB4PS,GTPCII2
1185660.4.peg.3688	DBTS
1185660.4.peg.2648	DCTPD2,DCTPD
1185660.4.peg.1803	DDGALK,MNXR8073
1185660.4.peg.340	DDGLCNt2r
1185660.4.peg.99	DDGLK
1185660.4.peg.1030	DDPA
1185660.4.peg.524	DDPA
1185660.4.peg.2340	DDPGA,EDA
1185660.4.peg.1806	DDPGALA
1185660.4.peg.3663	DDPGALA,DHNPA2r
1185660.4.peg.145	DGC3D,MNXR6834
1185660.4.peg.3224	GK1,DGK1,MNXR84761,UMPK,URIDK2m,GK2
1185660.4.peg.392	MNXR79704,DHAD1
1185660.4.peg.633	DHCIND,DHPPD
1185660.4.peg.722	DHFR,FOLR2
1185660.4.peg.892	DHFR,FOLR2,MNXR8404
1185660.4.peg.1849	DHORD5,DHORD2
1185660.4.peg.1499	IZPN,DHORTS
1185660.4.peg.2015	DHORTS,HIUH
1185660.4.peg.1775	DHPS2,MNXR75271,MNXR1587,MNXR85709
1185660.4.peg.2743	DHQS
1185660.4.peg.514	DHQTi
1185660.4.peg.4039	DHQTi
1185660.4.peg.412	DHRT_ivcoa,MNXR79575,MNXR80058
1185660.4.peg.779	DLDLBT
1185660.4.peg.2670	DMATT,MNXR85248,FRTT,MNXR8219,HEXTT,rxn12008_c0,MNXR85267,MNXR94061,FPPSh,GGTT,MNXR85306,PPTTm,MNXR85270
1185660.4.peg.3117	DMATT,MNXR85248,FRTT,MNXR8219,HEXTT,rxn12008_c0,MNXR85267,MNXR94061,FPPSh,GGTT,MNXR85306,PPTTm,MNXR85270
1185660.4.peg.3280	DPR,KARI_23dhmb,DMORh,KARI_3hmoa,KARI_23dhmp,KARI
1185660.4.peg.1452	MNXR84794,NTD3,NTD5,NTD2,NT5C,NTD1,NTD10,NMNHYD,NTD11,DMPH,NTD6,NTD4,NTD7,GMP5N
1185660.4.peg.2972	IDS1,IPDPS,DMPPS,DMPPS_syn
1185660.4.peg.4569	DNGALh,GAM,NADS1
1185660.4.peg.4233	DPR
1185660.4.peg.3888	DTMPK
1185660.4.peg.4131	DURIK1,MNXR87173,TMDK1
1185660.4.peg.181	DUTPDP,MNXR55989
1185660.4.peg.3789	DUTPDP
1185660.4.peg.1657	DXPRIi
1185660.4.peg.2487	DXPS
1185660.4.peg.3376	E4PD,GAPD
1185660.4.peg.375	MNXR27644,MNXR27737,MNXR27706,MNXR27681,MNXR27673,MNXR27690,MNXR27665,MNXR27636,MNXR27656,MNXR27652,EAR120y,MNXR27648,EAR40y,EAR140y,MNXR27640,EAR60y,MNXR27698,MNXR27669,MNXR27702,MNXR27694,MNXR27661,MNXR74373,EAR100y,MNXR27677,EAR80y,MNXR27686
1185660.4.peg.2984	ECOAH1,ECOAH12,ECOAH5,ECOAH4,MNXR4458,ECOAH6,ECOAH9ir,ECOAH3,ECOAH7,MNXR59771
1185660.4.peg.2234	HACD2,HACD3,ECOAH6,MNXR17649,HACD5,MNXR4458,HACD6,MNXR17833,HACD7,ECOAH3,HACD9,HACDp,MNXR5449,HADPCOADH3,HIBDkt,ECOAH12,MNXR16204,MNXR17657,ECOAH4,HACD1,HACD4,MNXR84520,ECOAH5,ECOAH7,MNXR17653,MNXR59771,ECOAH1,ECOAH9ir
