Reaction,Flux
MTI,-1000.0
MNXR2832,0.0
HACD1,-1000.0
rxn05388_c0,-0.14779
APSR,-0.37532
MNXR28717,-0.05542
ALAALAr,0.04339
ACOAD7,0.0
BPNT,-0.00537
MNXR69749,-1000.0
rxn05396_c0,-0.14779
ACBIPGT,-0.00537
MNXR94265,-999.94458
MNXR94264,-1000.0
MNXR94267,-0.04339
MNXR85268,-1000.0
MNXR94261,1000.0
MNXR94260,-1000.0
MNXR94263,1000.0
PRICIh,0.13751
AGPAT140,0.0
LPLIPAL2A140,1000.0
FAS140ACPm,0.21695
GNNUC,-1000.0
AICART,0.67825
PRAISh,-0.54074
EX_so4_e,-0.38069
RPI,0.86517
EX_ocdca_e,-0.14779
RPE,-1.0222
P5CRx,-1000.0
RBFK,-0.00537
UAGCVT,-0.04339
MNXR93624,-1000.0
DASYN161,-0.01847
EX_h2o_e,18.66992
HMGL,0.14779
SUCLm,-0.14779
TKT2,-0.84466
TKT1,-0.17754
Biomass,1.73489
VPAMTr,-0.61109
RNDR4,-0.02779
RNDR3,-0.02779
RNDR2,-0.02779
RNDR1,-0.02779
HEXTT,0.00537
MNXR80502,-0.07389
TDPDRE,-0.04339
MNXR18214,-1000.0
TDSRh,0.48649
PROD2,-0.31984
GLUR,-0.04339
MCOATA,-1.73004
PDHam2hi,-1.84037
AGMHE,0.17356
rxn13990_c0,993.76243
PGMT,0.21695
MNXR53366,-0.26034
FRTT,-0.00537
Ht,-1000.0
MNXR80383,1000.0
MNXR80380,1000.0
MNXR80385,-999.98153
CHOLD,1000.0
EX_arg__L_e,-10.0
MNXR93746,-1000.0
APATr,4.8365
MNXR94166,0.0
EX_rna_c0,-1.73489
MNXR94165,0.0
GLYCK2,-1000.0
GTPCI,-0.01612
EX_4hbz_e,-0.00537
MATm,-0.02686
ACACT10m,0.0
CTPS1,0.17371
G6PI,-990.21695
PAPPT3,0.04339
NADH9,0.0
CHORM,0.47744
CA2t3pp,-0.00537
MNXR3279,1000.0
APLh,-1.27309
CHORS,0.49355
HCO3E,634.57405
ADOCBLS,0.00537
MNXR3277,1000.0
OMCDC,-0.65126
MNXR27659,-0.14779
AOOA,0.13751
MNXR79613,0.0
CYTK1,-0.83819
MNXR27652,0.14779
MNXR27650,0.14779
MNXR27651,-0.14779
MNXR27656,0.14779
MNXR40622,-9.56663
MNXR27654,0.14779
AKP1,-0.01612
ACS,-994.64359
ALAR,-3.42348
MNXR14768,-0.22709
MNXR94202,999.94458
EX_Biomass_e,1.73489
MNXR5475,0.00537
MNXR8994,-995.1635
MNXR7459,-0.00269
MNXR6970,-1000.0
NO3R1,0.0
DMATT,-0.04876
PDHbr,1.84037
PLIPA2A140pp,-1000.0
MNXR28689,0.01847
MNXR28684,-0.01847
MNXR94258,1000.0
rxn12008_c0,-0.01612
MNXR28683,-0.01847
DGSNt2,0.0
MNXR17297,-1000.0
MNXR17296,1000.0
SULR,0.37532
MTHFO,1000.0
MTHFC,-0.68363
EX_mqn7_e,-0.01074
MNXR85460,-1000.0
MTHFD,1.17602
ATPS4r,336.04246
EDTXS1,-0.04339
EDTXS2,0.04339
OPHBDC,-0.00537
FBA,-2.53318
MNXR5404,1.66422
MNXR94252,-1000.0
GDH,-356.4666
CBIAT,0.00537
MOAT,-0.04339
NTD11,0.0
ACOAD8m,-0.14779
CPPPGO,-0.00537
UAGDP,-0.17356
CYTBD2pp,0.0
ASAD,2.7401
MNXR14578,362.71244
OHPHM,0.00537
KARI,0.56728
RZ5PP,0.00537
IMDHT,-0.65126
MNXR85267,1000.0
MOHMT,0.01074
MNXR79601,-0.0
UDPGD,0.0
GGTT,-0.00537
EX_cl_e,-0.00537
AFAT,0.00537
MNXR80501,-0.07389
EX_lys__L_e,-0.5386
ICH,-0.67825
NTD6,0.0
MNXR69346,-1000.0
ADCL,0.01612
DGK1,0.0
NTD3,0.0
MNXR85287,-1000.0
NTD1,0.0
DPCOAK,-0.01074
GCCa,0.0
EX_mn2_e,-0.00537
ADCS,-0.01612
HSDH,2.7401
EX_hdca_e,-0.0
ACCOAC,-634.1811
COBALT2tex,0.00537
PLIPA1E180,0.01847
GF6PTA,-0.17356
GLYAT,1.57954
ADSL1r,-0.38868
CDPMEK,-0.53102
G1PACT,-993.93599
