Reaction,Flux
DHNPA2r,-0.00092
KDOPP,0.0074
KDOPS,0.0074
GMHEPAT,-0.00986
MNXR79878,-0.03073
DHORD5,-0.02041
OCOAT1,0.0084
MNXR578,-0.00122
SADT,-1000.0
ORPT,-0.02041
LPLIPAL1A140pp,-1000.0
ASNS1,-0.0198
UPP3S,-0.00061
HPYRDC,0.00092
GCC2cm,0.09619
MNXR85270,-1000.0
UAAGDS,-0.00247
MNXR6043,0.00031
PPNDH,-0.01523
MNXR79704,-0.03224
MQN7t,0.00061
MNXR2786,-0.00986
ICDHx,-2.99908
FRD7,0.0
DUTPDP,0.0
PGM,15.23257
IPMD,-0.03701
rxn03893_c0,-0.00031
IDPh,667.70704
PGK,-7.5071
rxn05392_c0,-0.0084
PGI,1000.0
PRAIS,-0.03073
SPTc,-0.00092
FACOAL140,-0.01584
PGCD,-992.27453
EX_k_e,-0.00031
EX_cu2_e,-0.00031
IMPD,0.0
MNXR15867,-0.00031
PIt2r,-997.55472
PHETA1,-0.01523
MNXR69352,-1000.0
TPI,-5.94738
ATDAMh,0.0
ACONTa,2.99908
ACONTb,2.99908
AGDI,-0.00031
URIDK2m,-0.00158
MNXR27655,-0.0084
FPPSh,0.39713
AGDC,-656.70386
PRFGS,-0.03073
NADK,-1000.0
DAPDC,0.00247
MNXR32524,0.0119
rxn05384_c0,-0.0084
MNXR3495,0.01413
PYK,-1000.0
MNXR69763,-1000.0
ASPCT,0.02041
UHGADA,-0.00493
ADNK1,0.01523
rxn05363_c0,-0.0084
G12289,0.78872
CLtex,0.00031
MNXR40622,-0.36092
DXPS,-4.36811
MNXR55990,-0.39682
MNXR15642,-1000.0
FUM,2.97378
HDCAt2,-0.0
HDH,-0.00781
MNXR3312,-1000.0
DCTPD,0.00158
MNXR60025,-0.00031
UAMAS,-0.00247
MNXR93844,1000.0
MNXR93845,-1000.0
GCL,0.0
ENO,-984.76743
KDOCT,-0.0074
S7PI,-0.00986
MNXR31648,-0.00031
ACPS1,0.00031
DASYN140,-0.00105
MGC,0.0084
LPLIPAL2E160,1000.0
GCCc,0.0
G1SAT,0.00488
HACD7,0.0
G5SADrm,0.0
MNXR67415,0.00247
SHCHF,0.00031
MNXR94249,1000.0
MNXR94248,1000.0
EX_zn2_e,-0.00031
G3PAT140,-0.00105
FRD2,0.02041
FRD3,-0.00061
MNXR94247,1000.0
MNXR94245,1000.0
ANNAT,-0.00061
UREA,0.36092
rxn05400_c0,-0.0084
ADSS,0.03854
MNXR80557,0.00105
MNXR80794,0.00031
HEPK2,-0.00247
HEPK1,-0.00247
PFK_adp,0.0
MNXR5314,0.00247
NMNTP,0.00061
UAGAAT,0.00493
THD2,331.16456
MNXR93798,-1000.0
MCITL2,-0.0
FRD,2.92552
DB4PS,0.00122
HISTP,-0.00781
GLYCK,-1000.0
TMDS,0.00158
AMPTASECG,0.00031
IGPDH,0.00781
GLYCL,-2.22747
PYDXS,0.00031
AKGDHe2r,0.0
GLUK_syn,-1000.0
EX_protein_e,-0.09859
ASP1DC,0.0
GALUi,-2.37601
MNXR15262,1000.0
MNXR7613,0.0
COALDDH,-1000.0
MNXR28716,-0.00315
PGAMT,656.71372
MNXR28683,-0.00105
MNXR27673,0.0084
HSDx,4.51875
MNXR27671,0.0084
MNXR27672,-0.0084
GUAD,-999.98354
MNXR27675,0.0084
MNXR27676,-0.0084
MNXR27677,0.0084
MNXR27679,0.0084
DXPRIi,-4.36811
PPPGO,-0.00015
MNXR160,-1000.0
URFGTT,0.00031
CYS,994.41154
MN2t3pp,0.00031
MNXR113144,0.78872
MNXR113143,0.78872
MNXR113142,0.78872
MNXR28662,-0.0042
MNXR28663,-0.0042
NDPK8,-1000.0
NDPK9,-4.77225
MNXR4313,-1000.0
NDPK2,-2.40628
NDPK3,4.38241
CYTBO3,0.0
NDPK6,-0.00158
NDPK7,-0.00316
NDPK4,-999.99565
SUCD4,0.0
MCOATA,-0.09831
MNXR94217,-1000.0
MNXR94219,-1000.0
MNXR1587,-0.00092
MNXR69802,-0.00105
rxn05404_c0,-0.0084
G3PD1,-999.9811
DTMPK,-0.00158
RBK,-0.01646
SO4t2,0.02163
MNXR70375,0.0
PFK_3,-5.96628
SADT2,999.97867
ZN2t4pp,-0.00031
EX_o2_e,-0.00168
CYSDS,-994.39021
MCITD,0.0
MNXR81103,0.00061
MAN1PT2,1.57743
MOAT3C,-0.00247
SHCHD2,-0.00031
MNXR4403,-0.0119
MNXR94325,999.99969
PPRGL,-0.03073
TRPt2m,0.00465
MCS,-4.36811
MECDPDH2,4.36811
TDPDRR,0.00247
AKGDH,-2.90451
MOAT2,0.00247
DMORh,-999.92765
PRACHh,-0.00781
G5DHx,0.02463
UPPDC1,-0.00031
MNXR55674,0.00247
EX_trp__L_e,-0.00465
DHQTi,-0.02805
HSK,-4.47361
IPDPS,0.0
MNXR85363,0.00031
EX_co2_e,8.2395
ACOTA,0.0
RBFSb,0.00061
DAAD,997.10105
GPAR,-0.01646
THRS,4.47361
MNXR80309,0.0084
MNXR80308,0.0084
GAPD,-7.5071
ATPPRT,-0.00781
rxn06723_c0,-0.00493
ORNTA,-0.02463
MNXR94192,-0.00247
MPPM,1.57743
EX_ttdca_e,-0.01479
PRADPh,-0.00781
R01465m,-4.4528
PROt2r,0.0
EX_ca2_e,-0.00031
PSCIT,0.02805
DINSt2,0.0
DLDLBT,-0.00122
APPAT,-0.00061
DHQS,0.02805
ACGS,0.0
rxn05371_c0,-0.0084
ACGK,0.0
IDS1,3.97098
FBA3,5.96628
GK1,-999.98166
GK2,999.99842
EX_thmmp_e,-0.00031
FE2abc,0.00122
PPTTm,-0.00031
MNXR6494,-1000.0
G12296,0.39436
G12290,0.78872
MNXR27643,0.0084
TRE6PP,0.0
MNXR27648,0.0084
FACOAE160,-0.0
MNXR27640,0.0084
ACACT7m,-0.0
MNXR27642,-0.0084
MNXR27644,0.0084
MNXR27647,-0.0084
MNXR27646,0.0084
EX_pi_e,-2.44528
OMPDC,-0.02041
EX_glc__D_e,-10.0
ECOAH7,-0.0
DMPPS,0.39713
MNXR27638,-0.0084
MNXR27639,0.0084
EX_din_e,0.0
MNXR27634,-0.0084
MNXR27635,0.0084
MNXR27636,0.0084
MNXR28690,0.00105
MNXR69337,1000.0
L_LACD2,0.0
PNTK,-0.00061
EX_cobalt2_e,-0.00031
MNXR94221,-1000.0
MNXR94220,-1000.0
CU2abcpp,-0.00031
MNXR94222,-1000.0
MNXR94225,-1000.0
MNXR94224,-1000.0
MNXR94227,1000.0
MNXR94226,-1000.0
ACBIPGT,-0.00031
MNXR93715,-2.81311
PROabc,0.0
A5PISO,-0.0074
CTPS2,0.0
G3PD,-1000.0
EX_mg2_e,-0.00031
MNXR2062,1000.0
UMPK,-1.60277
MNXR80405,0.0
MNXR80406,-1000.0
MNXR93698,-0.03224
MNXR80400,1000.0
MNXR94259,-1000.0
MNXR80403,-1000.0
MNXR94254,1000.0
MNXR94255,-1000.0
MNXR94256,-1000.0
MNXR94250,-1000.0
TTDCAt2,0.01479
ADOCBIK,-0.07536
MNXR94253,1000.0
PPCDC,-0.00061
MNXR29256,0.0
rxn05359_c0,-0.0084
EX_DNA_e,-0.09859
EX_dgsn_e,0.0
CS,-2.99908
ACAS_2ahbut,-0.03224
EX_duri_e,0.0
MNXR53357,-0.0084
rxn05375_c0,-0.0084
FACOAE180,0.0
MNXR53358,-0.0084
LPLIPAL2E180,0.00105
PLIPA1A140pp,-1000.0
MNXR85310,-1000.0
GALh,-0.12176
TDSK,0.00247
MNXR80058,-0.0084
NH4t,0.0
INSH,-0.01646
DURIK1,0.0
MNXR79883,0.00061
DHORTS,0.02041
OF_Biomass_Synthesis,0.49295
ATGDm,-1000.0
PPS,0.0
GPDDA4,0.00315
MNXR35657,0.0
GPDDA2,0.0
NADTRHD,-1000.0
IPPS,-0.03701
TALA,-5.98623
MCCC,0.0084
ASPATh,-4.64803
MTHFO_nadp,1000.0
MTI,-1000.0
MNXR2832,0.0
HACD1,1000.0
rxn05388_c0,-0.0084
APSR,-0.02133
MNXR28717,-0.00315
DADA,0.0
ALAALAr,0.00247
ACOAD7,0.0
BPNT,-0.00031
MNXR69749,-1000.0
rxn05396_c0,-0.0084
MNXR94265,-999.99685
MNXR94264,-1000.0
MNXR94267,-0.00247
MNXR85268,-1000.0
MNXR94261,1000.0
MNXR94260,-1000.0
MNXR94263,1000.0
PRICIh,0.00781
AGPAT140,0.0
LPLIPAL2A140,1000.0
FAS140ACPm,0.01233
GNNUC,-1000.0
AICART,0.03854
PRAISh,-0.03073
AGTi,0.0
EX_so4_e,-0.02163
RPI,0.04917
EX_ocdca_e,-0.0084
RPE,-0.05809
P5CRx,-1000.0
RBFK,-0.00031
UAGCVT,-0.00247
MNXR93624,-1000.0
EX_h2o_e,22.1302
HMGL,0.0084
SUCLm,-2.91291
TKT2,-0.048
TKT1,-0.01009
Biomass,0.09859
VPAMTr,997.15216
NADH6,0.0
RNDR4,0.0
RNDR3,-0.00316
RNDR2,-0.00158
RNDR1,-0.00158
HEXTT,0.00031
MNXR80502,-0.0042
TDPDRE,-0.00247
MNXR18214,-1000.0
TDSRh,0.02765
PROD2,-0.01818
GLUR,-0.00247
PDHam2hi,-0.10458
AGMHE,0.00986
rxn13990_c0,656.70386
PGMT,2.37848
MNXR53366,-0.01584
FRTT,-0.00031
Ht,-1000.0
BTNC,0.0
MNXR80383,1000.0
MNXR80382,0.0
MNXR80380,1000.0
MNXR80385,-1000.0
CHOLD,1000.0
EX_arg__L_e,-0.38555
MNXR93746,-1000.0
PLIPA2A160pp,0.0
APATr,-0.00061
MNXR94166,1000.0
EX_rna_c0,-0.09859
MNXR94165,-1000.0
GLYCK2,-1000.0
GTPCI,-0.00092
EX_4hbz_e,-0.00031
ETHAAL,0.0
MATm,-0.00153
ACACT10m,-0.0
CTPS1,0.01145
G6PI,7.62152
PAPPT3,0.00247
NADH9,0.0
CHORM,0.02713
CA2t3pp,-0.00031
MNXR3279,-1000.0
APLh,-0.07235
CHORS,0.02805
HCO3E,-999.97767
LDH_L,0.0
ADOCBLS,0.00031
MNXR3277,999.99895
OMCDC,-0.03701
MNXR27659,-0.0084
AOOA,0.00781
MNXR79613,0.0
CYTK1,-4.38557
MNXR27652,0.0084
MNXR27650,0.0084
MNXR27651,-0.0084
MNXR27656,0.0084
MNXR27654,0.0084
AKP1,-0.00092
ACS,-656.75393
ALAR,-997.10598
MNXR14768,-0.01291
MNXR94202,999.99685
MNXR5475,0.00031
MNXR8994,999.99939
MNXR7459,-0.00015
DMATT,-0.39713
PDHbr,0.10458
PLIPA2A140pp,-999.99895
MNXR28689,0.00105
MNXR94201,1000.0
MNXR28684,-0.00105
MNXR94258,-1000.0
rxn12008_c0,-0.00092
FPGFTh,0.0
DGSNt2,-0.0
MNXR17297,-682.06497
MNXR17296,682.06497
SULR,0.02133
MTHFO,-999.98557
ADA,0.01646
XPPT,0.0
MTHFC,-0.03885
EX_mqn7_e,-0.00061
MNXR85460,0.07505
MTHFD,0.06683
FBP,0.0
ATPS4r,335.20581
EDTXS1,-0.00247
EDTXS2,0.00247
DCTPD2,0.0
OPHBDC,-0.00031
FBA,0.0
MNXR5404,0.0
MNXR94252,-1000.0
GDH,-2.86244
CBIAT,0.00031
MOAT,-0.00247
TDPGDH,0.00247
ACOAD8m,-0.0084
CPPPGO,-0.00031
UAGDP,-0.00986
CYTBD2pp,0.0
ASAD,4.51875
MNXR14578,0.09892
OHPHM,0.00031
KARI,0.03224
RZ5PP,0.00031
IMDHT,-0.03701
MNXR85267,1000.0
MOHMT,0.00061
MNXR79601,0.0
UDPGD,-0.78872
GCCb,0.0
GGTT,-0.00031
EX_cl_e,-0.00031
AFAT,0.00031
MNXR80501,-0.0042
EX_lys__L_e,-0.03061
ICH,-0.03854
ICL,0.0
NTD6,0.0
MNXR69346,-1000.0
ADCL,0.00092
DGK1,-0.0
MNXR85287,-1000.0
NTD1,0.0
DPCOAK,-0.00061
GCCa,0.0
EX_mn2_e,-0.00031
ADCS,-0.00092
EX_hdca_e,0.0
ACCOAC,1000.0
COBALT2tex,0.00031
PLIPA1E180,0.00105
GF6PTA,-0.00986
GLYAT,4.4528
ADSL1r,-0.03854
CDPMEK,-4.36811
G1PACT,-656.71372
