ID	MetaCyc
rxn00116	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn00117	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn00119	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY-5687|PWY0-162|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-De-Novo-Biosyn
rxn00120	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn00122	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|PWY-6167|PWY-6168|PWY66-366|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00124	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00126	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|CYSTEINE-SYN|Cofactor-Biosynthesis|Degradation|ETHYL-PWY|Ethylene-Biosynthesis|HORMONE-SYN|IND-AMINO-ACID-SYN|MET-SAM-PWY|METHIONINE-DEG|METHIONINE-DEG1-PWY|METHIONINE-SYN|PWY-5041|PWY-5328|PWY-5912|PWY-6151|PWY-6292|PWY0-781|Plant-Hormone-Biosynthesis|S-adenosyl-L-methionine-cycle|SAM-PWY|Siderophores-Biosynthesis
rxn00127	ARG+POLYAMINE-SYN|ARGSPECAT-PWY|BSUBPOLYAMSYN-PWY|Biosynthesis|POLYAMINSYN3-PWY|POLYAMSYN-PWY|PWY-6834|Polyamine-Biosynthesis|Spermidine-Biosynthesis
rxn00128	Biosynthesis|ETHYL-PWY|Ethylene-Biosynthesis|HORMONE-SYN|Plant-Hormone-Biosynthesis
rxn00130	AROMATIC-COMPOUNDS-DEGRADATION|Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|P165-PWY|PWY-5044|PWY-6596|Purine-Degradation|Urate-Degradation
rxn00131	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|PWY-6617|Purine-Degradation
rxn00132	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|PWY-6353|Purine-Degradation|SALVADEHYPOX-PWY
rxn00134	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6619|Purine-Nucleotides-Salvage
rxn00138	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PWY0-781|PYRIDNUCSYN-PWY
rxn00139	Adenine-Adenosine-Salvage|Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|P121-PWY|PUR-NUC-SYN|PWY-5043|PWY-6605|PWY-6610|PYR-NUC-SYN|Purine-Nucleotides-Salvage
rxn00141	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|CYSTEINE-SYN|Degradation|IND-AMINO-ACID-SYN|METHIONINE-DEG|METHIONINE-DEG1-PWY|METHIONINE-SYN|PWY-5041|PWY-5328|PWY-6292|S-adenosyl-L-methionine-cycle
rxn00143	Amino-Acid-Biosynthesis|Autoinducer-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|METHIONINE-SYN|Other-biosynthesis|PWY-6151|PWY-6153|PWY-6154|S-adenosyl-L-methionine-cycle
rxn00147	ANAEROFRUCAT-PWY|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|CO2-Fixation|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|P23-PWY|P441-PWY|P461-PWY|PWY-3801|PWY-5484|Reductive-TCA-Cycles|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS
rxn00148	ANAEROBIC-RESPIRATION|ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|ANARESP1-PWY|Biosynthesis|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|NPGLUCAT-PWY|P122-PWY|P124-PWY|P341-PWY|P441-PWY|P461-PWY|PWY-1042|PWY-2221|PWY-3801|PWY-5464|PWY-5484|PWY-5723|PWY-6142|PWY-6146|PWY-6886|PWY-6901|PWY-7003|Respiration|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS|Xylose-Degradation
rxn00149	Aldehyde-Degradation|Degradation|Detoxification|Methylglyoxal-Detoxification|PWY-5456
rxn00150	Aldehyde-Degradation|Degradation|Detoxification|Methylglyoxal-Detoxification|PWY-5462
rxn00151	Amino-Acid-Biosynthesis|Biosynthesis|Energy-Metabolism|GLUTAMINE-SYN|IND-AMINO-ACID-SYN|PWY-241|PWY-6549|Photosynthesis
rxn00154	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|Fermentation|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|P41-PWY|PWY-5482|PWY-5537|PWY-6886|Pyruvate-Degradation|Respiration|TCA-VARIANTS
rxn00155	Acetyl-CoA-Biosynthesis|Energy-Metabolism|PWY-6970
rxn00157	ANAEROBIC-RESPIRATION|ANARESP1-PWY|C1-COMPOUNDS|CARBOXYLATES-DEG|CO2-Fixation|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|P441-PWY|P461-PWY|PWY-5480|PWY-5485|PWY-5493|Pyruvate-Degradation|Respiration|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives
rxn00159	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|GLUCONEO-PWY|Gluconeogenesis
rxn00160	CARBOXYLATES-DEG|Degradation|PWY0-1465
rxn00161	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|Gluconeogenesis|PWY-241|Photosynthesis
rxn00162	AROMATIC-COMPOUNDS-DEGRADATION|Degradation|METHYLGALLATE-DEGRADATION-PWY|P184-PWY|PWY-6338|PWY-6339|Protocatechuate-Degradation
rxn00165	AMINE-DEG|Amino-Acid-Degradation|Degradation|NUCLEO-DEG|PWY-3661|PWY-5497|Purine-Degradation|SERDEG-PWY|SERINE-DEG
rxn00166	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|PWY-6196|PWY0-1535|SERINE-BIOSYNTHESIS|SERINE-DEG
rxn00168	Acetoin-Biosynthesis|Biosynthesis|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|PWY-3801|PWY-5486|PWY-5768|PWY-6330|PWY-6333|PWY-6873|PWY3O-440|Pyruvate-Degradation|SECONDARY-METABOLITE-BIOSYNTHESIS|SUCROSE-DEG|Sugars-And-Polysaccharides
rxn00171	2-Aminoethylphosphonate-Degradation|AROMATIC-COMPOUNDS-DEGRADATION|Alcohol-Degradation|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Benzoate-Degradation|Biosynthesis|CARBOXYLATES-DEG|Catechol-Degradation|Degradation|ETOH-ACETYLCOA-ANA-PWY|Energy-Metabolism|Ethanol-Degradation|FERMENTATION-PWY|Fermentation|GLYCINE-SYN|IND-AMINO-ACID-SYN|MANDELATE-DEG|NUCLEO-DEG|Noncarbon-Nutrients|Other-Degradation|P122-PWY|P161-PWY|P441-PWY|P461-PWY|PHOSPHONOTASE-PWY|PWY-2504|PWY-5162|PWY-5178|PWY-5179|PWY-5180|PWY-5182|PWY-5183|PWY-5266|PWY-5273|PWY-5415|PWY-5420|PWY-5430|PWY-5436|PWY-5480|PWY-5655|PWY-6505|PWY-6587|PWY-6594|PWY-6604|PWY-6954|PWY-6956|PWY-6957|PWY0-1277|PWY0-1297|PWY0-1298|Phosphorus-Compounds|Pyrimidine-Degradation|Pyruvate-Degradation|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|THREOCAT-PWY|THREONINE-DEG|TOLUENE-DEG|TRYPTOPHAN-DEG
rxn00172	Acetate-Formation|CARBOXYLATES-DEG|Degradation|Energy-Metabolism|Fermentation|PWY-5096|PWY-5483|PWY-5535|Pyruvate-Degradation
rxn00173	ACETATEUTIL-PWY|AROMATIC-COMPOUNDS-DEGRADATION|Acetate-Formation|Acetyl-CoA-Butyrate|Amino-Acid-Degradation|CARBOXYLATES-DEG|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GALLATE-DEG|LYSINE-DEG|METH-ACETATE-PWY|METHANOGENESIS|MISCELLANEOUS-DEG|NUCLEO-DEG|Noncarbon-Nutrients|Other-Degradation|P122-PWY|P142-PWY|P161-PWY|P163-PWY|P3-PWY|P41-PWY|P441-PWY|P461-PWY|PROPFERM-PWY|PWY-1281|PWY-1541|PWY-5100|PWY-5327|PWY-5482|PWY-5485|PWY-5497|PWY-5600|PWY-5676|PWY-6590|PWY-6604|PWY-6637|PWY-6641|PWY-6830|PWY0-1312|Purine-Degradation|Pyruvate-Degradation|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sulfoacetaldehyde-Degradation|Sulfolactate-Degradation|Sulfur-Assimilation|Taurine-degradation
rxn00174	Biosynthesis|POLYKETIDE-SYN|PWY-5810|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn00175	ACETATEUTIL-PWY|Alcohol-Degradation|Amino-Acid-Degradation|CARBOXYLATES-DEG|Degradation|Ethanol-Degradation|GLUDEG-II-PWY|GLUTAMATE-DEG|PWY-6672|PWY0-1313|PWY66-161|PWY66-162|PWY66-21|SECONDARY-METABOLITE-DEGRADATION|TERPENOID-DEG
rxn00177	Autotrophic-CO2-Fixation|C1-COMPOUNDS|CARBOXYLATES-DEG|CO2-Fixation|Degradation|Other-Degradation|PWY-5744|PWY-5749|PWY-7024
rxn00178	ACETOACETATE-DEG-PWY|AROMATIC-COMPOUNDS-DEGRADATION|Acetyl-CoA-Butyrate|Amino-Acid-Degradation|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBOXYLATES-DEG|CENTFERM-PWY|CO2-Fixation|Cofactor-Biosynthesis|DITERPENOID-SYN|Degradation|ERGOSTEROL-SYN-PWY|Energy-Metabolism|Fatty-Acid-and-Lipid-Degradation|Fermentation|GGPP-Biosynthesis|GLUDEG-II-PWY|GLUTAMATE-DEG|ISOPRENOIDS|LYSINE-DEG|Lipid-Biosynthesis|OTHER-ENERGY|Other-biosynthesis|P163-PWY|PWY-5177|PWY-5184|PWY-5327|PWY-5676|PWY-5741|PWY-5789|PWY-5910|PWY-6146|PWY-6174|PWY-6583|PWY-6588|PWY-6590|PWY-6594|PWY-6604|PWY-6863|PWY-6876|PWY-6883|PWY-6886|PWY-7003|PWY-922|PWY1-3|PWY66-367|PWY66-368|PWY66-5|Polyprenyl-Biosynthesis|Pyruvate-Degradation|SECONDARY-METABOLITE-BIOSYNTHESIS|Sterol-Biosynthesis|TOLUENE-DEG|TRYPTOPHAN-DEG|TRYPTOPHAN-DEGRADATION-1|Terpenoid-Biosynthesis
rxn00179	Amino-Acid-Biosynthesis|Biosynthesis|CITRULBIO-PWY|Citrulline-Biosynthesis|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PROLINE-SYN|PROSYN-PWY|PWY-5004
rxn00182	4-Aminobutyraye-Degradation|ALACAT2-PWY|ALANINE-DEG|AMINE-DEG|ARGININE-SYN|ARGININE-SYN4-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|Energy-Metabolism|Fermentation|GLUTAMATE-DEG|GLUTAMATE-DEG1-PWY|GLUTAMATE-SYN|GLUTAMATE-SYN2-PWY|GLUTAMINE-SYN|IND-AMINO-ACID-SYN|Metabolic-Clusters|P162-PWY|PROPFERM-PWY|PWY-5022|PWY-5505|PWY-5766|PWY-6728
rxn00184	ARGININE-SYN|ARGININE-SYN4-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|Energy-Metabolism|GLUTAMATE-DEG|GLUTAMATE-SYN|GLUTAMATE-SYN2-PWY|GLUTAMINE-SYN|GLUTSYNIII-PWY|IND-AMINO-ACID-SYN|Metabolic-Clusters|NITROGEN-DEG|Nitrate-Reduction|Noncarbon-Nutrients|PWY-5505|PWY-5675|PWY-5766|PWY-5913|PWY490-3|TCA-VARIANTS
rxn00186	Biosynthesis|Cofactor-Biosynthesis|PWY-4041|Reductants
rxn00187	AMMASSIM-PWY|Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLNSYN-PWY|GLUTAMATE-SYN|GLUTAMINE-SYN|IND-AMINO-ACID-SYN|Metabolic-Clusters|NITROGEN-DEG|Nitrate-Reduction|Noncarbon-Nutrients|PWY-3282|PWY-381|PWY-5505|PWY-5675|PWY-6549|PWY-6963|PWY-6964|PWY490-3
rxn00189	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|CITRULBIO-PWY|Citrulline-Biosynthesis|Degradation|GLUTAMINDEG-PWY|GLUTAMINE-DEG|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PWY-5004
rxn00190	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|NADSYN-PWY|PWY-3502|PWY-5381|PWY-5653|PWY0-781|PYRIDNUCSAL-PWY|PYRIDNUCSYN-PWY
rxn00191	ALACAT2-PWY|ALANINE-DEG|ALANINE-DEG3-PWY|ALANINE-SYN|ALANINE-SYN2-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|Energy-Metabolism|Fermentation|IND-AMINO-ACID-SYN|PROPFERM-PWY|PWY-5096|PWY-6146|PWY0-1061|Pyruvate-Degradation
rxn00192	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|ARGSYNBSUB-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PWY-5154|Polyamine-Biosynthesis
rxn00193	Acetylmuramoyl-Pentapeptide-Biosynthesis|Antibiotic-Resistance|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|Detoxification|PEPTIDOGLYCANSYN-PWY|PWY-5265|PWY-6385|PWY-6386|PWY-6387|PWY-6470|PWY-6471|Peptidoglycan-Biosynthesis
rxn00194	Acid-Resistance|Amino-Acid-Degradation|Degradation|Detoxification|GLUDEG-I-PWY|GLUTAMATE-DEG|PWY-4321|PWY0-1305|PWY3O-210
rxn00195	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|Energy-Metabolism|GLUDEG-II-PWY|GLUTAMATE-DEG|IND-AMINO-ACID-SYN|ISOLEUCINE-SYN|PWY-5087|PWY-5088|PWY-5103|PWY-6728
rxn00196	4-Hydroxyproline-Degradation|Amino-Acid-Degradation|Carbohydrates-Degradation|D-Arabinose-Degradation|D-Galactarate-Degradation|D-Glucarate-Degradation|Degradation|L-Arabinose-Degradation|PWY-5159|PWY-5257|PWY-5517|PWY-5519|PWY-6497|PWY-6499|PWY-6516|PWY-6760|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ACIDS-DEG|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|Xylose-Degradation
rxn00201	Amino-Acid-Degradation|Degradation|HISHP-PWY|HISTIDINE-DEG
rxn00202	Amino-Acid-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|IND-AMINO-ACID-SYN|LYSINE-AMINOAD-PWY|LYSINE-SYN|P241-PWY|PWY-3081
rxn00203	Energy-Metabolism|P105-PWY|TCA-VARIANTS
rxn00204	CARBOXYLATES-DEG|Degradation|Oxalate-Degradation|PWY-6697
rxn00205	Biosynthesis|Cofactor-Biosynthesis|PWY-4081|Reductants
rxn00206	Biosynthesis|DETOX1-PWY|Detoxification|Ethylene-Biosynthesis|HORMONE-SYN|PWY-6854|Plant-Hormone-Biosynthesis
rxn00208	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00209	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|PYRIDOXSYN-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00211	Activation-Inactivation-Interconversion|Ascorbate-Biosynthesis|Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Cell-Structure-Biosynthesis|Cofactor-Biosynthesis|Degradation|GALACTOSE-DEGRADATION|Interconversion|PWY-3821|PWY-4821|PWY-5114|PWY-6415|PWY3DJ-35471|SUGAR-NUCLEOTIDES|Sugars-And-Polysaccharides|Vitamin-Biosynthesis
rxn00213	Activation-Inactivation-Interconversion|Antibiotic-Biosynthesis|Ascorbate-Biosynthesis|Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Cell-Structure-Biosynthesis|Cofactor-Biosynthesis|Degradation|GALACTOSE-DEGRADATION|GLYCOGEN-BIOSYN|Interconversion|PWY-3801|PWY-3821|PWY-5067|PWY-5114|PWY-621|PWY-6527|PWY-6679|PWY-6981|PWY3DJ-35471|Polysaccharides-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|SUCROSE-DEG|SUCSYN-PWY|SUGAR-NUCLEOTIDES|Sugars-And-Polysaccharides|Vitamin-Biosynthesis
rxn00214	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|Degradation|GALACTOSE-DEGRADATION|Interconversion|PWY-3821|PWY-5114|PWY-6317|PWY-6397|PWY-6404|PWY-6527|SUGAR-NUCLEOTIDES|Sugars-And-Polysaccharides
rxn00215	Activation-Inactivation-Interconversion|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|Interconversion|PLANT-CELL-STRUCTURE|PWY-3261|PWY-5114|Rhamnose-Biosynthesis|SUGAR-NUCLEOTIDES
rxn00224	Biosynthesis|Cofactor-Biosynthesis|HEME-BIOSYNTHESIS-II|HEME-SYN|HEMESYN2-PWY|PWY-5918|PWY-5920|PWY0-1415|Porphyrin-Compounds-Biosynthesis
rxn00225	ACETATEUTIL-PWY|AROMATIC-COMPOUNDS-DEGRADATION|Acetate-Formation|Acetyl-CoA-Butyrate|Amino-Acid-Degradation|CARBOXYLATES-DEG|Carbohydrates-Degradation|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GALLATE-DEG|LYSINE-DEG|METH-ACETATE-PWY|METHANOGENESIS|NUCLEO-DEG|Other-Degradation|P124-PWY|P142-PWY|P161-PWY|P163-PWY|P164-PWY|P3-PWY|P41-PWY|P441-PWY|P461-PWY|PROPFERM-PWY|PWY-5100|PWY-5327|PWY-5482|PWY-5485|PWY-5497|PWY-5600|PWY-5676|PWY-6590|PWY-6604|PWY-6830|PWY0-1312|Purine-Degradation|Pyruvate-Degradation|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides
rxn00228	Degradation|Noncarbon-Nutrients|P483-PWY|Phosphorus-Compounds
rxn00233	AROMATIC-COMPOUNDS-DEGRADATION|Degradation|P342-PWY
rxn00234	Amino-Acid-Degradation|Degradation|GLUDEG-II-PWY|GLUTAMATE-DEG|PWY-5087|PWY-5088
rxn00237	Biosynthesis|DENOVOPURINE2-PWY|Metabolic-Regulators|Nucleotide-Biosynthesis|PPGPPMET-PWY|PRPP-PWY|PUR-NUC-SYN|PWY-6125|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00239	Biosynthesis|DENOVOPURINE2-PWY|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY-6125|PYR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis|Purine-Nucleotides-Salvage
rxn00242	Biosynthesis|Metabolic-Regulators|PPGPPMET-PWY
rxn00244	Biosynthesis|PWY-6699|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn00247	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|Gluconeogenesis|PWY-561
