ID	EcoCyc
rxn00148	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Respiration|TCA-VARIANTS
rxn00154	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Respiration|TCA-VARIANTS
rxn00157	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|FERMENTATION-PWY|Fermentation|Respiration
rxn00159	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|GLUCONEO-PWY|Gluconeogenesis
rxn00160	CARBOXYLATES-DEG|Degradation|PWY0-1465
rxn00161	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|GLUCONEO-PWY|Gluconeogenesis
rxn00165	Amino-Acid-Degradation|Degradation|SERDEG-PWY|SERINE-DEG
rxn00166	Amino-Acid-Degradation|Degradation|PWY0-1535|SERINE-DEG
rxn00171	AROMATIC-COMPOUNDS-DEGRADATION|Alcohol-Degradation|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|CARBOXYLATES-DEG|Degradation|ETOH-ACETYLCOA-ANA-PWY|Energy-Metabolism|Ethanol-Degradation|FERMENTATION-PWY|Fermentation|GLYCINE-SYN|IND-AMINO-ACID-SYN|NUCLEO-DEG|PWY-5162|PWY-5436|PWY0-1277|PWY0-1297|PWY0-1298|Pyrimidine-Degradation|THREOCAT-PWY|THREONINE-DEG
rxn00173	ACETATEUTIL-PWY|Acetate-Formation|CARBOXYLATES-DEG|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|PWY0-1312
rxn00175	ACETATEUTIL-PWY|CARBOXYLATES-DEG|Degradation|PWY0-1313
rxn00178	ACETOACETATE-DEG-PWY|Degradation|Fatty-Acid-and-Lipid-Degradation
rxn00179	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PROLINE-SYN|PROSYN-PWY
rxn00184	Amino-Acid-Biosynthesis|Biosynthesis|GLUTAMATE-SYN|GLUTSYNIII-PWY|IND-AMINO-ACID-SYN
rxn00187	AMMASSIM-PWY|Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLNSYN-PWY|GLUTAMINE-SYN|IND-AMINO-ACID-SYN|NITROGEN-DEG|NRI-PWY|Noncarbon-Nutrients|Signaling-Pathways
rxn00189	Amino-Acid-Degradation|Degradation|GLUTAMINDEG-PWY|GLUTAMINE-DEG
rxn00190	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PWY0-781|PYRIDNUCSAL-PWY|PYRIDNUCSYN-PWY
rxn00191	ALANINE-SYN|ALANINE-SYN2-PWY|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PWY0-1061
rxn00192	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis
rxn00193	Acetylmuramoyl-Pentapeptide-Biosynthesis|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|PEPTIDOGLYCANSYN-PWY|PWY-6387|Peptidoglycan-Biosynthesis
rxn00194	Acid-Resistance|Detoxification|PWY0-1305
rxn00206	DETOX1-PWY|Detoxification
rxn00208	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00209	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|PYRIDOXSYN-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00224	Biosynthesis|Cofactor-Biosynthesis|HEME-BIOSYNTHESIS-II|HEME-SYN|HEMESYN2-PWY|PWY0-1415|Porphyrin-Compounds-Biosynthesis
rxn00225	ACETATEUTIL-PWY|Acetate-Formation|CARBOXYLATES-DEG|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|PWY0-1312
rxn00237	Biosynthesis|DENOVOPURINE2-PWY|Metabolic-Regulators|Nucleotide-Biosynthesis|PPGPPMET-PWY|PRPP-PWY|PUR-NUC-SYN|PWY-6125|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00239	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6125|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00242	Biosynthesis|Metabolic-Regulators|PPGPPMET-PWY
rxn00247	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|GLUCONEO-PWY|Gluconeogenesis
rxn00248	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLUCONEO-PWY|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXYLATE-BYPASS|Gluconeogenesis|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn00256	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXYLATE-BYPASS|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn00260	ASPARTATE-SYN|ASPARTATESYN-PWY|ASPASN-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLUTAMATE-DEG|GLUTDEG-PWY|IND-AMINO-ACID-SYN|Metabolic-Clusters|P4-PWY|PWY0-781|THREONINE-BIOSYNTHESIS|THRESYN-PWY
rxn00274	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLYCINE-SYN|IND-AMINO-ACID-SYN|THREOCAT-PWY|THREONINE-DEG|THREONINE-DEG2-PWY
rxn00283	ALADEG-PWY|ALANINE-DEG|ALANINE-SYN|ALANINE-VALINESYN-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|PWY0-1061
rxn00285	Energy-Metabolism|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn00289	CARBOXYLATES-DEG|Degradation|Methyl-Citrate-Cycle|PWY0-42|Propionate-Degradation
rxn00291	ARGININE-DEG|AST-PWY|Amino-Acid-Degradation|Degradation
rxn00293	Biosynthesis|Cell-Structure-Biosynthesis|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|OANTIGEN-PWY|Polyamine-Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|UDPNAGSYN-PWY
rxn00297	Biosynthesis|Cell-Structure-Biosynthesis|ECASYN-PWY
rxn00299	6-HM-Dihydropterin-PP-Biosynthesis|ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|PWY-6147|PWY-6612|PWY-6703|SECONDARY-METABOLITE-BIOSYNTHESIS|Vitamin-Biosynthesis
rxn00300	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00303	Biosynthesis|Metabolic-Regulators|PPGPPMET-PWY
rxn00313	Amino-Acid-Biosynthesis|Biosynthesis|DAPLYSINESYN-PWY|IND-AMINO-ACID-SYN|LYSINE-SYN|P4-PWY|PWY0-781
rxn00322	ARG+POLYAMINE-SYN|Amino-Acid-Degradation|Biosynthesis|Degradation|LYSINE-DEG|POLYAMSYN-PWY|PWY0-1303|PWY0-461|Polyamine-Biosynthesis
rxn00330	Alcohol-Degradation|CARBOXYLATES-DEG|Degradation|Energy-Metabolism|GLYCOL-GLYOXDEG-PWY|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXDEG-PWY|GLYOXYLATE-BYPASS|Glycolate-Degradation|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn00337	Amino-Acid-Biosynthesis|Biosynthesis|DAPLYSINESYN-PWY|HOMOSERSYN-PWY|IND-AMINO-ACID-SYN|LYSINE-SYN|MET-SAM-PWY|METHIONINE-SYN|METSYN-PWY|Other-Amino-Acid-Biosynthesis|P4-PWY|PWY0-781|THREONINE-BIOSYNTHESIS|THRESYN-PWY
rxn00338	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PWY0-781|PYRIDNUCSYN-PWY
rxn00340	ASPARAGINE-SYN|ASPARAGINESYN-PWY|ASPASN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|Metabolic-Clusters|PWY0-1325
rxn00342	ASPARAGINE-DEG|ASPARAGINE-DEG1-PWY|ASPASN-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|Metabolic-Clusters
rxn00346	Amino-Acid-Biosynthesis|Beta-Alanine-Biosynthesis|Biosynthesis|CoA-Biosynthesis|Cofactor-Biosynthesis|IND-AMINO-ACID-SYN|PANTOSYN-PWY|PWY-5155|Vitamin-Biosynthesis
rxn00347	ASPARTATE-SYN|ASPASN-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLUTAMATE-DEG|GLUTDEG-PWY|IND-AMINO-ACID-SYN|Metabolic-Clusters
rxn00351	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Reductants
rxn00358	Biosynthesis|Cell-Structure-Biosynthesis|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|OANTIGEN-PWY
rxn00361	Activation|Activation-Inactivation-Interconversion|Degradation|Noncarbon-Nutrients|PWY-5340|SO4ASSIM-PWY|SULFATE-CYS-PWY|Sulfate-Reduction|Sulfur-Assimilation
rxn00364	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage
rxn00369	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage
rxn00377	C1-COMPOUNDS|Degradation|Formaldehyde-Oxidation|PWY-1801
rxn00379	Activation|Activation-Inactivation-Interconversion|Degradation|Noncarbon-Nutrients|PWY-5340|SO4ASSIM-PWY|SULFATE-CYS-PWY|Sulfate-Reduction|Sulfur-Assimilation
rxn00392	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00405	ARG+POLYAMINE-SYN|ARGDEG-PWY|ARGININE-DEG|Acid-Resistance|Amino-Acid-Degradation|Biosynthesis|Degradation|Detoxification|ORNARGDEG-PWY|POLYAMSYN-PWY|PWY-40|PWY0-1299|PWY0-823|Polyamine-Biosynthesis|Putrescine-Biosynthesis
rxn00409	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage
rxn00412	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687-1|PYR-NUC-SYN
rxn00414	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5686|PYR-NUC-SYN|Polyamine-Biosynthesis|Pyrimidine-De-Novo-Biosyn
rxn00416	ASPARAGINE-BIOSYNTHESIS|ASPARAGINE-SYN|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PWY0-1325
rxn00420	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|SER-GLYSYN-PWY|SERINE-BIOSYNTHESIS|SERSYN-PWY|SULFATE-CYS-PWY
rxn00423	Amino-Acid-Biosynthesis|Biosynthesis|CYSTEINE-SYN|CYSTSYN-PWY|IND-AMINO-ACID-SYN|SULFATE-CYS-PWY
rxn00438	Biosynthesis|Cofactor-Biosynthesis|PWY-6894|THISYN-PWY|Thiamine-Biosynthesis|Vitamin-Biosynthesis
rxn00444	Ascorbate-Degradation|CARBOXYLATES-DEG|Degradation|PWY-6961
rxn00459	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|Respiration|TCA-VARIANTS
rxn00461	Acetylmuramoyl-Pentapeptide-Biosynthesis|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|PEPTIDOGLYCANSYN-PWY|PWY-6387|Peptidoglycan-Biosynthesis
rxn00469	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis
rxn00470	AMINE-DEG|ARG+POLYAMINE-SYN|ARGININE-DEG|Amino-Acid-Degradation|Biosynthesis|Degradation|ORNARGDEG-PWY|ORNDEG-PWY|POLYAMSYN-PWY|PWY-46|Polyamine-Biosynthesis|Putrescine-Biosynthesis
rxn00473	Amino-Acid-Degradation|Degradation|TRYPDEG-PWY|TRYPTOPHAN-DEG
rxn00474	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|TRPSYN-PWY|TRYPTOPHAN-BIOSYNTHESIS
rxn00493	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|PHENYLALANINE-SYN|PHESYN
rxn00500	Energy-Metabolism|FERMENTATION-PWY|Fermentation
rxn00503	Amino-Acid-Degradation|Degradation|PROLINE-DEG|PROUT-PWY
rxn00508	4-Aminobutyraye-Degradation|4AMINOBUTMETAB-PWY|AMINE-DEG|ARGDEG-PWY|ARGININE-DEG|Amino-Acid-Degradation|Degradation|ORNARGDEG-PWY|PWY-6535
rxn00509	4-Aminobutyraye-Degradation|4AMINOBUTMETAB-PWY|AMINE-DEG|ARGDEG-PWY|ARGININE-DEG|Amino-Acid-Degradation|Degradation|ORNARGDEG-PWY|PWY-6537
rxn00527	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|TYROSINE-SYN|TYRSYN
rxn00533	Biosynthesis|FASYN-INITIAL-PWY|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-4381|PWY0-881
rxn00539	AMINE-DEG|Degradation|PWY0-1477
rxn00540	AROMATIC-COMPOUNDS-DEGRADATION|CARBOXYLATES-DEG|Degradation|PWY-5162|PWY0-1277
rxn00541	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLYCINE-SYN|IND-AMINO-ACID-SYN|PWY-5436|THREOCAT-PWY|THREONINE-DEG
rxn00543	Alcohol-Degradation|Degradation|ETOH-ACETYLCOA-ANA-PWY|Energy-Metabolism|Ethanol-Degradation|FERMENTATION-PWY|Fermentation
rxn00562	AMINE-DEG|Allantoin-degradation|Degradation|PWY-5705
rxn00566	Amino-Acid-Degradation|CYSTEINE-DEG|Degradation|LCYSDEG-PWY
rxn00598	AMINE-DEG|AROMATIC-COMPOUNDS-DEGRADATION|Degradation|PWY-6071|PWY0-321|Phenolic-Compounds-Degradation|Phenylacetate-Degradation
rxn00601	ARGININE-DEG|AST-PWY|Amino-Acid-Degradation|Degradation
rxn00602	CARBOXYLATES-DEG|Degradation|PROPIONMET-PWY|PWY0-43|Propionate-Degradation|SUCC-DEG
rxn00611	Biosynthesis|CDP-diacylglycerol-Biosynthesis|Lipid-Biosynthesis|PHOSLIPSYN-PWY|PWY-5667|PWY0-1319|Phospholipid-Biosynthesis
rxn00612	Biosynthesis|CDP-diacylglycerol-Biosynthesis|Lipid-Biosynthesis|PHOSLIPSYN-PWY|PWY-5667|PWY0-1319|Phospholipid-Biosynthesis
rxn00615	Alcohol-Degradation|Degradation|Fatty-Acid-and-Lipid-Degradation|GLYCEROL-DEG|PWY-4261|PWY0-381
rxn00623	Degradation|Noncarbon-Nutrients|SO4ASSIM-PWY|SULFATE-CYS-PWY|Sulfate-Reduction|Sulfur-Assimilation
rxn00641	Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|GDP-Mannose-Biosynthesis|PWY-5659|SUGAR-NUCLEOTIDES
rxn00642	Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|PWY-66|SUGAR-NUCLEOTIDES
rxn00646	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Reductants
rxn00647	Biosynthesis|Other-biosynthesis|PWY0-1534
rxn00649	Amino-Acid-Biosynthesis|Biosynthesis|CYSTEINE-SYN|CYSTSYN-PWY|IND-AMINO-ACID-SYN|SULFATE-CYS-PWY
rxn00670	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLYCINE-SYN|IND-AMINO-ACID-SYN|PWY-5437|THREOCAT-PWY|THREONINE-DEG
rxn00674	CARBOXYLATES-DEG|Degradation|Methyl-Citrate-Cycle|PWY0-42|Propionate-Degradation
rxn00686	1CMET2-PWY|ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|PWY-6612|PWY-6614|Vitamin-Biosynthesis
rxn00690	1CMET2-PWY|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|PWY-2161|Vitamin-Biosynthesis
rxn00691	1CMET2-PWY|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn00692	1CMET2-PWY|Amino-Acid-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|GLYCINE-SYN|GLYSYN-PWY|IND-AMINO-ACID-SYN|PWY-2161|SER-GLYSYN-PWY|Vitamin-Biosynthesis
rxn00693	1CMET2-PWY|Amino-Acid-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|HOMOSER-METSYN-PWY|IND-AMINO-ACID-SYN|MET-SAM-PWY|METHIONINE-SYN|METSYN-PWY|P4-PWY|PWY0-781|Vitamin-Biosynthesis
rxn00695	Biosynthesis|Carbohydrates-Biosynthesis|GLYCOGEN-BIOSYN|GLYCOGENSYNTH-PWY|Polysaccharides-Biosynthesis
rxn00704	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|GLUCOSE1PMETAB-PWY|GLYCOCAT-PWY|Glycogen-Degradation|POLYSACCHARIDES-DEG|Polymer-Degradation|Sugars-And-Polysaccharides
rxn00710	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5686|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn00711	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage
rxn00713	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage
rxn00717	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage
rxn00727	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|TRPSYN-PWY|TRYPTOPHAN-BIOSYNTHESIS
rxn00737	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|Degradation|GLYCINE-SYN|ILEUSYN-PWY|IND-AMINO-ACID-SYN|ISOLEUCINE-SYN|PWY-5437|THREOCAT-PWY|THREONINE-DEG
rxn00745	Alcohol-Degradation|Degradation|GLYCEROL-DEG|GLYCEROLMETAB-PWY
rxn00747	Energy-Metabolism|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|TCA-VARIANTS
rxn00762	Alcohol-Degradation|Degradation|GLYCEROL-DEG|GLYCEROLMETAB-PWY
rxn00770	Biosynthesis|Other-biosynthesis|PRPP-Biosynthesis|PRPP-PWY|PWY0-662
rxn00777	Energy-Metabolism|NONOXIPENT-PWY|PENTOSE-P-PWY|Pentose-Phosphate-Cycle
rxn00778	Biosynthesis|Degradation|NUCLEO-DEG|Other-biosynthesis|PRPP-Biosynthesis|PRPP-PWY|PWY0-1295|PWY0-1296|PWY0-661|Purine-Degradation|Pyrimidine-Degradation|Pyrimidine-Ribonucleosides-Degradation
rxn00781	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|TCA-VARIANTS
rxn00783	Degradation|GALACTCAT-PWY|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ACIDS-DEG|Sugar-Derivatives
rxn00787	Degradation|GALACTITOLCAT-PWY|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives
rxn00789	Amino-Acid-Biosynthesis|Biosynthesis|HISTIDINE-SYN|HISTSYN-PWY|IND-AMINO-ACID-SYN|PRPP-PWY
rxn00790	AIR-Biosynthesis|Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6121|PWY-6122|PWY-6277|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00791	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|TRPSYN-PWY|TRYPTOPHAN-BIOSYNTHESIS
rxn00799	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn00800	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6126|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00802	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|Polyamine-Biosynthesis
rxn00806	Amino-Acid-Biosynthesis|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|IND-AMINO-ACID-SYN|LEUCINE-SYN|LEUSYN-PWY
rxn00830	All-Trans-Farnesyl-PP-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|NONMEVIPP-PWY|POLYISOPRENSYN-PWY|PWY-5123|Polyprenyl-Biosynthesis
rxn00832	Biosynthesis|DENOVOPURINE2-PWY|IMP-Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6123|Purine-Nucleotide-De-Novo-Biosynthesis
