rxn00006	CAT	DETOX1-PWY|Detoxification
rxn00248	MDH	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLUCONEO-PWY|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXYLATE-BYPASS|Gluconeogenesis|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn00256	CS	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXYLATE-BYPASS|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn00260	ASPATh	ASPARTATE-SYN|ASPARTATESYN-PWY|ASPASN-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLUTAMATE-DEG|GLUTDEG-PWY|IND-AMINO-ACID-SYN|Metabolic-Clusters|P4-PWY|PWY0-781|THREONINE-BIOSYNTHESIS|THRESYN-PWY
rxn00274	GLYAT	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLYCINE-SYN|IND-AMINO-ACID-SYN|THREOCAT-PWY|THREONINE-DEG|THREONINE-DEG2-PWY
rxn00283	ALAR	ALADEG-PWY|ALANINE-DEG|ALANINE-SYN|ALANINE-VALINESYN-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|PWY0-1061
rxn00285	SUCLm	Energy-Metabolism|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn00289	MCITL2	CARBOXYLATES-DEG|Degradation|Methyl-Citrate-Cycle|PWY0-42|Propionate-Degradation
rxn00293	UAGDP	Biosynthesis|Cell-Structure-Biosynthesis|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|OANTIGEN-PWY|Polyamine-Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|UDPNAGSYN-PWY
rxn00299	GTPCI	6-HM-Dihydropterin-PP-Biosynthesis|ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|PWY-6147|PWY-6612|PWY-6703|SECONDARY-METABOLITE-BIOSYNTHESIS|Vitamin-Biosynthesis
rxn00300	GTPCII2	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00303	GTPDPK	Biosynthesis|Metabolic-Regulators|PPGPPMET-PWY
rxn00313	DAPDC	Amino-Acid-Biosynthesis|Biosynthesis|DAPLYSINESYN-PWY|IND-AMINO-ACID-SYN|LYSINE-SYN|P4-PWY|PWY0-781
rxn00330	MALS	Alcohol-Degradation|CARBOXYLATES-DEG|Degradation|Energy-Metabolism|GLYCOL-GLYOXDEG-PWY|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXDEG-PWY|GLYOXYLATE-BYPASS|Glycolate-Degradation|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn00337	ASPK	Amino-Acid-Biosynthesis|Biosynthesis|DAPLYSINESYN-PWY|HOMOSERSYN-PWY|IND-AMINO-ACID-SYN|LYSINE-SYN|MET-SAM-PWY|METHIONINE-SYN|METSYN-PWY|Other-Amino-Acid-Biosynthesis|P4-PWY|PWY0-781|THREONINE-BIOSYNTHESIS|THRESYN-PWY
rxn00342	ASNN	ASPARAGINE-DEG|ASPARAGINE-DEG1-PWY|ASPASN-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|Metabolic-Clusters
rxn00346	ASP1DC	Amino-Acid-Biosynthesis|Beta-Alanine-Biosynthesis|Biosynthesis|CoA-Biosynthesis|Cofactor-Biosynthesis|IND-AMINO-ACID-SYN|PANTOSYN-PWY|PWY-5155|Vitamin-Biosynthesis
rxn00351	MNXR2832	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Reductants
rxn00361	AASPh	Activation|Activation-Inactivation-Interconversion|Degradation|Noncarbon-Nutrients|PWY-5340|SO4ASSIM-PWY|SULFATE-CYS-PWY|Sulfate-Reduction|Sulfur-Assimilation
rxn00364	CYTK1	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage
rxn00379	SADT	Activation|Activation-Inactivation-Interconversion|Degradation|Noncarbon-Nutrients|PWY-5340|SO4ASSIM-PWY|SULFATE-CYS-PWY|Sulfate-Reduction|Sulfur-Assimilation
rxn00392	RBFK	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00405	ARGDC	ARG+POLYAMINE-SYN|ARGDEG-PWY|ARGININE-DEG|Acid-Resistance|Amino-Acid-Degradation|Biosynthesis|Degradation|Detoxification|ORNARGDEG-PWY|POLYAMSYN-PWY|PWY-40|PWY0-1299|PWY0-823|Polyamine-Biosynthesis|Putrescine-Biosynthesis
rxn00409	NDPK3	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage
rxn00412	CTPS2	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687-1|PYR-NUC-SYN
rxn00414	CBPS	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5686|PYR-NUC-SYN|Polyamine-Biosynthesis|Pyrimidine-De-Novo-Biosyn
rxn00416	ASNS1	ASPARAGINE-BIOSYNTHESIS|ASPARAGINE-SYN|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PWY0-1325
rxn00420	PSP	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|SER-GLYSYN-PWY|SERINE-BIOSYNTHESIS|SERSYN-PWY|SULFATE-CYS-PWY
rxn00438	TMPK	Biosynthesis|Cofactor-Biosynthesis|PWY-6894|THISYN-PWY|Thiamine-Biosynthesis|Vitamin-Biosynthesis
rxn00459	ENO	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|Respiration|TCA-VARIANTS
rxn00461	UAGCVT	Acetylmuramoyl-Pentapeptide-Biosynthesis|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|PEPTIDOGLYCANSYN-PWY|PWY-6387|Peptidoglycan-Biosynthesis
rxn00469	ACODA	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis
rxn00470	ORDCh	AMINE-DEG|ARG+POLYAMINE-SYN|ARGININE-DEG|Amino-Acid-Degradation|Biosynthesis|Degradation|ORNARGDEG-PWY|ORNDEG-PWY|POLYAMSYN-PWY|PWY-46|Polyamine-Biosynthesis|Putrescine-Biosynthesis
rxn00474	TRPS2	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|TRPSYN-PWY|TRYPTOPHAN-BIOSYNTHESIS
rxn00493	PHETA1	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|PHENYLALANINE-SYN|PHESYN
rxn00503	P5CD	Amino-Acid-Degradation|Degradation|PROLINE-DEG|PROUT-PWY
rxn00508	SSALx	4-Aminobutyraye-Degradation|4AMINOBUTMETAB-PWY|AMINE-DEG|ARGDEG-PWY|ARGININE-DEG|Amino-Acid-Degradation|Degradation|ORNARGDEG-PWY|PWY-6535
rxn00527	MNXR32524	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|TYROSINE-SYN|TYRSYN
rxn00533	ACCOAC	Biosynthesis|FASYN-INITIAL-PWY|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY-4381|PWY0-881
rxn00539	ETHAAL	AMINE-DEG|Degradation|PWY0-1477
rxn00541	THRA	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLYCINE-SYN|IND-AMINO-ACID-SYN|PWY-5436|THREOCAT-PWY|THREONINE-DEG
rxn00543	ALCD2ir	Alcohol-Degradation|Degradation|ETOH-ACETYLCOA-ANA-PWY|Energy-Metabolism|Ethanol-Degradation|FERMENTATION-PWY|Fermentation
rxn00566	CYSDS	Amino-Acid-Degradation|CYSTEINE-DEG|Degradation|LCYSDEG-PWY
rxn00611	G3PD1	Biosynthesis|CDP-diacylglycerol-Biosynthesis|Lipid-Biosynthesis|PHOSLIPSYN-PWY|PWY-5667|PWY0-1319|Phospholipid-Biosynthesis
rxn00615	GLYK	Alcohol-Degradation|Degradation|Fatty-Acid-and-Lipid-Degradation|GLYCEROL-DEG|PWY-4261|PWY0-381
rxn00623	SULabc	Degradation|Noncarbon-Nutrients|SO4ASSIM-PWY|SULFATE-CYS-PWY|Sulfate-Reduction|Sulfur-Assimilation
rxn00646	GCL	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Reductants
rxn00649	CYSS	Amino-Acid-Biosynthesis|Biosynthesis|CYSTEINE-SYN|CYSTSYN-PWY|IND-AMINO-ACID-SYN|SULFATE-CYS-PWY
rxn00686	DHFR	1CMET2-PWY|ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|PWY-6612|PWY-6614|Vitamin-Biosynthesis
rxn00691	FTHFD	1CMET2-PWY|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn00692	GHMT	1CMET2-PWY|Amino-Acid-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|GLYCINE-SYN|GLYSYN-PWY|IND-AMINO-ACID-SYN|PWY-2161|SER-GLYSYN-PWY|Vitamin-Biosynthesis
rxn00693	MNXR3495	1CMET2-PWY|Amino-Acid-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|HOMOSER-METSYN-PWY|IND-AMINO-ACID-SYN|MET-SAM-PWY|METHIONINE-SYN|METSYN-PWY|P4-PWY|PWY0-781|Vitamin-Biosynthesis
rxn00704	PGMT	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|GLUCOSE1PMETAB-PWY|GLYCOCAT-PWY|Glycogen-Degradation|POLYSACCHARIDES-DEG|Polymer-Degradation|Sugars-And-Polysaccharides
rxn00710	OMPDC	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5686|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn00711	UPPRT	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage
rxn00717	CSND	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage
rxn00727	ANS	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|TRPSYN-PWY|TRYPTOPHAN-BIOSYNTHESIS
rxn00737	TAL	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|Degradation|GLYCINE-SYN|ILEUSYN-PWY|IND-AMINO-ACID-SYN|ISOLEUCINE-SYN|PWY-5437|THREOCAT-PWY|THREONINE-DEG
rxn00747	TPI	Energy-Metabolism|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|TCA-VARIANTS
rxn00781	GAPD	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|TCA-VARIANTS
rxn00783	DDPGALA	Degradation|GALACTCAT-PWY|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ACIDS-DEG|Sugar-Derivatives
rxn00789	ATPPRT	Amino-Acid-Biosynthesis|Biosynthesis|HISTIDINE-SYN|HISTSYN-PWY|IND-AMINO-ACID-SYN|PRPP-PWY
rxn00790	GLUPRT	AIR-Biosynthesis|Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6121|PWY-6122|PWY-6277|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00791	ANPRT	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|TRPSYN-PWY|TRYPTOPHAN-BIOSYNTHESIS
rxn00799	FUM	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn00800	ADSL1r	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6126|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00802	ARGSL	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|Polyamine-Biosynthesis
rxn00806	BCTA_glu_h	Amino-Acid-Biosynthesis|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|IND-AMINO-ACID-SYN|LEUCINE-SYN|LEUSYN-PWY
rxn00832	ICH	Biosynthesis|DENOVOPURINE2-PWY|IMP-Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6123|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00834	IMPD	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6125|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00836	HXPRT	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-6609|Purine-Nucleotides-Salvage
rxn00838	ADSS	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6126|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00839	NDPK8	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6126|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00851	ALAALAr	Acetylmuramoyl-Pentapeptide-Biosynthesis|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|PEPTIDOGLYCANSYN-PWY|PWY-6387|Peptidoglycan-Biosynthesis
rxn00863	MNXR59227	Amino-Acid-Biosynthesis|Biosynthesis|HISTIDINE-SYN|HISTSYN-PWY|IND-AMINO-ACID-SYN|PRPP-PWY
rxn00902	IPPS	Amino-Acid-Biosynthesis|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|IND-AMINO-ACID-SYN|LEUCINE-SYN|LEUSYN-PWY
rxn00903	BCTA_val_h	ALANINE-SYN|ALANINE-VALINESYN-PWY|Amino-Acid-Biosynthesis|BRANCHED-CHAIN-AA-SYN-PWY|Biosynthesis|IND-AMINO-ACID-SYN|PWY0-1061|VALINE-BIOSYNTHESIS|VALSYN-PWY
rxn00904	VPAMTr	ALANINE-SYN|ALANINE-VALINESYN-PWY|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PWY0-1061
rxn00907	MTHFD	1CMET2-PWY|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn00908	GLYCL	1CMET2-PWY|Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn00912	MOHMT	Biosynthesis|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTO-PWY|PANTOSYN-PWY|Pantothenate-Biosynthesis|Vitamin-Biosynthesis
rxn00913	GMP5N	Degradation|Guanosine-Nucleotides-Degradation|NUCLEO-DEG|PWY-6608|Purine-Degradation
rxn00915	GPAR	Biosynthesis|Guanine-Guanosine-Salvage|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-6579|PWY-6620|Purine-Nucleotides-Salvage
rxn00917	GMPS2	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|PWY-6125|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00929	P5CRx	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PROLINE-SYN|PROSYN-PWY
rxn00931	P5CR	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|PROLINE-SYN|PROSYN-PWY
rxn00974	ACONTa	ANAEROBIC-RESPIRATION|ANARESP1-PWY|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXYLATE-BYPASS|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS
rxn01000	PPNDH	ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|PHENYLALANINE-SYN|PHESYN
rxn01018	ASPCT	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5686|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn01053	LCADi	Aldehyde-Degradation|Degradation|Detoxification|FUC-RHAMCAT-PWY|Lactaldehyde-Degradation|METHGLYUT-PWY|Methylglyoxal-Detoxification|PWY-5459|PWY0-1317
rxn01068	R01465m	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|GLYCINE-SYN|IND-AMINO-ACID-SYN|THRDLCTCAT-PWY|THREOCAT-PWY|THREONINE-DEG|THREONINE-DEG2-PWY
rxn01069	THRS	Amino-Acid-Biosynthesis|Biosynthesis|HOMOSER-THRESYN-PWY|IND-AMINO-ACID-SYN|P4-PWY|PWY0-781|THREONINE-BIOSYNTHESIS|THRESYN-PWY
rxn01100	PGK	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|TCA-VARIANTS
rxn01101	PGCD	Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|SER-GLYSYN-PWY|SERINE-BIOSYNTHESIS|SERSYN-PWY|SULFATE-CYS-PWY
rxn01102	GLYCK	Alcohol-Degradation|CARBOXYLATES-DEG|Degradation|GLYCOL-GLYOXDEG-PWY|GLYCOLATEMET-PWY|Glycolate-Degradation
rxn01106	PGM	Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Energy-Metabolism|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|TCA-VARIANTS
rxn01107	MNXR5689	Carbohydrates-Degradation|Degradation|GLUCOSE1PMETAB-PWY|Sugars-And-Polysaccharides
rxn01115	GND	Energy-Metabolism|OXIDATIVEPENT-PWY|PENTOSE-P-PWY|Pentose-Phosphate-Cycle
rxn01116	RPE	Energy-Metabolism|NONOXIPENT-PWY|PENTOSE-P-PWY|Pentose-Phosphate-Cycle
